	value
n_deciles_used	10.0
total_weight	2121.0
rho_GroupA_stratified	0.5968217130624957
rho_GroupB_stratified	0.42114086201208134
delta_GroupB_minus_GroupA	-0.1756808510504143
deciles_GroupB_higher	0.0
