level	n_perm	auc_obs	null_median	null_p95	null_max	p	note
1. 状態レベル網羅 C(16,4)	1820	0.7909	0.4918	0.6831	0.848	0.0049	
2. データセット構成保存	1	0.7909	0.7909	0.7909	0.7909		退化（並べ替えが観測の1通りしかない）
3. データセットレベル（最厳）	3	0.7909	0.328	0.7909	0.7909	0.3333	species が dataset と完全交絡のため p >= 1/3 が下限
