collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
GO_BP	Positive Regulation Of Multicellular Organismal Process (GO:0051240)	45	0.7561	0.7052	0.4914	0.7874	0.7384	0.4914	0.7631	0.6954	0.4914
GO_BP	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	77	0.5911	0.5739	0.4634	0.633	0.5992	0.4634	0.5923	0.5647	0.4634
GO_BP	Positive Regulation Of Phosphorylation (GO:0042327)	37	0.5177	0.5264	0.54	0.5593	0.5796	0.54	0.5173	0.5483	0.54
GO_BP	Positive Regulation Of Protein Modification Process (GO:0031401)	41	0.5269	0.3218	0.4196	0.5502	0.3264	0.4196	0.5	0.3135	0.4196
GO_BP	Positive Regulation Of Protein Phosphorylation (GO:0001934)	52	0.5573	0.5595	0.5192	0.602	0.602	0.5192	0.5577	0.5731	0.5192
GO_BP	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	120	0.8339	0.6418	0.3709	0.8381	0.6184	0.3709	0.8196	0.6139	0.3709
GO_BP	Proteasomal Protein Catabolic Process (GO:0010498)	49	0.8186	0.6073	0.3183	0.8056	0.5967	0.3183	0.7845	0.5685	0.3183
GO_BP	Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	66	0.8999	0.5868	-0.1053	0.9172	0.5747	-0.1053	0.9077	0.5	-0.1053
GO_BP	Protein Localization (GO:0008104)	50	0.7425	0.4101	0.2723	0.7585	0.4249	0.2723	0.731	0.4007	0.2723
GO_BP	Protein Modification By Small Protein Conjugation (GO:0032446)	60	0.7332	0.5568	0.3653	0.7153	0.5899	0.3653	0.6845	0.5503	0.3653
GO_BP	Protein Modification Process (GO:0036211)	93	0.809	0.5606	0.1675	0.8216	0.5795	0.1675	0.8012	0.5409	0.1675
GO_BP	Protein Phosphorylation (GO:0006468)	64	0.7352	0.5234	0.2875	0.7409	0.5589	0.2875	0.7113	0.4858	0.2875
GO_BP	Protein Polyubiquitination (GO:0000209)	43	0.7914	0.5281	0.2892	0.7431	0.5201	0.2892	0.7185	0.5071	0.2892
GO_BP	Protein Transport (GO:0015031)	52	0.5422	0.457	0.4999	0.5449	0.4228	0.4999	0.497	0.3939	0.4999
GO_BP	Protein Ubiquitination (GO:0016567)	71	0.7161	0.5249	0.3651	0.695	0.5397	0.3651	0.6607	0.5145	0.3651
GO_BP	Protein-Containing Complex Assembly (GO:0065003)	44	0.6293	0.3876	0.4021	0.6175	0.333	0.4021	0.5768	0.3194	0.4021
GO_BP	Proteolysis (GO:0006508)	32	0.7729	0.4994	0.0211	0.7719	0.5309	0.0211	0.7458	0.4408	0.0211
GO_BP	Regulation Of DNA-templated Transcription (GO:0006355)	182	0.6678	0.5619	0.4047	0.7057	0.5667	0.4047	0.672	0.5596	0.4047
GO_BP	Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	30	0.6528	0.4548	0.4713	0.679	0.5102	0.4713	0.6423	0.4739	0.4713
GO_BP	Regulation Of Apoptotic Process (GO:0042981)	94	0.8281	0.6713	0.4717	0.8333	0.6768	0.4717	0.8143	0.6432	0.4717
GO_BP	Regulation Of Autophagy (GO:0010506)	42	0.9057	0.6197	0.264	0.9215	0.5897	0.264	0.9125	0.5567	0.264
GO_BP	Regulation Of Canonical Wnt Signaling Pathway (GO:0060828)	35	0.5622	0.6353	0.5596	0.6127	0.6659	0.5596	0.572	0.654	0.5596
GO_BP	Regulation Of Cell Cycle (GO:0051726)	39	0.9592	0.7345	0.4222	0.9728	0.7538	0.4222	0.972	0.7733	0.4222
GO_BP	Regulation Of Cell Growth (GO:0001558)	31	0.8438	0.6016	0.2831	0.7874	0.6134	0.2831	0.7631	0.5952	0.2831
GO_BP	Regulation Of Cell Migration (GO:0030334)	55	0.6921	0.5856	0.4277	0.7489	0.6383	0.4277	0.7202	0.5971	0.4277
GO_BP	Regulation Of Cell Population Proliferation (GO:0042127)	93	0.7419	0.652	0.4614	0.7997	0.669	0.4614	0.7768	0.6446	0.4614
