state_protein	state_rna	cos_protein	cos_rna	alpha_protein	alpha_rna	nrm_protein	nrm_rna
cat_prot_CKD12	cat_CKD12	0.8713	0.9069	0.4542	0.5445	0.5213	0.6004
cat_prot_CKD34	cat_CKD34	1.0	1.0	1.0	1.0	1.0	1.0
cat_med_prot_CKD12	cat_med_CKD12	0.5945	0.7898	0.584	1.0199	0.9823	1.2914
cat_med_prot_CKD34	cat_med_CKD34	0.7045	0.8574	0.7276	0.9359	1.0328	1.0915
mouse_prot_D14	mouse_2W	0.5115	0.4984	1.3217	0.7397	2.5839	1.4842
mouse_prot_D21	mouse_3W	0.4966	0.4801	1.3357	0.4889	2.6896	1.0183
