set	n	rho	fisher_lo	fisher_hi	boot_lo	boot_hi	median_expr_rank	n_with_expr
all	10581	0.49716802951214456	0.4818088792753881	0.5122217917248318	0.47987458921535653	0.5133893965980498	0.4915546923433238	10581
GroupA	2121	0.66086832818322	0.6335625306913065	0.6865298356914685	0.6288724753997755	0.692459946203736	0.7743453669031908	2121
GroupB	8460	0.45045815098997816	0.4324506098545807	0.4681064917611268	0.43096051821822834	0.4695333429605202	0.4284684891032947	8460
