collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
GO_BP	Positive Regulation Of Multicellular Organismal Process (GO:0051240)	37	0.7471	0.8009	0.4758	0.789	0.7977	0.4758	0.7667	0.804	0.4758
GO_BP	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	44	0.8067	0.795	0.4584	0.8387	0.7881	0.4584	0.8202	0.7881	0.4584
GO_BP	Positive Regulation Of Protein Metabolic Process (GO:0051247)	35	0.8918	0.7341	0.309	0.9006	0.7557	0.309	0.8893	0.7551	0.309
GO_BP	Positive Regulation Of Protein Phosphorylation (GO:0001934)	40	0.7633	0.6826	0.3706	0.8082	0.6813	0.3706	0.7863	0.6268	0.3706
GO_BP	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	61	0.7254	0.6826	0.4636	0.7382	0.6649	0.4636	0.7083	0.6387	0.4636
GO_BP	Proteasomal Protein Catabolic Process (GO:0010498)	39	0.6102	0.4068	0.1766	0.5972	0.4124	0.1766	0.5768	0.4124	0.1766
GO_BP	Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	45	0.6432	0.3882	0.1059	0.6437	0.4658	0.1059	0.6304	0.4658	0.1059
GO_BP	Protein Localization (GO:0008104)	75	0.8304	0.6632	0.3613	0.8173	0.6202	0.3613	0.7964	0.6136	0.3613
GO_BP	Protein Localization To Membrane (GO:0072657)	33	0.8209	0.7747	0.4366	0.8574	0.7522	0.4366	0.8411	0.7169	0.4366
GO_BP	Protein Modification By Small Protein Conjugation (GO:0032446)	40	0.6056	0.561	0.2944	0.6245	0.582	0.2944	0.5839	0.5461	0.2944
GO_BP	Protein Modification Process (GO:0036211)	76	0.7862	0.7655	0.5213	0.8072	0.7665	0.5213	0.7857	0.7665	0.5213
GO_BP	Protein Phosphorylation (GO:0006468)	38	0.8076	0.7336	0.2433	0.8291	0.7311	0.2433	0.8095	0.7101	0.2433
GO_BP	Protein Stabilization (GO:0050821)	42	0.8229	0.6694	0.243	0.8552	0.6935	0.243	0.8393	0.7172	0.243
GO_BP	Protein Transport (GO:0015031)	70	0.7642	0.7668	0.4974	0.7762	0.7843	0.4974	0.7679	0.7954	0.4974
GO_BP	protein-RNA Complex Assembly (GO:0022618)	31	0.7309	0.6508	0.2245	0.7821	0.6985	0.2245	0.7714	0.741	0.2245
GO_BP	Protein-Containing Complex Assembly (GO:0065003)	60	0.6846	0.7253	0.5037	0.734	0.778	0.5037	0.7173	0.778	0.5037
GO_BP	Proteolysis (GO:0006508)	41	0.805	0.7238	0.4226	0.8013	0.7544	0.4226	0.7786	0.7165	0.4226
GO_BP	Receptor-Mediated Endocytosis (GO:0006898)	30	0.8244	0.8256	0.5302	0.8285	0.8108	0.5302	0.8089	0.8056	0.5302
GO_BP	Regulation Of DNA-templated Transcription (GO:0006355)	108	0.7925	0.7415	0.3451	0.8259	0.7426	0.3451	0.806	0.7426	0.3451
GO_BP	Regulation Of Angiogenesis (GO:0045765)	30	0.9416	0.7521	0.3843	0.9177	0.7095	0.3843	0.9107	0.7239	0.3843
GO_BP	Regulation Of Apoptotic Process (GO:0042981)	96	0.9193	0.7973	0.3537	0.8969	0.7948	0.3537	0.8851	0.7948	0.3537
GO_BP	Regulation Of Autophagy (GO:0010506)	40	0.9887	0.7564	0.1985	0.9792	0.7325	0.1985	0.9768	0.6853	0.1985
GO_BP	Regulation Of Cell Migration (GO:0030334)	58	0.8047	0.839	0.5523	0.8494	0.8307	0.5523	0.8357	0.8307	0.5523
GO_BP	Regulation Of Cell Population Proliferation (GO:0042127)	69	0.9178	0.8493	0.3438	0.914	0.8332	0.3438	0.9042	0.8332	0.3438
GO_BP	Regulation Of Cytoskeleton Organization (GO:0051493)	30	0.809	0.7529	0.4648	0.804	0.7584	0.4648	0.7851	0.7584	0.4648
GO_BP	Regulation Of Gene Expression (GO:0010468)	91	0.8409	0.7652	0.3714	0.86	0.7715	0.3714	0.8494	0.7856	0.3714
GO_BP	Regulation Of Protein Phosphorylation (GO:0001932)	32	0.9679	0.7745	0.246	0.9679	0.7742	0.246	0.9655	0.7741	0.246
GO_BP	Regulation Of Translation (GO:0006417)	46	0.9714	0.7998	0.2013	0.9615	0.8054	0.2013	0.9571	0.7936	0.2013
GO_BP	Supramolecular Fiber Organization (GO:0097435)	53	0.7844	0.8637	0.6604	0.8109	0.8573	0.6604	0.7988	0.8691	0.6604
GO_BP	Translation (GO:0006412)	39	0.7188	0.6325	0.3379	0.7671	0.7208	0.3379	0.753	0.7208	0.3379
GO_BP	Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	54	0.6525	0.4888	0.3809	0.6277	0.4941	0.3809	0.6071	0.4889	0.3809
GO_BP	Vesicle-Mediated Transport (GO:0016192)	75	0.8409	0.7464	0.3472	0.8526	0.7462	0.3472	0.8357	0.7462	0.3472
KEGG	Alzheimer disease	85	0.7694	0.7649	0.4906	0.7762	0.7821	0.4906	0.7506	0.7106	0.4906
KEGG	Amyotrophic lateral sclerosis	89	0.708	0.6918	0.5141	0.726	0.744	0.5141	0.697	0.701	0.5141
KEGG	Diabetic cardiomyopathy	40	0.8643	0.7904	0.4839	0.8707	0.7824	0.4839	0.856	0.7824	0.4839
KEGG	Endocytosis	61	0.8545	0.6482	0.1599	0.8424	0.6446	0.1599	0.8244	0.5914	0.1599
KEGG	Focal adhesion	47	0.7569	0.8689	0.7261	0.7505	0.8615	0.7261	0.7429	0.8645	0.7261
KEGG	Human papillomavirus infection	46	0.8565	0.8716	0.6457	0.8446	0.8593	0.6457	0.8345	0.8593	0.6457
KEGG	Huntington disease	75	0.7361	0.7449	0.54	0.7479	0.7603	0.54	0.7202	0.7603	0.54
KEGG	MAPK signaling pathway	32	0.9994	0.8615	0.1437	0.9989	0.8545	0.1437	0.9988	0.8613	0.1437
KEGG	Oxidative phosphorylation	35	0.6991	0.5989	0.4567	0.6362	0.4941	0.4567	0.5946	0.4587	0.4567
KEGG	PI3K-Akt signaling pathway	42	0.8817	0.8629	0.5563	0.8916	0.8448	0.5563	0.8839	0.8448	0.5563
