restriction	n_pairs	n_within	n_cross	pathway_auc_median	pathway_auc_q25	pathway_auc_q75	pathway_frac_ge_090	aggregated_auc	within_med_agg	cross_med_agg
all pairs (旧版と同じ制限なし)	120	72	48	0.7622	0.7196	0.8163	0.0495	0.6311	0.8467	0.7855
exclude shared controls	87	39	48	0.7885	0.742	0.8323	0.0588	0.6335	0.854	0.7855
exclude shared cohort	83	35	48	0.769	0.7149	0.8155	0.0485	0.603	0.8398	0.7855
