level	n_perm	auc_obs	null_median	null_p95	null_max	p	note
1. 状態レベル網羅 C(16,4)	1820	0.8102	0.491	0.6794	0.8593	0.0033	
2. データセット構成保存	1	0.8102	0.8102	0.8102	0.8102		退化（並べ替えが観測の1通りしかない）
3. データセットレベル（最厳）	3	0.8102	0.3369	0.8102	0.8102	0.3333	species が dataset と完全交絡のため p >= 1/3 が下限
