set	n_pairs	min	q25	median	q75	max
within_dataset	45	0.1571	0.4544	0.7443	0.8245	0.9567
same_species_diff_dataset	27	-0.0366	0.4998	0.7145	0.8446	0.8855
cross_species	48	0.1519	0.3191	0.3944	0.4542	0.5344
within_cat	6	0.7443	0.7763	0.7945	0.8347	0.9009
within_podtreck	3	0.7709	0.7785	0.7861	0.8714	0.9567
within_iri	36	0.1571	0.4142	0.7077	0.818	0.9492
shared_control_pairs	33	0.1571	0.4224	0.7286	0.8526	0.9567
no_shared_control_pairs	87	-0.0366	0.3378	0.4506	0.7164	0.8855
