role	pair	cos	spearman_rho	percentile_in_within_dataset	percentile_in_IRI_pairs
検定対象	cat_CKD12 x cat_CKD34	0.9009	0.8862	91.1111	94.4444
上振れ対照(中央値)	IRI 時点ペア 36組	0.7077		40.0	50.0
上振れ対照(最大)	IRI 時点ペア 36組	0.9492		95.5556	97.2222
下振れ対照(指示どおり)	cat_CKD34 x cat_med_CKD34	0.8427	0.779	75.5556	77.7778
下振れ対照(進行軸)	cat_ctx_prog x cat_med_prog	0.0039	-0.0934	0.0	0.0
