design	shift	sigma	true_cos	mean_r_half_pearson	mean_r_half_cosine	median_obs_cos_full	median_obs_pearson_full	median_obs_pearson_matched	frac_i_pearson_matched_n	frac_ii_pearson_half_vs_full	frac_iii_cosine_half_vs_full	frac_iv_pearson_SB_vs_full	frac_v_cosine_SB_vs_full	contrib_sample_size	contrib_uncentred	contrib_uncentred_SB	SB_minus_raw_cosine
feline-like (7 vs 6)	0.26	0.7	0.5	0.7655	0.7771	0.4668	0.4353	0.3775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.26	0.7	0.3	0.766	0.7775	0.3019	0.2614	0.2267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.26	1.0	1.0	0.6158	0.6313	0.7755	0.7634	0.6001	0.0067	1.0	1.0	0.5767	0.58	0.9933	0.0	0.0033	-0.42
feline-like (7 vs 6)	0.26	1.0	0.9	0.6161	0.6311	0.7022	0.6873	0.5406	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-1.0
feline-like (7 vs 6)	0.26	1.0	0.7	0.6153	0.6309	0.5565	0.5337	0.4191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.26	1.0	0.5	0.6159	0.6312	0.4121	0.3806	0.2993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.26	1.0	0.3	0.6157	0.6309	0.2669	0.2279	0.1797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.26	1.5	1.0	0.4165	0.4325	0.6055	0.5894	0.3995	0.05	1.0	1.0	0.5467	0.55	0.95	0.0	0.0033	-0.45
feline-like (7 vs 6)	0.26	1.5	0.9	0.4156	0.4316	0.5495	0.531	0.3607	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-1.0
feline-like (7 vs 6)	0.26	1.5	0.7	0.4165	0.4325	0.4343	0.4122	0.279	0.0	0.3933	0.56	0.0	0.0	0.3933	0.1667	0.0	-0.56
feline-like (7 vs 6)	0.26	1.5	0.5	0.4158	0.4317	0.3196	0.293	0.199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.26	1.5	0.3	0.4149	0.4309	0.2086	0.1782	0.1196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.26	2.2	1.0	0.25	0.2625	0.4191	0.404	0.2378	0.17	1.0	1.0	0.55	0.5533	0.83	0.0	0.0033	-0.4467
feline-like (7 vs 6)	0.26	2.2	0.9	0.2489	0.2613	0.3767	0.3602	0.2123	0.0033	1.0	1.0	0.02	0.02	0.9967	0.0	0.0	-0.98
feline-like (7 vs 6)	0.26	2.2	0.7	0.2493	0.2617	0.2985	0.2802	0.166	0.0	0.9333	0.9533	0.0	0.0	0.9333	0.02	0.0	-0.9533
feline-like (7 vs 6)	0.26	2.2	0.5	0.2479	0.2602	0.2207	0.2002	0.1182	0.0	0.0233	0.0367	0.0	0.0	0.0233	0.0134	0.0	-0.0367
feline-like (7 vs 6)	0.26	2.2	0.3	0.2486	0.261	0.1432	0.1191	0.0706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.15	1.0	0.9862	0.9884	0.9942	0.9931	0.9852	0.0	1.0	1.0	0.63	0.63	1.0	0.0	0.0	-0.37
feline-like (7 vs 6)	0.44	0.15	0.9	0.9861	0.9884	0.9109	0.8936	0.8866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.15	0.7	0.9862	0.9884	0.7443	0.6952	0.6897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.15	0.5	0.9862	0.9884	0.5775	0.4962	0.4923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.15	0.3	0.9861	0.9884	0.4118	0.2981	0.2958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.25	1.0	0.9625	0.9684	0.984	0.9811	0.9601	0.0	1.0	1.0	0.6233	0.62	1.0	0.0	-0.0033	-0.38
feline-like (7 vs 6)	0.44	0.25	0.9	0.9624	0.9683	0.9015	0.883	0.8642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.25	0.7	0.9625	0.9683	0.7362	0.6871	0.6724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.25	0.5	0.9625	0.9683	0.571	0.4904	0.4797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.25	0.3	0.9624	0.9683	0.4061	0.2941	0.2879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.35	1.0	0.929	0.9398	0.9692	0.9635	0.9247	0.0	1.0	1.0	0.6067	0.61	1.0	0.0	0.0033	-0.39
feline-like (7 vs 6)	0.44	0.35	0.9	0.929	0.9399	0.888	0.8668	0.8318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.35	0.7	0.929	0.9398	0.7257	0.6751	0.6478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.35	0.5	0.929	0.9398	0.563	0.4816	0.4623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.35	0.3	0.929	0.9398	0.4003	0.2888	0.2773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.5	1.0	0.8651	0.8844	0.9394	0.9286	0.8573	0.0	1.0	1.0	0.6233	0.62	1.0	0.0	-0.0033	-0.38
feline-like (7 vs 6)	0.44	0.5	0.9	0.8651	0.8844	0.8603	0.835	0.7715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.5	0.7	0.865	0.8844	0.7035	0.6496	0.5996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.5	0.5	0.8651	0.8843	0.5447	0.4642	0.4292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.5	0.3	0.8651	0.8845	0.3878	0.2779	0.2568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.7	1.0	0.7657	0.7959	0.8873	0.8684	0.7536	0.0	1.0	1.0	0.6	0.5933	1.0	0.0	-0.0067	-0.4067
feline-like (7 vs 6)	0.44	0.7	0.9	0.7657	0.7958	0.8125	0.7811	0.6779	0.0	0.9933	1.0	0.0	0.0	0.9933	0.0067	0.0	-1.0
feline-like (7 vs 6)	0.44	0.7	0.7	0.7657	0.7958	0.6634	0.6073	0.5278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.7	0.5	0.7659	0.796	0.5162	0.4348	0.3774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	0.7	0.3	0.7658	0.796	0.3677	0.2605	0.2263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	1.0	1.0	0.6158	0.6571	0.7945	0.7632	0.5999	0.0033	1.0	1.0	0.5867	0.5833	0.9967	0.0	-0.0034	-0.4167
feline-like (7 vs 6)	0.44	1.0	0.9	0.6161	0.6571	0.728	0.6876	0.5406	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-1.0
feline-like (7 vs 6)	0.44	1.0	0.7	0.616	0.6565	0.5938	0.5348	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	1.0	0.5	0.6155	0.6559	0.4626	0.3828	0.3005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	1.0	0.3	0.616	0.6565	0.3281	0.2285	0.1797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	1.5	1.0	0.4157	0.4592	0.6318	0.5898	0.4009	0.0867	1.0	1.0	0.58	0.59	0.9133	0.0	0.01	-0.41
feline-like (7 vs 6)	0.44	1.5	0.9	0.4163	0.4593	0.58	0.5324	0.3608	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	-1.0
feline-like (7 vs 6)	0.44	1.5	0.7	0.4156	0.4591	0.473	0.4126	0.2804	0.0	0.45	0.8167	0.0	0.0	0.45	0.3667	0.0	-0.8167
feline-like (7 vs 6)	0.44	1.5	0.5	0.4166	0.46	0.3679	0.296	0.2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	1.5	0.3	0.4158	0.4593	0.2582	0.1748	0.1183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feline-like (7 vs 6)	0.44	2.2	1.0	0.2489	0.2834	0.4444	0.4007	0.2369	0.1833	1.0	1.0	0.5533	0.55	0.8167	0.0	-0.0033	-0.45
feline-like (7 vs 6)	0.44	2.2	0.9	0.2485	0.2829	0.4063	0.3595	0.2128	0.0	1.0	1.0	0.0233	0.0233	1.0	0.0	0.0	-0.9767
feline-like (7 vs 6)	0.44	2.2	0.7	0.2494	0.2834	0.3311	0.2797	0.1654	0.0	0.9533	0.9967	0.0	0.0	0.9533	0.0434	0.0	-0.9967
feline-like (7 vs 6)	0.44	2.2	0.5	0.2484	0.2827	0.2582	0.2012	0.119	0.0	0.0167	0.1267	0.0	0.0	0.0167	0.11	0.0	-0.1267
feline-like (7 vs 6)	0.44	2.2	0.3	0.2473	0.2817	0.182	0.1182	0.0697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
