a_cortex	a_med	c_cortex	c_med	n_cortex	n_med
0.72239	1.11143	0.96113	0.80191	0.75161	1.38597
0.47739	0.97559	0.90856	0.75086	0.52544	1.2993
0.82283	0.74606	0.96682	0.80967	0.85107	0.92143
0.31959	0.69437	0.5563	0.65006	0.57449	1.06816
0.7473	1.25121	0.96419	0.7793	0.77506	1.60556
0.32981	0.76795	0.64701	0.51496	0.50975	1.49127
0.43512	0.69701	0.74254	0.73811	0.58598	0.94432
0.58386	0.90199	0.89587	0.76407	0.65172	1.18051
0.85177	0.84225	0.8921	0.81927	0.95479	1.02804
0.80296	1.28691	0.85768	0.73506	0.9362	1.75075
0.1776	1.23582	0.40935	0.58878	0.43387	2.09893
0.59113	0.88819	0.79595	0.7634	0.74267	1.16346
0.30968	0.82065	0.78088	0.71649	0.39658	1.14538
0.53101	1.25382	0.8344	0.63024	0.6364	1.98944
0.44358	1.04781	0.85846	0.78753	0.51671	1.3305
0.31195	0.72852	0.80106	0.79545	0.38942	0.91585
0.41488	1.07895	0.81244	0.66957	0.51065	1.61141
0.58439	1.22966	0.84539	0.72696	0.69127	1.69152
1.07638	0.924	0.94521	0.78446	1.13877	1.17788
0.66958	1.23927	0.72671	0.67413	0.92139	1.83833
0.79153	1.65983	0.81055	0.60605	0.97654	2.73878
0.59299	0.98071	0.78786	0.65585	0.75265	1.49532
0.74627	1.13363	0.95184	0.80443	0.78403	1.40924
0.96252	1.17606	0.94932	0.74453	1.0139	1.5796
0.52657	0.94161	0.76534	0.70514	0.68802	1.33534
0.76864	1.31683	0.90526	0.76548	0.84909	1.72026
0.47484	0.8745	0.90881	0.8803	0.52249	0.99342
0.76818	0.99616	0.94695	0.82918	0.81122	1.20138
0.28544	0.53387	0.74465	0.81155	0.38332	0.65784
0.78811	0.67423	0.86039	0.67593	0.91599	0.99749
0.70077	0.60819	0.92549	0.83001	0.75719	0.73275
0.44571	0.84782	0.84608	0.80222	0.5268	1.05683
0.52068	1.11744	0.76536	0.74057	0.68031	1.50891
0.59634	1.00351	0.86415	0.74342	0.69009	1.34987
0.34794	1.07755	0.6065	0.37811	0.57368	2.84984
0.35538	0.35985	0.68695	0.57878	0.51733	0.62174
0.91982	0.83223	0.89492	0.78706	1.02782	1.0574
0.80555	0.93256	0.73233	0.65569	1.09997	1.42225
0.27735	1.14072	0.62364	0.7373	0.44473	1.54716
0.44955	1.09664	0.82453	0.71481	0.54522	1.53416
0.80671	1.01249	0.96663	0.77872	0.83455	1.3002
0.34741	0.94185	0.64528	0.64123	0.53839	1.46883
0.32631	1.15124	0.68997	0.76724	0.47293	1.50049
0.53195	0.75925	0.9131	0.81816	0.58258	0.928
0.51036	0.69332	0.89947	0.88183	0.5674	0.78623
0.49462	0.76505	0.80603	0.70025	0.61365	1.09254
0.49385	1.20619	0.85854	0.72007	0.57522	1.6751
0.79191	0.96419	0.71017	0.5908	1.11511	1.632
0.47794	0.80887	0.81584	0.81888	0.58583	0.98778
0.7317	1.22407	0.8144	0.65515	0.89846	1.86839
0.36097	0.37903	0.76156	0.67144	0.47398	0.5645
0.20486	0.58079	0.54778	0.82251	0.37398	0.70612
0.6982	1.1437	0.88404	0.64145	0.78978	1.78298
0.39726	0.8177	0.81504	0.78656	0.48742	1.0396
0.60469	0.82851	0.75466	0.71989	0.80128	1.15089
0.72775	1.04505	0.89791	0.76572	0.81049	1.3648
0.58839	0.81244	0.88798	0.83866	0.66261	0.96873
0.63085	0.69605	0.95121	0.84907	0.66321	0.81978
0.54722	0.99049	0.94549	0.79818	0.57877	1.24093
0.45001	1.04879	0.91131	0.77066	0.4938	1.36091
0.44643	0.96527	0.83194	0.73239	0.53661	1.31799
0.39037	0.83824	0.84898	0.80635	0.45981	1.03955
0.46078	1.16971	0.82252	0.78091	0.5602	1.49789
0.55338	1.07956	0.79233	0.77394	0.69842	1.39489
0.81282	1.11612	0.9141	0.74086	0.88921	1.50652
0.64884	1.22925	0.90823	0.81859	0.7144	1.50167
0.31243	1.17907	0.6339	0.68508	0.49287	1.72106
0.6064	1.16793	0.889	0.79264	0.68212	1.47347
0.4244	0.79474	0.8676	0.73832	0.48916	1.07642
0.58793	1.09797	0.85631	0.70161	0.68659	1.56494
0.65665	0.74577	0.84629	0.76405	0.77592	0.97609
0.49759	1.05095	0.85803	0.74957	0.57992	1.40208
0.47446	0.93708	0.85384	0.80819	0.55567	1.15949
0.49621	1.29515	0.69295	0.56323	0.71608	2.29951
0.42518	1.02505	0.80255	0.75131	0.52979	1.36435
0.63816	1.15939	0.82093	0.7354	0.77736	1.57654
0.79774	0.71739	0.91147	0.7442	0.87522	0.96397
0.46793	1.01552	0.90165	0.83058	0.51897	1.22267
0.88014	1.3255	0.86722	0.74383	1.0149	1.78199
0.66149	0.67785	0.88594	0.85825	0.74666	0.7898
0.5928	1.13969	0.84856	0.73664	0.6986	1.54713
0.53302	1.36239	0.79472	0.62128	0.67071	2.19289
1.10142	0.9524	0.93819	0.75002	1.17399	1.26983
0.55155	1.30294	0.91349	0.7196	0.60379	1.81066
0.38249	0.95164	0.77365	0.69901	0.49439	1.3614
0.64464	0.99158	0.83063	0.71322	0.77608	1.39028
0.452	0.93967	0.91291	0.81025	0.49512	1.15973
0.364	1.03926	0.81758	0.82102	0.44521	1.26581
0.91949	1.22364	0.83497	0.75541	1.10122	1.61983
0.25428	1.07287	0.55344	0.65316	0.45946	1.64259
0.35605	1.2419	0.60497	0.71253	0.58854	1.74294
0.70424	1.1463	0.84454	0.70712	0.83387	1.6211
0.27446	1.00958	0.67483	0.71396	0.40672	1.41407
0.41746	0.78613	0.82475	0.84199	0.50616	0.93366
0.17648	1.30673	0.43695	0.64259	0.40389	2.03353
0.61539	1.48901	0.7051	0.67402	0.87276	2.20914
0.57562	0.98289	0.82467	0.56815	0.698	1.72999
0.38358	0.51608	0.81639	0.83503	0.46984	0.61804
0.5843	0.56489	0.87892	0.78316	0.6648	0.7213
0.31858	0.92739	0.60409	0.61911	0.52737	1.49793
0.24761	0.8248	0.60128	0.71955	0.4118	1.14628
0.54859	0.90705	0.80974	0.78083	0.67749	1.16164
0.79363	0.71802	0.92142	0.76861	0.8613	0.93417
0.75484	1.04419	0.92191	0.74476	0.81878	1.40204
0.76692	0.98511	0.83783	0.73157	0.91536	1.34656
0.44033	0.76612	0.84855	0.78515	0.51891	0.97575
0.41986	1.20003	0.87987	0.75451	0.47718	1.59047
0.47168	0.89104	0.85683	0.78774	0.55049	1.13113
0.30381	0.5397	0.77677	0.74174	0.39111	0.72761
0.5687	1.0572	0.86345	0.74127	0.65864	1.4262
0.85084	0.96624	0.81037	0.7659	1.04994	1.26158
0.41035	0.93595	0.82067	0.82823	0.50002	1.13006
0.58828	1.01087	0.92164	0.77049	0.63829	1.31199
0.69865	0.82977	0.80948	0.70953	0.86308	1.16946
0.34632	1.23446	0.71832	0.66754	0.48213	1.84926
0.50041	1.19937	0.71003	0.61919	0.70478	1.937
0.30378	1.07712	0.6946	0.72892	0.43734	1.4777
0.70074	0.90125	0.92529	0.7958	0.75731	1.1325
0.43852	1.07587	0.85565	0.79508	0.51249	1.35315
0.31264	0.98007	0.66224	0.76021	0.4721	1.28922
0.71404	0.66643	0.85319	0.64713	0.83691	1.02983
0.57656	1.04101	0.83994	0.6502	0.68644	1.60106
0.36649	1.16717	0.66009	0.66286	0.55522	1.76081
0.30703	0.69412	0.71465	0.72228	0.42962	0.96101
0.51376	0.81145	0.8869	0.79686	0.57927	1.01831
0.16272	1.03595	0.36851	0.71809	0.44156	1.44265
0.59397	1.3519	0.9023	0.72598	0.65829	1.86218
0.4743	1.09982	0.73547	0.749	0.64489	1.46839
0.40245	1.13185	0.76246	0.77951	0.52783	1.45199
0.54366	1.06522	0.85925	0.7113	0.63271	1.49756
0.37398	1.13902	0.67718	0.67284	0.55226	1.69284
0.43984	1.04689	0.56545	0.40255	0.77786	2.60061
0.35398	1.01635	0.63624	0.62199	0.55636	1.63403
0.77392	0.84342	0.85445	0.79732	0.90575	1.05781
0.565	1.09217	0.83637	0.72921	0.67554	1.49776
0.51517	0.87215	0.91327	0.82728	0.56409	1.05425
0.35249	0.70577	0.79879	0.84394	0.44128	0.83629
0.82203	1.26661	0.91792	0.78137	0.89553	1.62101
0.38065	0.87927	0.88771	0.78541	0.4288	1.1195
0.31038	1.10854	0.76822	0.74501	0.40403	1.48797
0.66751	0.74368	0.85981	0.72133	0.77635	1.03097
0.86549	0.94424	0.86857	0.7143	0.99646	1.32191
0.29514	0.87154	0.7615	0.83718	0.38758	1.04104
0.67094	0.8854	0.77507	0.65239	0.86565	1.35716
0.52588	0.90327	0.89337	0.7736	0.58865	1.16762
0.62551	0.69706	0.8717	0.81702	0.71757	0.85317
0.9209	0.77525	0.88647	0.81332	1.03884	0.95319
0.43025	0.41113	0.8217	0.72915	0.52362	0.56386
0.43835	0.81803	0.78889	0.80817	0.55566	1.0122
0.54865	1.22497	0.85696	0.73424	0.64023	1.66835
0.78196	0.74497	0.92945	0.80204	0.84131	0.92884
0.29719	0.67856	0.74778	0.79643	0.39743	0.852
0.29071	0.69268	0.75777	0.69216	0.38364	1.00075
0.24631	1.21137	0.55909	0.62717	0.44055	1.9315
0.44595	1.17965	0.86724	0.73889	0.51422	1.59651
0.28366	0.91332	0.66563	0.6876	0.42615	1.32826
0.80646	1.34512	0.84213	0.69879	0.95765	1.92491
0.82312	1.12547	0.9136	0.79753	0.90097	1.41121
0.29063	1.19543	0.70641	0.75134	0.41141	1.59107
0.63083	0.79345	0.89622	0.82071	0.70388	0.96678
0.52337	1.21958	0.87512	0.76353	0.59806	1.59729
0.61618	0.82965	0.94829	0.74569	0.64978	1.1126
0.53172	0.7156	0.90287	0.83699	0.58892	0.85496
0.42726	1.21912	0.81254	0.69947	0.52584	1.74292
0.79418	1.24448	0.87944	0.78055	0.90305	1.59435
0.40745	0.87399	0.87585	0.75268	0.4652	1.16117
0.7913	1.06782	0.93898	0.79647	0.84272	1.34069
0.5725	0.77613	0.9259	0.73493	0.61832	1.05606
0.47934	0.73034	0.8667	0.85696	0.55306	0.85225
0.64367	1.0644	0.93026	0.74348	0.69193	1.43165
0.65682	0.8812	0.86592	0.79382	0.75852	1.11008
0.55514	0.61395	0.93197	0.82807	0.59566	0.74143
0.52894	0.90519	0.79106	0.79027	0.66864	1.14542
0.79223	1.08727	0.9624	0.83701	0.82318	1.29899
0.31993	0.69309	0.8075	0.79649	0.3962	0.87018
0.44333	0.76242	0.86156	0.80182	0.51456	0.95086
0.43647	0.97055	0.8514	0.79489	0.51265	1.22099
0.46892	1.04814	0.84724	0.78978	0.55347	1.32712
0.72646	1.03239	0.83665	0.61678	0.86829	1.67384
0.53513	1.20352	0.869	0.71489	0.61579	1.68351
0.98029	0.84059	0.84974	0.7396	1.15364	1.13655
0.43146	0.46506	0.84393	0.72402	0.51125	0.64233
0.70609	1.35613	0.83572	0.68176	0.84489	1.98917
0.11784	0.57275	0.25695	0.69755	0.45864	0.82109
0.70349	0.97328	0.83734	0.73695	0.84014	1.3207
0.41635	0.58673	0.76001	0.74623	0.54783	0.78625
0.37843	0.751	0.59599	0.74284	0.63496	1.01098
0.4565	1.39829	0.82267	0.73496	0.5549	1.90253
0.70745	0.95511	0.84584	0.80983	0.83639	1.17941
0.57106	1.10474	0.81443	0.71186	0.70118	1.55191
0.59897	0.58076	0.90564	0.78078	0.66138	0.74382
0.28448	0.86763	0.54597	0.65681	0.52105	1.32097
0.45958	1.09331	0.75898	0.72716	0.60552	1.50352
0.22951	1.09234	0.57585	0.76245	0.39856	1.43267
0.45458	1.1665	0.70909	0.67941	0.64107	1.71693
0.6484	1.52299	0.7834	0.6505	0.82767	2.34126
0.82003	1.17591	0.93047	0.74626	0.88131	1.57573
0.72457	0.83305	0.8962	0.82134	0.80849	1.01425
0.37775	0.922	0.84032	0.78131	0.44953	1.18006
0.33979	0.46035	0.8729	0.84072	0.38927	0.54757
0.54207	0.91327	0.88023	0.80048	0.61583	1.14091
0.48137	1.12861	0.81302	0.72109	0.59208	1.56515
0.61059	0.84656	0.90974	0.83137	0.67117	1.01826
0.33312	0.93501	0.84355	0.72046	0.39489	1.29779
0.75541	1.0745	0.92681	0.78917	0.81506	1.36156
0.40803	1.3603	0.823	0.67611	0.49578	2.01194
0.23651	1.01928	0.56296	0.73299	0.42012	1.39057
0.5142	0.74661	0.77612	0.7116	0.66253	1.0492
0.4929	1.08951	0.71463	0.74457	0.68972	1.46326
0.64865	0.80542	0.89887	0.80681	0.72163	0.99828
0.33044	0.83504	0.69298	0.78669	0.47683	1.06146
0.45896	0.93451	0.8087	0.79268	0.56752	1.17892
0.57076	0.46897	0.88704	0.82111	0.64345	0.57114
0.48006	1.14158	0.77641	0.65949	0.61831	1.731
0.54614	1.03018	0.92606	0.7198	0.58975	1.43119
0.49621	0.85066	0.72838	0.69647	0.68125	1.22138
0.47093	1.34484	0.87195	0.7189	0.54008	1.87069
0.30772	1.32472	0.65559	0.7581	0.46938	1.74743
0.41248	1.24235	0.83259	0.76464	0.49542	1.62475
0.39305	1.38988	0.68572	0.56152	0.57319	2.4752
0.21737	1.05871	0.55595	0.68302	0.39099	1.55004
0.38439	1.10428	0.80103	0.74691	0.47987	1.47847
0.38189	0.81302	0.73449	0.81085	0.51995	1.00268
0.28653	1.03209	0.73605	0.69977	0.38929	1.47491
0.62344	0.86515	0.92329	0.75799	0.67524	1.14138
0.31935	1.2364	0.68107	0.75037	0.46889	1.64772
0.68049	1.15507	0.93578	0.78569	0.72719	1.47014
0.50367	1.08757	0.84277	0.7688	0.59764	1.41464
0.58328	1.0286	0.87956	0.78877	0.66315	1.30405
0.78923	1.18852	0.85154	0.69644	0.92683	1.70657
0.09924	1.09207	0.1354	0.64543	0.7329	1.69201
0.49322	0.913	0.81668	0.72662	0.60393	1.25651
0.54692	1.15384	0.94075	0.78285	0.58136	1.47389
0.47192	1.03454	0.9047	0.82625	0.52163	1.25209
0.42156	0.43005	0.80719	0.70408	0.52225	0.61079
0.50633	1.17739	0.81706	0.77433	0.6197	1.52052
0.31518	0.97075	0.79251	0.7179	0.3977	1.35222
0.47207	0.8797	0.80398	0.77805	0.58717	1.13064
0.17575	0.93739	0.49925	0.66393	0.35204	1.41187
0.48192	1.04673	0.8506	0.74041	0.56656	1.41371
0.72592	0.95527	0.88625	0.83644	0.81909	1.14207
0.42626	1.03254	0.74644	0.72989	0.57106	1.41465
0.46371	0.83776	0.86853	0.77897	0.53391	1.07546
0.38289	0.69451	0.72655	0.74504	0.52699	0.93218
0.70987	1.09658	0.9319	0.77876	0.76174	1.40811
0.79762	1.3993	0.88341	0.77931	0.90289	1.79556
0.54669	1.37687	0.74879	0.58883	0.7301	2.33833
0.43312	1.23799	0.84756	0.74294	0.51102	1.66635
0.70102	0.92426	0.84676	0.74642	0.82788	1.23825
0.47389	0.89282	0.67545	0.69179	0.70158	1.2906
0.60196	0.7077	0.9273	0.81224	0.64915	0.8713
0.40931	0.70993	0.75747	0.81711	0.54036	0.86883
0.26431	1.07882	0.78826	0.80695	0.33531	1.33691
0.6515	1.18205	0.93382	0.81618	0.69767	1.44827
0.63391	1.21824	0.77636	0.67653	0.81651	1.8007
0.63012	0.86831	0.86854	0.7295	0.72549	1.19028
0.4127	1.03394	0.73954	0.57992	0.55805	1.7829
0.44805	0.76383	0.9335	0.81232	0.47997	0.9403
0.34144	1.00601	0.68651	0.75548	0.49735	1.33162
0.60112	0.86757	0.81311	0.70936	0.73928	1.22304
0.36373	0.93049	0.76282	0.72208	0.47682	1.28863
0.36389	1.30672	0.81366	0.72824	0.44722	1.79435
0.46901	1.15036	0.80375	0.73974	0.58353	1.55509
0.51255	1.22593	0.88152	0.79404	0.58144	1.54391
0.39516	0.76488	0.83658	0.79167	0.47236	0.96616
0.48513	0.73766	0.73061	0.75323	0.664	0.97933
0.75289	0.86042	0.95177	0.76101	0.79105	1.13062
0.68483	0.7535	0.89026	0.81327	0.76925	0.9265
0.73912	0.64415	0.94714	0.82259	0.78037	0.78308
0.49269	0.73548	0.89817	0.83233	0.54854	0.88363
0.59161	1.17082	0.83385	0.74029	0.70949	1.58156
0.46564	1.21162	0.81472	0.69016	0.57153	1.75555
0.51993	0.58348	0.88004	0.76317	0.5908	0.76454
0.24719	1.08825	0.62221	0.77096	0.39727	1.41155
0.50436	0.98232	0.81595	0.67824	0.61812	1.44834
0.23509	0.72182	0.37785	0.6083	0.62218	1.18661
0.53573	0.93873	0.83245	0.78838	0.64356	1.1907
0.27114	0.73994	0.65485	0.64698	0.41405	1.14369
0.43141	1.06273	0.79557	0.72784	0.54227	1.46011
0.56903	0.81339	0.89078	0.78013	0.6388	1.04264
0.5626	0.94839	0.79225	0.66274	0.71014	1.43101
0.43338	0.56744	0.73142	0.70756	0.59251	0.80197
0.44214	0.77811	0.80054	0.72725	0.5523	1.06993
0.64596	1.08928	0.8541	0.72476	0.75631	1.50296
0.57846	0.85476	0.90426	0.76272	0.63971	1.12067
0.66285	0.67925	0.89254	0.71444	0.74265	0.95074
0.51851	1.06729	0.90407	0.80711	0.57353	1.32236
0.69719	1.06466	0.92517	0.77297	0.75358	1.37737
0.50519	0.81151	0.8742	0.78859	0.57789	1.02905
0.47347	1.07665	0.87339	0.84688	0.54211	1.2713
0.67749	0.53884	0.82409	0.74523	0.82211	0.72305
0.79759	1.39366	0.87841	0.76031	0.90799	1.83301
0.92101	0.80102	0.8764	0.74115	1.05091	1.08078
0.42597	0.84591	0.88214	0.78716	0.48288	1.07463
0.47642	1.12474	0.85701	0.70265	0.55591	1.6007
0.6534	0.62656	0.8832	0.70833	0.7398	0.88455
0.21781	0.84945	0.5801	0.78209	0.37547	1.08614
0.80005	0.95431	0.91373	0.73835	0.87558	1.29249
0.51521	0.94163	0.8512	0.80504	0.60527	1.16967
0.4724	1.09614	0.70922	0.6634	0.66608	1.65229
0.35069	0.96144	0.83721	0.71783	0.41888	1.33938
0.75784	1.35675	0.89937	0.70243	0.84263	1.93151
0.49235	1.17083	0.75663	0.62441	0.65071	1.87509
0.59875	0.79073	0.85769	0.74878	0.6981	1.05604
0.27474	0.81938	0.66152	0.73521	0.41532	1.11448
0.53873	1.14824	0.67435	0.65518	0.79889	1.75255
0.29964	1.25818	0.7347	0.72035	0.40784	1.74663
0.19156	0.76051	0.52533	0.81508	0.36466	0.93304
0.79937	1.23643	0.90517	0.74508	0.88311	1.65946
0.41652	0.95143	0.77072	0.8152	0.54043	1.16711
0.58704	1.39106	0.85904	0.72704	0.68337	1.91331
0.23904	0.9281	0.48066	0.70367	0.49732	1.31895
0.5458	1.04391	0.93836	0.82464	0.58166	1.26589
0.40539	0.92132	0.5253	0.61577	0.77174	1.49621
0.38835	0.81418	0.87991	0.77141	0.44134	1.05543
0.99587	1.12919	0.79256	0.70798	1.25652	1.59495
0.8413	0.96923	0.956	0.78488	0.88003	1.23489
0.2036	0.63311	0.28257	0.45934	0.72055	1.37832
0.37474	1.12735	0.78277	0.61128	0.47874	1.84423
