level	n_perm	auc_obs	null_median	null_p95	null_max	p	note
1. 状態レベル網羅 C(16,4)	1820	0.7431	0.4974	0.6593	0.7832	0.0093	
2. データセット構成保存	1	0.7431	0.7431	0.7431	0.7431		退化（並べ替えが観測の1通りしかない）
3. データセットレベル（最厳）	3	0.7431	0.3832	0.7431	0.7431	0.3333	species が dataset と完全交絡のため p >= 1/3 が下限
