gene	cat_CKD34	mouse_2W
-	NA	0.0658911622954206
0610005C13RIK	NA	0.05339914972377703
0610006L08RIK	NA	0.05645417655707469
0610009B22RIK	NA	0.05040652233632024
0610009L18RIK	NA	0.06697139496321224
0610010F05RIK	NA	0.07445324511013385
0610010K14RIK	NA	0.07069738652540149
0610012G03RIK	NA	0.06452058320570908
0610031O16RIK	NA	0.08271284381436667
0610033M10RIK	NA	0.08884776401764612
0610040F04RIK	NA	0.05668197839444815
0610040J01RIK	NA	0.06126434294523676
0610043K17RIK	NA	0.07425683092945555
1110002L01RIK	NA	0.07750835165382325
1110006O24RIK	NA	0.0954317833952834
1110008P14RIK	NA	0.0771810737396575
1110019B22RIK	NA	0.08539271189290366
1110019D14RIK	NA	0.06702381941886028
1110025M09RIK	NA	0.07048019870824794
1110032A03RIK	NA	0.05224566098611648
1110038B12RIK	NA	0.07656179261531566
1110051M20RIK	NA	0.09919289495776917
1190007I07RIK	NA	0.07521114122862975
1300002E11RIK	NA	0.06974879045826672
1300014J16RIK	NA	0.07151265499852685
1500011B03RIK	NA	0.07340688383727682
1500015A07RIK	NA	0.05218029439503258
1500026H17RIK	NA	0.07404947905521071
1600020E01RIK	NA	0.06221208275657805
1700007L15RIK	NA	0.1153658290249349
1700008J07RIK	NA	0.0828999311697899
1700016C15RIK	NA	0.08600912573458634
1700028J19RIK	NA	0.11780276392166748
1700029J07RIK	NA	0.10100679087062568
1700030C10RIK	NA	0.09637169078946987
1700037H04RIK	NA	0.06544395437193462
1700052K11RIK	NA	0.06388557289589263
1700086O06RIK	NA	0.09793311761047235
1700094D03RIK	NA	0.05315456218255692
1700096K18RIK	NA	0.07424065828915398
1700102H20RIK	NA	0.09877121553919627
1700113A16RIK	NA	0.11324397808488557
1700119H24RIK	NA	0.11786069048958278
1810013L24RIK	NA	0.06284126560267228
1810014B01RIK	NA	0.06732792898741186
1810017P11RIK	NA	0.1198860565977904
1810019D21RIK	NA	0.12691563891587787
1810021B22RIK	NA	0.11424417179418943
1810034E14RIK	NA	0.10142151916274383
1810037I17RIK	NA	0.05559413443410684
1810041H14RIK	NA	0.06644845183843723
1810044D09RIK	NA	0.11769925848863745
1810058I24RIK	NA	0.0677377100567836
1810059H22RIK	NA	0.05898505686612233
1810063I02RIK	NA	0.2552596195763448
2010001A14RIK	NA	0.09092731846123428
2010203P06RIK	NA	0.1360170653648873
2010204K13RIK	NA	0.120798913066299
2010315B03RIK	NA	0.06931001845135945
2010320M18RIK	NA	0.06725771014411351
2210016F16RIK	NA	0.05563396289984712
2210408F21RIK	NA	0.0689742569533238
2210418O10RIK	NA	0.08054739110224697
2310001H17RIK	NA	0.05727590102503337
2310010J17RIK	NA	0.11474308806405611
2310014F06RIK	NA	0.05329002581530166
2310015A10RIK	NA	0.05485559249127988
2310015A16RIK	NA	0.09630377848441157
2310039H08RIK	NA	0.049761254312929826
2410002F23RIK	NA	0.1177894386461988
2410006H16RIK	NA	0.11449579320669702
2410022M11RIK	NA	0.11190241937253598
2500002B13RIK	NA	0.08514382198409909
2500004C02RIK	NA	0.11107390089357223
2510016D11RIK	NA	0.06427830274568104
2510046G10RIK	NA	0.08475065472482092
2610001J05RIK	NA	0.0962500118621724
2610002M06RIK	NA	0.04818149911704924
2610005L07RIK	NA	0.05309611317204683
2610008E11RIK	NA	0.0780646484031757
2610016A17RIK	NA	0.06420772524326067
2610021A01RIK	NA	0.0805636376579009
2610035D17RIK	NA	0.321190401142118
2610044O15RIK8	NA	0.04790904401679638
2610301B20RIK	NA	0.08526081982709176
2610306M01RIK	NA	0.15396912223374346
2610507B11RIK	NA	0.06762640102539881
2610507I01RIK	NA	0.07743516334577141
2700033N17RIK	NA	0.07897783551970335
2700046G09RIK	NA	0.055441780720866064
