set	n	rho	fisher_lo	fisher_hi	boot_lo	boot_hi	median_expr_rank	n_with_expr
all	10581	0.49716802951214456	0.4818088792753881	0.5122217917248318	0.47987458921535653	0.5133893965980498	0.4915546923433238	10581
core	8781	0.4919324550560666	0.4749613688665289	0.5085377600685833	0.47254774587441134	0.5096205156510839	0.48142171571079206	8781
added	1800	0.5209066257942261	0.48408907455194305	0.5558829947735778	0.47884546456966753	0.5603576757028769	0.5410236001237541	1800
