collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
Reactome	Cyclin A Cdk2-associated Events at S Phase Entry	30	0.6843	0.3679	-0.1674	0.6902	0.5074	-0.1674	0.6804	0.5074	-0.1674
Reactome	Cyclin E Associated Events During G1 S Transition	30	0.6843	0.3679	-0.1674	0.6902	0.5074	-0.1674	0.6804	0.5074	-0.1674
Reactome	Cytokine Signaling in Immune System	147	0.7656	0.789	0.5423	0.8056	0.7986	0.5423	0.7845	0.7986	0.5423
Reactome	DNA Repair	33	0.6649	0.6366	0.3158	0.7169	0.6513	0.3158	0.6845	0.627	0.3158
Reactome	DNA Replication	34	0.7269	0.4693	-0.0935	0.734	0.6155	-0.0935	0.7274	0.6155	-0.0935
Reactome	DNA Replication Pre-Initiation	33	0.7237	0.454	-0.1306	0.7345	0.5759	-0.1306	0.7274	0.5759	-0.1306
Reactome	Dectin-1 Mediated Noncanonical NF-kB Signaling	31	0.6904	0.3595	-0.1707	0.7003	0.5031	-0.1707	0.6911	0.5031	-0.1707
Reactome	Defective CFTR Causes Cystic Fibrosis	31	0.669	0.4054	0.022	0.6736	0.498	0.022	0.6458	0.498	0.022
Reactome	Degradation of DVL	30	0.6716	0.3894	-0.1105	0.6752	0.4911	-0.1105	0.6619	0.4911	-0.1105
Reactome	Degradation of GLI1 by the Proteasome	31	0.6997	0.4084	-0.1108	0.6944	0.456	-0.1108	0.6821	0.456	-0.1108
Reactome	Degradation of GLI2 by the Proteasome	30	0.6823	0.4056	-0.1316	0.679	0.4558	-0.1316	0.6679	0.4558	-0.1316
Reactome	Degradation of Beta-Catenin by the Destruction Complex	34	0.7283	0.4143	-0.1681	0.727	0.5372	-0.1681	0.7196	0.5372	-0.1681
Reactome	Deubiquitination	57	0.6467	0.3653	0.2146	0.6335	0.4135	0.2146	0.6006	0.3576	0.2146
Reactome	Developmental Biology	230	0.7989	0.7757	0.4689	0.836	0.7785	0.4689	0.8173	0.8011	0.4689
Reactome	Diseases of Metabolism	69	0.7662	0.7177	0.5178	0.7596	0.7258	0.5178	0.7321	0.6719	0.5178
Reactome	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	101	0.6583	0.7703	0.5917	0.7196	0.7867	0.5917	0.6982	0.8086	0.5917
Reactome	Disorders of Transmembrane Transporters	47	0.5009	0.3834	0.4193	0.5208	0.4709	0.4193	0.4685	0.3823	0.4193
Reactome	Downstream TCR Signaling	31	0.7156	0.5476	0.1163	0.7137	0.5785	0.1163	0.7101	0.5785	0.1163
Reactome	Downstream Signaling Events of B Cell Receptor (BCR)	34	0.7462	0.6166	0.097	0.7399	0.6328	0.097	0.7304	0.6328	0.097
Reactome	EPH-Ephrin Signaling	32	0.8776	0.7108	0.3086	0.9081	0.7407	0.3086	0.8976	0.7407	0.3086
Reactome	ER to Golgi Anterograde Transport	60	0.8756	0.763	0.4171	0.8894	0.7635	0.4171	0.8774	0.7871	0.4171
Reactome	ER-Phagosome Pathway	37	0.5483	0.7577	0.6076	0.5657	0.8049	0.6076	0.5577	0.8117	0.6076
Reactome	Eukaryotic Translation Elongation	66	0.6829	0.9229	0.6356	0.727	0.9394	0.6356	0.747	0.9449	0.6356
Reactome	Eukaryotic Translation Initiation	84	0.6661	0.8687	0.5717	0.7233	0.9063	0.5717	0.7315	0.9095	0.5717
Reactome	Eukaryotic Translation Termination	65	0.6722	0.9034	0.6693	0.7318	0.9338	0.6693	0.7482	0.9375	0.6693
Reactome	Extracellular Matrix Organization	59	0.8119	0.815	0.5654	0.8066	0.8134	0.5654	0.8042	0.8162	0.5654
Reactome	FCERI Mediated NF-kB Activation	31	0.7156	0.5476	0.1163	0.7137	0.5785	0.1163	0.7101	0.5785	0.1163
Reactome	Fatty Acid Metabolism	67	0.6866	0.6222	0.5129	0.64	0.6016	0.5129	0.5988	0.5873	0.5129
Reactome	Fc Epsilon Receptor (FCERI) Signaling	39	0.7561	0.5559	0.1509	0.7575	0.556	0.1509	0.7417	0.556	0.1509
Reactome	Formation of a Pool of Free 40S Subunits	73	0.6652	0.912	0.6289	0.7174	0.9296	0.6289	0.7345	0.9359	0.6289
Reactome	Formation of the Ternary Complex, and Subsequently, the 43S Complex	39	0.6435	0.8808	0.6364	0.6934	0.9216	0.6364	0.7042	0.9224	0.6364
Reactome	G1 S Transition	36	0.7283	0.4465	-0.067	0.7372	0.6254	-0.067	0.731	0.6254	-0.067
Reactome	G2 M Checkpoints	39	0.7656	0.5168	-0.141	0.7569	0.6185	-0.141	0.7494	0.6185	-0.141
Reactome	G2 M Transition	58	0.7326	0.7492	0.4793	0.7612	0.7809	0.4793	0.753	0.7978	0.4793
Reactome	GLI3 Is Processed to GLI3R by the Proteasome	30	0.6823	0.4056	-0.1316	0.679	0.4558	-0.1316	0.6679	0.4558	-0.1316
Reactome	GPCR Downstream Signalling	35	0.8539	0.7744	0.4425	0.883	0.7839	0.4425	0.8696	0.765	0.4425
Reactome	GTP Hydrolysis and Joining of the 60S Ribosomal Subunit	83	0.6638	0.8682	0.5676	0.7228	0.9071	0.5676	0.7298	0.9092	0.5676
Reactome	Gastrulation	30	0.64	0.4059	0.0544	0.6181	0.3451	0.0544	0.6006	0.3451	0.0544
Reactome	Gene and Protein Expression by JAK-STAT Signaling After Interleukin-12 Stimulation	30	0.7812	0.8207	0.5442	0.8216	0.8225	0.5442	0.8012	0.8	0.5442
Reactome	Gene Expression (Transcription)	147	0.7364	0.7193	0.4635	0.7735	0.735	0.4635	0.7476	0.735	0.4635
Reactome	Generic Transcription Pathway	111	0.7465	0.7485	0.5397	0.7842	0.7658	0.5397	0.7619	0.7658	0.5397
Reactome	Glucose Metabolism	33	0.7297	0.4356	0.2097	0.7719	0.4961	0.2097	0.7458	0.4501	0.2097
Reactome	Golgi-to-ER Retrograde Transport	47	0.7679	0.7573	0.5275	0.8007	0.7588	0.5275	0.7899	0.7588	0.5275
Reactome	HIV Infection	69	0.7636	0.4956	0.0509	0.7762	0.5709	0.0509	0.7524	0.555	0.0509
Reactome	Hedgehog 'Off' State	38	0.6823	0.7506	0.603	0.6629	0.7545	0.603	0.6661	0.7907	0.603
