reactome_set	max_jaccard_vs_kegg
Peptide Chain Elongation	0.9118
Peroxisomal Protein Import	0.6304
Platelet Activation, Signaling and Aggregation	0.2
Platelet Degranulation	0.0787
Post-translational Protein Modification	0.1413
Processing of Capped Intron-Containing Pre-mRNA	0.6375
Programmed Cell Death	0.359
Proteasome Assembly	0.9697
Protein Folding	0.1017
Protein Localization	0.3647
RAF MAP Kinase Cascade	0.4375
RHO GTPase Effectors	0.3333
RHO GTPase Cycle	0.1176
RNA Polymerase II Transcription	0.2154
Regulation of APC C Activators Between G1 S and Early Anaphase	0.8235
Regulation of Apoptosis	0.8
Regulation of PTEN Stability and Activity	0.8
Regulation of RAS by GAPs	0.8235
Regulation of RUNX2 Expression and Activity	0.8235
Regulation of RUNX3 Expression and Activity	0.8235
Regulation of Activated PAK-2p34 by Proteasome Mediated Degradation	0.8235
Regulation of Expression of SLITs and ROBOs	0.6078
Regulation of mRNA Stability by Proteins That Bind AU-rich Elements	0.5833
Regulation of Mitotic Cell Cycle	0.8235
Respiratory Electron Transport	0.5417
Response of EIF2AK4 (GCN2) to Amino Acid Deficiency	0.9118
Response to Elevated Platelet Cytosolic Ca2+	0.0899
Ribosomal Scanning and Start Codon Recognition	0.3023
S Phase	0.7
SARS-CoV Infections	0.1902
SARS-CoV-1 Infection	0.2788
SARS-CoV-1-host Interactions	0.2989
SARS-CoV-2 Infection	0.2308
SARS-CoV-2 Modulates Host Translation Machinery	0.3662
SARS-CoV-2-host Interactions	0.2661
SRP-dependent Cotranslational Protein Targeting to Membrane	0.8052
Selective Autophagy	0.1176
Selenoamino Acid Metabolism	0.7949
Selenocysteine Synthesis	0.9394
Sensory Perception	0.0897
Separation of Sister Chromatids	0.5
Signaling by ALK Fusions and Activated Point Mutants	0.1098
Signaling by ALK in Cancer	0.1098
Signaling by GPCR	0.34
Signaling by Hedgehog	0.6087
Signaling by Interleukins	0.2816
Signaling by NOTCH	0.6222
Signaling by NOTCH4	0.8
Signaling by Nuclear Receptors	0.1311
Signaling by ROBO Receptors	0.5345
Signaling by Receptor Tyrosine Kinases	0.3421
Signaling by Rho GTPases	0.2
Signaling by Rho GTPases, Miro GTPases and RHOBTB3	0.1959
Signaling by WNT	0.4179
Signaling by the B Cell Receptor (BCR)	0.6829
Synthesis of DNA	0.7568
TCF Dependent Signaling in Response to WNT	0.6222
TCR Signaling	0.7179
TNFR2 Non-Canonical NF-kB Pathway	0.8
The Role of GTSE1 in G2 M Progression After G2 Checkpoint	0.7
Transcriptional Regulation by TP53	0.1124
Transcriptional Regulation by RUNX1	0.6364
Transcriptional Regulation by RUNX2	0.7179
Transcriptional Regulation by RUNX3	0.7778
Translation	0.5238
Translation Initiation Complex Formation	0.3023
Transmission Across Chemical Synapses	0.1493
Transport of Small Molecules	0.2482
Transport to the Golgi and Subsequent Modification	0.128
UCH Proteinases	0.7568
Ub-specific Processing Proteases	0.5385
Vesicle-mediated Transport	0.2201
Vif-mediated Degradation of APOBEC3G	0.8235
Viral Infection Pathways	0.2742
Viral mRNA Translation	0.9254
mRNA Splicing	0.7183
mRNA Splicing - Major Pathway	0.7183
rRNA Processing	0.8611
rRNA Processing in the Nucleus and Cytosol	0.8732
trans-Golgi Network Vesicle Budding	0.1967
