state	filter	n_genes_kept	n_groupA_finite	r_half	r_SB
cat_CKD12	none	15149	2016	0.5677	0.7243
cat_CKD34	none	15149	2016	0.8407	0.9135
cat_med_CKD12	none	15267	2016	0.8509	0.9194
cat_med_CKD34	none	15267	2016	0.6157	0.7621
cat_CKD12	>=2.748485460491866	11682	2000	0.6027	0.7521
cat_CKD34	>=2.748485460491866	11908	2001	0.8489	0.9183
cat_med_CKD12	>=2.748485460491866	12138	1998	0.8569	0.923
cat_med_CKD34	>=2.748485460491866	12201	1999	0.6284	0.7718
