ceiling	statistic	observed	n_perm	null_median	null_p95	p_one_sided	p_two_sided
uncorrected	median gap, cross minus same species	0.2188	1820	-0.0123	0.1408	0.0011	0.0011
Spearman-Brown	median gap, cross minus same species	0.239	1820	-0.0091	0.1256	0.0005	0.0005
