collection	pathway	n_genes	auc
GO_BP	Protein Modification By Small Protein Conjugation (GO:0032446)	43	0.6271
GO_BP	Protein Modification Process (GO:0036211)	86	0.813
GO_BP	Protein Phosphorylation (GO:0006468)	42	0.8285
GO_BP	Protein Stabilization (GO:0050821)	59	0.7885
GO_BP	Protein Transport (GO:0015031)	85	0.7639
GO_BP	Protein Ubiquitination (GO:0016567)	32	0.6512
GO_BP	protein-RNA Complex Assembly (GO:0022618)	45	0.7879
GO_BP	Protein-Containing Complex Assembly (GO:0065003)	74	0.7292
GO_BP	Proteolysis (GO:0006508)	53	0.812
GO_BP	Proton Motive Force-Driven ATP Synthesis (GO:0015986)	32	0.367
GO_BP	Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	32	0.367
GO_BP	Receptor-Mediated Endocytosis (GO:0006898)	38	0.8125
GO_BP	Regulation Of DNA-templated Transcription (GO:0006355)	126	0.7991
GO_BP	Regulation Of GTPase Activity (GO:0043087)	31	0.7639
GO_BP	Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	32	0.8851
GO_BP	Regulation Of Angiogenesis (GO:0045765)	35	0.9145
GO_BP	Regulation Of Apoptotic Process (GO:0042981)	131	0.8499
GO_BP	Regulation Of Autophagy (GO:0010506)	47	0.9738
GO_BP	Regulation Of Cell Migration (GO:0030334)	70	0.8333
GO_BP	Regulation Of Cell Population Proliferation (GO:0042127)	84	0.9012
GO_BP	Regulation Of Cytoskeleton Organization (GO:0051493)	31	0.8034
GO_BP	Regulation Of Gene Expression (GO:0010468)	116	0.8451
GO_BP	Regulation Of Macroautophagy (GO:0016241)	30	0.6902
GO_BP	Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)	33	0.906
GO_BP	Regulation Of Organelle Organization (GO:0033043)	31	0.7041
GO_BP	Regulation Of Programmed Cell Death (GO:0043067)	40	0.7949
GO_BP	Regulation Of Protein Catabolic Process (GO:0042176)	32	0.8189
GO_BP	Regulation Of Protein Phosphorylation (GO:0001932)	36	0.9696
GO_BP	Regulation Of Translation (GO:0006417)	63	0.9391
GO_BP	Supramolecular Fiber Organization (GO:0097435)	60	0.7949
GO_BP	Translation (GO:0006412)	93	0.7329
GO_BP	Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	61	0.6506
GO_BP	Vesicle-Mediated Transport (GO:0016192)	83	0.8681
KEGG	Alzheimer disease	108	0.758
KEGG	Amyotrophic lateral sclerosis	120	0.6918
KEGG	Bacterial invasion of epithelial cells	33	0.7634
KEGG	Chemical carcinogenesis	30	0.7575
KEGG	Coronavirus disease	77	0.6998
KEGG	Diabetic cardiomyopathy	62	0.8237
KEGG	Endocytosis	70	0.8552
