dissimilarity	class	n	median	min	max
D_rho (1-Spearman)	within species	72	0.4136	0.0878	1.0318
D_rho (1-Spearman)	cross species	48	0.6324	0.467	0.8563
D_cos (1-cos)	within species	72	0.3784	0.0512	0.9155
D_cos (1-cos)	cross species	48	0.6737	0.5621	0.8633
D_nrm (|log2 norm ratio|)	within species	72	0.493	0.0192	1.819
D_nrm (|log2 norm ratio|)	cross species	48	0.4708	0.0049	1.7454
