level	n_perm	auc_obs	null_median	null_p95	null_max	p	note
1. 状態レベル網羅 C(16,4)	1820	0.7809	0.4918	0.6863	0.8565	0.006	
2. データセット構成保存	1	0.7809	0.7809	0.7809	0.7809		退化（並べ替えが観測の1通りしかない）
3. データセットレベル（最厳）	3	0.7809	0.336	0.7809	0.7809	0.3333	species が dataset と完全交絡のため p >= 1/3 が下限
