a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass	ceiling_median	ceiling_lo95	ceiling_hi95	cos_corrected	cos_corrected_lo95	cos_corrected_hi95	cos_exceeds_ceiling
cat_CKD12	cat_CKD34	0.9069	0.8951	within_dataset	cat	cat	True	same_compartment_diff_stage	0.8089	0.0	0.8945	1.1155	1.0137	2.5302	True
cat_CKD12	cat_med_CKD12	0.7591	0.8216	within_dataset	cat	cat	False	same_stage_diff_compartment	0.8062	0.0	0.8984	0.9318	0.8449	2.0461	False
cat_CKD12	cat_med_CKD34	0.7937	0.8164	within_dataset	cat	cat	False	diff_compartment_diff_stage	0.7165	0.0	0.8506	1.0964	0.9331	3.1804	True
cat_CKD12	mouse_5D	0.2864	0.4169	cross_species	cat	podtreck	False		0.828	0.0	0.9106	0.3443	0.3145	0.7688	False
cat_CKD12	mouse_2W	0.4703	0.6021	cross_species	cat	podtreck	False		0.8468	0.0	0.9295	0.5525	0.506	1.2052	False
cat_CKD12	mouse_3W	0.4491	0.5886	cross_species	cat	podtreck	False		0.8218	0.0	0.9133	0.5436	0.4913	1.2215	False
cat_CKD12	IRI_2h	0.2537	0.2602	cross_species	cat	iri	False		0.7559	0.0	0.8562	0.3339	0.2957	0.7184	False
cat_CKD12	IRI_4h	0.2922	0.3465	cross_species	cat	iri	False		0.788	0.0	0.878	0.3693	0.3324	0.8058	False
cat_CKD12	IRI_24h	0.4599	0.5476	cross_species	cat	iri	False		0.8379	0.0	0.9188	0.5468	0.5004	1.2063	False
cat_CKD12	IRI_48h	0.4829	0.5603	cross_species	cat	iri	False		0.8365	0.0	0.9185	0.5741	0.5256	1.2655	False
cat_CKD12	IRI_72h	0.5089	0.561	cross_species	cat	iri	False		0.8062	0.0	0.9019	0.6263	0.5629	1.3951	False
cat_CKD12	IRI_7d	0.5134	0.6201	cross_species	cat	iri	False		0.8402	0.0	0.9227	0.6086	0.5563	1.3379	False
cat_CKD12	IRI_14d	0.4984	0.5425	cross_species	cat	iri	False		0.8269	0.0	0.909	0.6012	0.548	1.3251	False
cat_CKD12	IRI_28d	0.472	0.5422	cross_species	cat	iri	False		0.8222	0.0	0.9084	0.5709	0.5194	1.2528	False
cat_CKD12	IRI_12mo	0.5035	0.5933	cross_species	cat	iri	False		0.8054	0.0	0.8916	0.6221	0.5647	1.3587	False
cat_CKD34	cat_med_CKD12	0.7898	0.8308	within_dataset	cat	cat	False	diff_compartment_diff_stage	0.9122	0.7883	0.9445	0.8658	0.8362	1.0018	False
cat_CKD34	cat_med_CKD34	0.8574	0.8066	within_dataset	cat	cat	False	same_stage_diff_compartment	0.8223	0.2529	0.9141	1.0393	0.938	1.9834	True
cat_CKD34	mouse_5D	0.3462	0.492	cross_species	cat	podtreck	False		0.9257	0.8704	0.9552	0.374	0.3625	0.3978	False
cat_CKD34	mouse_2W	0.4984	0.6655	cross_species	cat	podtreck	False		0.9511	0.8882	0.9722	0.524	0.5126	0.5611	False
cat_CKD34	mouse_3W	0.4801	0.6364	cross_species	cat	podtreck	False		0.9261	0.843	0.9557	0.5184	0.5024	0.5696	False
cat_CKD34	IRI_2h	0.193	0.1777	cross_species	cat	iri	False		0.8533	0.7321	0.9109	0.2262	0.2119	0.2637	False
cat_CKD34	IRI_4h	0.3029	0.3609	cross_species	cat	iri	False		0.8917	0.7671	0.9251	0.3397	0.3274	0.3949	False
cat_CKD34	IRI_24h	0.5176	0.6083	cross_species	cat	iri	False		0.94	0.8831	0.9643	0.5506	0.5367	0.5861	False
cat_CKD34	IRI_48h	0.5101	0.5935	cross_species	cat	iri	False		0.9351	0.881	0.961	0.5455	0.5308	0.579	False
cat_CKD34	IRI_72h	0.5482	0.6121	cross_species	cat	iri	False		0.9033	0.8413	0.9498	0.6069	0.5772	0.6516	False
cat_CKD34	IRI_7d	0.5116	0.6309	cross_species	cat	iri	False		0.9413	0.8817	0.9637	0.5435	0.5309	0.5803	False
cat_CKD34	IRI_14d	0.4698	0.5294	cross_species	cat	iri	False		0.9251	0.8645	0.9541	0.5078	0.4924	0.5434	False
cat_CKD34	IRI_28d	0.4841	0.6128	cross_species	cat	iri	False		0.9231	0.835	0.9523	0.5244	0.5083	0.5797	False
cat_CKD34	IRI_12mo	0.4416	0.525	cross_species	cat	iri	False		0.9049	0.8502	0.9375	0.488	0.4711	0.5194	False
cat_med_CKD12	cat_med_CKD34	0.8316	0.7744	within_dataset	cat	cat	True	same_compartment_diff_stage	0.8241	0.2525	0.9149	1.0062	0.909	1.9425	True
cat_med_CKD12	mouse_5D	0.186	0.447	cross_species	cat	podtreck	False		0.9297	0.8149	0.9612	0.2001	0.1935	0.2283	False
cat_med_CKD12	mouse_2W	0.4121	0.6646	cross_species	cat	podtreck	False		0.955	0.8333	0.9779	0.4315	0.4214	0.4945	False
cat_med_CKD12	mouse_3W	0.4132	0.6456	cross_species	cat	podtreck	False		0.9222	0.8061	0.9626	0.448	0.4292	0.5125	False
cat_med_CKD12	IRI_2h	0.1995	0.2297	cross_species	cat	iri	False		0.8558	0.7153	0.922	0.2331	0.2163	0.2789	False
cat_med_CKD12	IRI_4h	0.2598	0.3556	cross_species	cat	iri	False		0.8947	0.7548	0.9317	0.2904	0.2788	0.3442	False
cat_med_CKD12	IRI_24h	0.4576	0.5853	cross_species	cat	iri	False		0.9439	0.826	0.9694	0.4848	0.472	0.554	False
cat_med_CKD12	IRI_48h	0.4251	0.5882	cross_species	cat	iri	False		0.9397	0.8203	0.9685	0.4523	0.4389	0.5182	False
cat_med_CKD12	IRI_72h	0.4459	0.6	cross_species	cat	iri	False		0.9053	0.7853	0.9566	0.4925	0.4661	0.5678	False
cat_med_CKD12	IRI_7d	0.3996	0.6487	cross_species	cat	iri	False		0.9458	0.8262	0.9697	0.4225	0.4121	0.4837	False
cat_med_CKD12	IRI_14d	0.3721	0.5678	cross_species	cat	iri	False		0.9278	0.8094	0.955	0.401	0.3896	0.4597	False
cat_med_CKD12	IRI_28d	0.3712	0.6308	cross_species	cat	iri	False		0.9256	0.8049	0.9587	0.4011	0.3872	0.4612	False
cat_med_CKD12	IRI_12mo	0.2948	0.5515	cross_species	cat	iri	False		0.9062	0.8007	0.9453	0.3253	0.3119	0.3682	False
cat_med_CKD34	mouse_5D	0.3255	0.4509	cross_species	cat	podtreck	False		0.8464	0.2586	0.9256	0.3832	0.3516	0.7327	False
cat_med_CKD34	mouse_2W	0.4725	0.5778	cross_species	cat	podtreck	False		0.8679	0.2643	0.9487	0.5425	0.4979	1.0287	False
cat_med_CKD34	mouse_3W	0.4939	0.608	cross_species	cat	podtreck	False		0.8337	0.2539	0.9276	0.5903	0.5324	1.1353	False
cat_med_CKD34	IRI_2h	0.2137	0.2557	cross_species	cat	iri	False		0.7669	0.236	0.8702	0.278	0.2455	0.5221	False
cat_med_CKD34	IRI_4h	0.2648	0.3317	cross_species	cat	iri	False		0.8018	0.248	0.8937	0.3295	0.2962	0.6253	False
cat_med_CKD34	IRI_24h	0.506	0.5393	cross_species	cat	iri	False		0.8575	0.2621	0.9367	0.588	0.5399	1.1154	False
cat_med_CKD34	IRI_48h	0.5163	0.5951	cross_species	cat	iri	False		0.8555	0.2597	0.9309	0.6017	0.5545	1.1507	False
cat_med_CKD34	IRI_72h	0.5275	0.5839	cross_species	cat	iri	False		0.827	0.2571	0.9143	0.6371	0.5769	1.218	False
cat_med_CKD34	IRI_7d	0.4946	0.6415	cross_species	cat	iri	False		0.8612	0.2606	0.9392	0.5733	0.5266	1.0926	False
cat_med_CKD34	IRI_14d	0.4321	0.5333	cross_species	cat	iri	False		0.8432	0.2589	0.9255	0.5103	0.4666	0.9783	False
cat_med_CKD34	IRI_28d	0.3836	0.4953	cross_species	cat	iri	False		0.838	0.2526	0.9231	0.4563	0.4154	0.8528	False
cat_med_CKD34	IRI_12mo	0.421	0.6454	cross_species	cat	iri	False		0.8274	0.2552	0.9071	0.5081	0.4641	0.973	False
mouse_5D	mouse_2W	0.7683	0.7358	within_dataset	podtreck	podtreck	True		0.9694	0.9435	0.9855	0.7926	0.7797	0.8143	False
mouse_5D	mouse_3W	0.7757	0.736	within_dataset	podtreck	podtreck	True		0.9421	0.8764	0.9734	0.8233	0.7969	0.8851	False
mouse_5D	IRI_2h	-0.0332	-0.0052	same_species_diff_dataset	podtreck	iri	False		0.8738	0.7416	0.9291	-0.038	-0.0447	-0.0357	False
mouse_5D	IRI_4h	0.3414	0.3908	same_species_diff_dataset	podtreck	iri	False		0.9075	0.7857	0.9424	0.3762	0.3622	0.4345	False
mouse_5D	IRI_24h	0.7145	0.693	same_species_diff_dataset	podtreck	iri	False		0.9576	0.9277	0.9785	0.7462	0.7303	0.7703	False
mouse_5D	IRI_48h	0.7021	0.6678	same_species_diff_dataset	podtreck	iri	False		0.9536	0.9182	0.9763	0.7363	0.7192	0.7647	False
mouse_5D	IRI_72h	0.7273	0.7163	same_species_diff_dataset	podtreck	iri	False		0.9209	0.8771	0.9644	0.7898	0.7542	0.8293	False
mouse_5D	IRI_7d	0.6827	0.6414	same_species_diff_dataset	podtreck	iri	False		0.9604	0.9287	0.9789	0.7108	0.6974	0.7351	False
mouse_5D	IRI_14d	0.4543	0.3891	same_species_diff_dataset	podtreck	iri	False		0.9423	0.9052	0.9664	0.4821	0.4702	0.5019	False
mouse_5D	IRI_28d	0.595	0.5792	same_species_diff_dataset	podtreck	iri	False		0.9403	0.8574	0.9701	0.6327	0.6133	0.694	False
mouse_5D	IRI_12mo	0.5505	0.4812	same_species_diff_dataset	podtreck	iri	False		0.921	0.8837	0.9538	0.5977	0.5771	0.623	False
mouse_2W	mouse_3W	0.9581	0.9396	within_dataset	podtreck	podtreck	True		0.9726	0.91	0.9845	0.985	0.9731	1.0528	False
mouse_2W	IRI_2h	0.1023	0.1786	same_species_diff_dataset	podtreck	iri	False		0.8941	0.778	0.9432	0.1144	0.1085	0.1315	False
mouse_2W	IRI_4h	0.3785	0.4374	same_species_diff_dataset	podtreck	iri	False		0.9315	0.8049	0.9598	0.4063	0.3943	0.4702	False
mouse_2W	IRI_24h	0.8677	0.8382	same_species_diff_dataset	podtreck	iri	False		0.9816	0.9599	0.9895	0.8839	0.8769	0.904	False
mouse_2W	IRI_48h	0.8379	0.7938	same_species_diff_dataset	podtreck	iri	False		0.9777	0.9529	0.9899	0.8571	0.8465	0.8793	False
mouse_2W	IRI_72h	0.8577	0.8598	same_species_diff_dataset	podtreck	iri	False		0.9439	0.899	0.9781	0.9087	0.8769	0.9541	False
mouse_2W	IRI_7d	0.8841	0.8741	same_species_diff_dataset	podtreck	iri	False		0.9838	0.9591	0.99	0.8987	0.8931	0.9218	False
mouse_2W	IRI_14d	0.7066	0.701	same_species_diff_dataset	podtreck	iri	False		0.9669	0.9337	0.9818	0.7307	0.7197	0.7567	False
mouse_2W	IRI_28d	0.8365	0.874	same_species_diff_dataset	podtreck	iri	False		0.9656	0.8741	0.9822	0.8663	0.8517	0.9571	False
mouse_2W	IRI_12mo	0.7041	0.6634	same_species_diff_dataset	podtreck	iri	False		0.9446	0.9193	0.9648	0.7454	0.7298	0.7659	False
mouse_3W	IRI_2h	0.0839	0.15	same_species_diff_dataset	podtreck	iri	False		0.8602	0.7414	0.9305	0.0975	0.0901	0.1131	False
mouse_3W	IRI_4h	0.3577	0.419	same_species_diff_dataset	podtreck	iri	False		0.9047	0.7647	0.9429	0.3954	0.3794	0.4678	False
mouse_3W	IRI_24h	0.8416	0.7988	same_species_diff_dataset	podtreck	iri	False		0.9619	0.8977	0.9789	0.8749	0.8597	0.9375	False
mouse_3W	IRI_48h	0.8669	0.8411	same_species_diff_dataset	podtreck	iri	False		0.9531	0.8903	0.9785	0.9095	0.8859	0.9737	False
mouse_3W	IRI_72h	0.8739	0.8732	same_species_diff_dataset	podtreck	iri	False		0.916	0.8557	0.9664	0.954	0.9042	1.0212	False
mouse_3W	IRI_7d	0.861	0.8516	same_species_diff_dataset	podtreck	iri	False		0.9646	0.899	0.9785	0.8925	0.8798	0.9576	False
mouse_3W	IRI_14d	0.6647	0.6434	same_species_diff_dataset	podtreck	iri	False		0.9434	0.8797	0.9691	0.7045	0.6859	0.7556	False
mouse_3W	IRI_28d	0.7863	0.7992	same_species_diff_dataset	podtreck	iri	False		0.9358	0.8573	0.9689	0.8402	0.8115	0.9171	False
