a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass	ceiling_median	ceiling_lo95	ceiling_hi95	cos_corrected	cos_corrected_lo95	cos_corrected_hi95	cos_exceeds_ceiling	ceiling_raw	ceiling_SB	ceiling_sat	shared_cohort
cat_CKD12	cat_CKD34	0.9069	0.8951	within_dataset	cat	cat	True	same_compartment_diff_stage	0.8089	0.0	0.8945	1.1155	1.0137	2.5302	True	0.6908	0.8134	0.7713	True
cat_CKD12	cat_med_CKD12	0.7591	0.8216	within_dataset	cat	cat	False	same_stage_diff_compartment	0.8062	0.0	0.8984	0.9318	0.8449	2.0461	False	0.695	0.816	0.7724	True
cat_CKD12	cat_med_CKD34	0.7937	0.8164	within_dataset	cat	cat	False	diff_compartment_diff_stage	0.7165	0.0	0.8506	1.0964	0.9331	3.1804	True	0.5912	0.743	0.6958	True
cat_CKD12	mouse_5D	0.2864	0.4169	cross_species	cat	podtreck	False		0.828	0.0	0.9106	0.3443	0.3145	0.7688	False	0.7149	0.8284		False
cat_CKD12	mouse_2W	0.4703	0.6021	cross_species	cat	podtreck	False		0.8468	0.0	0.9295	0.5525	0.506	1.2052	False	0.7481	0.848		False
cat_CKD12	mouse_3W	0.4491	0.5886	cross_species	cat	podtreck	False		0.8218	0.0	0.9133	0.5436	0.4913	1.2215	False	0.7179	0.8303		False
cat_CKD12	IRI_2h	0.2537	0.2602	cross_species	cat	iri	False		0.7559	0.0	0.8562	0.3339	0.2957	0.7184	False	0.6201	0.7648		False
cat_CKD12	IRI_4h	0.2922	0.3465	cross_species	cat	iri	False		0.788	0.0	0.878	0.3693	0.3324	0.8058	False	0.6642	0.7959		False
cat_CKD12	IRI_24h	0.4599	0.5476	cross_species	cat	iri	False		0.8379	0.0	0.9188	0.5468	0.5004	1.2063	False	0.7334	0.8395		False
cat_CKD12	IRI_48h	0.4829	0.5603	cross_species	cat	iri	False		0.8365	0.0	0.9185	0.5741	0.5256	1.2655	False	0.726	0.8351		False
cat_CKD12	IRI_72h	0.5089	0.561	cross_species	cat	iri	False		0.8062	0.0	0.9019	0.6263	0.5629	1.3951	False	0.6796	0.8061		False
cat_CKD12	IRI_7d	0.5134	0.6201	cross_species	cat	iri	False		0.8402	0.0	0.9227	0.6086	0.5563	1.3379	False	0.7355	0.8407		False
cat_CKD12	IRI_14d	0.4984	0.5425	cross_species	cat	iri	False		0.8269	0.0	0.909	0.6012	0.548	1.3251	False	0.7116	0.8264		False
cat_CKD12	IRI_28d	0.472	0.5422	cross_species	cat	iri	False		0.8222	0.0	0.9084	0.5709	0.5194	1.2528	False	0.7115	0.8264		False
cat_CKD12	IRI_12mo	0.5035	0.5933	cross_species	cat	iri	False		0.8054	0.0	0.8916	0.6221	0.5647	1.3587	False	0.6798	0.8062		False
cat_CKD34	cat_med_CKD12	0.7898	0.8308	within_dataset	cat	cat	False	diff_compartment_diff_stage	0.9122	0.7883	0.9445	0.8658	0.8362	1.0018	False	0.8458	0.9164	0.9088	True
cat_CKD34	cat_med_CKD34	0.8574	0.8066	within_dataset	cat	cat	False	same_stage_diff_compartment	0.8223	0.2529	0.9141	1.0393	0.938	1.9834	True	0.7195	0.8344	0.8187	True
cat_CKD34	mouse_5D	0.3462	0.492	cross_species	cat	podtreck	False		0.9257	0.8704	0.9552	0.374	0.3625	0.3978	False	0.87	0.9303		False
cat_CKD34	mouse_2W	0.4984	0.6655	cross_species	cat	podtreck	False		0.9511	0.8882	0.9722	0.524	0.5126	0.5611	False	0.9103	0.9523		False
cat_CKD34	mouse_3W	0.4801	0.6364	cross_species	cat	podtreck	False		0.9261	0.843	0.9557	0.5184	0.5024	0.5696	False	0.8737	0.9324		False
cat_CKD34	IRI_2h	0.193	0.1777	cross_species	cat	iri	False		0.8533	0.7321	0.9109	0.2262	0.2119	0.2637	False	0.7546	0.8589		False
cat_CKD34	IRI_4h	0.3029	0.3609	cross_species	cat	iri	False		0.8917	0.7671	0.9251	0.3397	0.3274	0.3949	False	0.8083	0.8938		False
cat_CKD34	IRI_24h	0.5176	0.6083	cross_species	cat	iri	False		0.94	0.8831	0.9643	0.5506	0.5367	0.5861	False	0.8925	0.9428		False
cat_CKD34	IRI_48h	0.5101	0.5935	cross_species	cat	iri	False		0.9351	0.881	0.961	0.5455	0.5308	0.579	False	0.8835	0.9379		False
cat_CKD34	IRI_72h	0.5482	0.6121	cross_species	cat	iri	False		0.9033	0.8413	0.9498	0.6069	0.5772	0.6516	False	0.827	0.9053		False
cat_CKD34	IRI_7d	0.5116	0.6309	cross_species	cat	iri	False		0.9413	0.8817	0.9637	0.5435	0.5309	0.5803	False	0.895	0.9442		False
cat_CKD34	IRI_14d	0.4698	0.5294	cross_species	cat	iri	False		0.9251	0.8645	0.9541	0.5078	0.4924	0.5434	False	0.8659	0.9281		False
cat_CKD34	IRI_28d	0.4841	0.6128	cross_species	cat	iri	False		0.9231	0.835	0.9523	0.5244	0.5083	0.5797	False	0.8658	0.928		False
cat_CKD34	IRI_12mo	0.4416	0.525	cross_species	cat	iri	False		0.9049	0.8502	0.9375	0.488	0.4711	0.5194	False	0.8272	0.9054		False
cat_med_CKD12	cat_med_CKD34	0.8316	0.7744	within_dataset	cat	cat	True	same_compartment_diff_stage	0.8241	0.2525	0.9149	1.0062	0.909	1.9425	True	0.7238	0.8371	0.8199	True
cat_med_CKD12	mouse_5D	0.186	0.447	cross_species	cat	podtreck	False		0.9297	0.8149	0.9612	0.2001	0.1935	0.2283	False	0.8753	0.9333		False
cat_med_CKD12	mouse_2W	0.4121	0.6646	cross_species	cat	podtreck	False		0.955	0.8333	0.9779	0.4315	0.4214	0.4945	False	0.9158	0.9554		False
cat_med_CKD12	mouse_3W	0.4132	0.6456	cross_species	cat	podtreck	False		0.9222	0.8061	0.9626	0.448	0.4292	0.5125	False	0.8789	0.9354		False
cat_med_CKD12	IRI_2h	0.1995	0.2297	cross_species	cat	iri	False		0.8558	0.7153	0.922	0.2331	0.2163	0.2789	False	0.7592	0.8617		False
