dataset,module,z,mean_lfc,n_genes
cat_prot_med_prog,MR_regulators,,,1
cat_prot_med_prog,Cell_cycle,,,1
cat_prot_med_prog,ER_proteostasis,0.49208995221642016,0.11048714285714287,5
cat_prot_med_prog,Lysosome,1.4551519644180861,0.23626257936507933,12
cat_prot_med_prog,Redox_ferroptosis,0.22006347380859845,0.07977904761904762,10
cat_prot_med_prog,Ciliogenesis,,,0
cat_prot_med_prog,Matrix_integrin,,,3
m_rna_5d,ECM_fibrosis,7.782118697167915,0.9876308764302474,34
m_rna_5d,Complement,2.7014468664374047,0.5580135843298079,17
m_rna_5d,Innate_immune,4.232962985461519,0.6026262307539856,22
m_rna_5d,Lymphocyte,-0.12188717599410473,0.07766861702112007,8
m_rna_5d,B_plasma,,,3
m_rna_5d,T_cell,,,4
m_rna_5d,Osteoclast_like_Mac,1.7964164610447564,0.6968210380741503,7
m_rna_5d,Tubular_injury,6.166130407953275,1.7416272212725887,15
m_rna_5d,OXPHOS,-3.555865330812749,-0.03642461524531208,21
m_rna_5d,FAO_PPARA,0.6280742930213288,0.19397725950115008,18
m_rna_5d,Glycolysis,0.23279223358473053,0.13154956102039722,13
m_rna_5d,Hypoxia,2.382552837899069,0.5370401680154072,11
m_rna_5d,PT_transport,-5.188344200412646,-0.3402138000815041,18
m_rna_5d,Podocyte,-2.4503055646861207,-0.7018017073905314,10
m_rna_5d,TAL,-2.6173237487384395,-0.2904124160413796,9
m_rna_5d,CD_principal,-3.191646290411479,-0.3150428905539305,7
m_rna_5d,CD_intercalated,-3.2966659561283422,-0.23519968666097688,8
m_rna_5d,Osmotic_TonEBP,1.0368638907820524,0.246879395461999,9
m_rna_5d,Urea_concentration,-3.880194724859972,-0.33718692186630184,11
m_rna_5d,MR_downstream,0.9332131265117616,0.5555437720195169,11
m_rna_5d,MR_regulators,,,3
m_rna_5d,Cell_cycle,5.373531401056397,1.8806347010067186,10
m_rna_5d,ER_proteostasis,3.2924039036397934,0.379686812468932,11
m_rna_5d,Lysosome,3.0383660490400644,0.32070608066811196,14
m_rna_5d,Redox_ferroptosis,0.3270345452720892,0.2449433971279578,11
m_rna_5d,Ciliogenesis,,,3
m_rna_5d,Matrix_integrin,1.991950159574511,0.5006642056702504,11
m_rna_2w,ECM_fibrosis,9.422994093292091,2.663915315748426,34
