level,between_median,cross_median,ratio,mw_p,n_between,n_cross
gene level,0.4128897531029865,0.5777169642909608,1.399203927802155,0.0001514700792381241,51,28
"module (curated, 22)",0.1919819311123657,0.1751709401709402,0.9124345148315748,0.6439235680217454,51,28
"module (Hallmark, 50)",0.1641296518607443,0.17157262905162063,1.045348156816852,0.7065040660205867,51,28
