a,b,distance,dlog10days,entry_mismatch,model_mismatch
PodTRECK_5D,PodTRECK_2W,0.42086445420358853,0.4471580313422191,0,0
PodTRECK_5D,PodTRECK_3W,0.4523969003687899,0.6232492903979004,0,0
PodTRECK_5D,UUO_2D,0.4549346774062173,0.39794000867203766,1,1
PodTRECK_5D,UUO_8D,0.4750205687206075,0.20411998265592468,1,1
PodTRECK_5D,IRI2h,0.9777413695586287,1.7781512503836439,1,1
PodTRECK_5D,IRI4h,0.6540416458830514,1.4771212547196626,1,1
PodTRECK_5D,IRI24h,0.42545213692057293,0.6989700043360189,1,1
PodTRECK_5D,IRI48h,0.4249183145614076,0.39794000867203766,1,1
PodTRECK_5D,IRI72h,0.35480848366318585,0.22184874961635642,1,1
PodTRECK_5D,IRI7d,0.4938675332574002,0.14612803567823796,1,1
PodTRECK_5D,IRI14d,0.7029922997811813,0.4471580313422191,1,1
PodTRECK_5D,IRI28d,0.5401676763995198,0.7481880270062004,1,1
PodTRECK_5D,IRI12m,0.8191449938858333,1.863322860120456,1,1
PodTRECK_2W,PodTRECK_3W,0.12381607677755979,0.17609125905568135,0,0
PodTRECK_2W,UUO_2D,0.388853392504097,0.8450980400142567,1,1
PodTRECK_2W,UUO_8D,0.24318511350840377,0.24303804868629442,1,1
PodTRECK_2W,IRI2h,0.8765882639268714,2.225309281725863,1,1
PodTRECK_2W,IRI4h,0.6894098601764573,1.9242792860618816,1,1
PodTRECK_2W,IRI24h,0.290916649372731,1.146128035678238,1,1
PodTRECK_2W,IRI48h,0.34170013717799597,0.8450980400142567,1,1
PodTRECK_2W,IRI72h,0.2615478879150971,0.6690067809585756,1,1
PodTRECK_2W,IRI7d,0.21971194304231545,0.30102999566398114,1,1
PodTRECK_2W,IRI14d,0.3433412381240948,0.0,1,1
PodTRECK_2W,IRI28d,0.1971192279207954,0.30102999566398125,1,1
PodTRECK_2W,IRI12m,0.4749744815927579,1.4161648287782367,1,1
PodTRECK_3W,UUO_2D,0.4033225450490071,1.021189299069938,1,1
PodTRECK_3W,UUO_8D,0.28535631598184097,0.41912930774197577,1,1
PodTRECK_3W,IRI2h,0.8737198381027389,2.401400540781544,1,1
PodTRECK_3W,IRI4h,0.6874031715176436,2.100370545117563,1,1
PodTRECK_3W,IRI24h,0.33933327123133183,1.3222192947339193,1,1
PodTRECK_3W,IRI48h,0.29534621703470887,1.021189299069938,1,1
PodTRECK_3W,IRI72h,0.2534699622667831,0.8450980400142569,1,1
PodTRECK_3W,IRI7d,0.24653546311417252,0.4771212547196625,1,1
PodTRECK_3W,IRI14d,0.41883716674334925,0.17609125905568135,1,1
PodTRECK_3W,IRI28d,0.3014029426150595,0.1249387366082999,1,1
PodTRECK_3W,IRI12m,0.5329448435703255,1.2400735697225553,1,1
UUO_2D,UUO_8D,0.26193562402470694,0.6020599913279623,0,0
UUO_2D,IRI2h,1.0212932584511323,1.3802112417116061,0,1
UUO_2D,IRI4h,0.7322209899477302,1.0791812460476249,0,1
UUO_2D,IRI24h,0.405243720457481,0.3010299956639812,0,1
UUO_2D,IRI48h,0.42898005137715134,0.0,0,1
UUO_2D,IRI72h,0.40829474111917696,0.17609125905568124,0,1
UUO_2D,IRI7d,0.36754556349229095,0.5440680443502757,0,1
UUO_2D,IRI14d,0.6352573627589054,0.8450980400142567,0,1
UUO_2D,IRI28d,0.5166449744120079,1.146128035678238,0,1
UUO_2D,IRI12m,0.6730021952332794,2.2612628687924934,0,1
UUO_8D,IRI2h,0.917823150618556,1.9822712330395684,0,1
UUO_8D,IRI4h,0.7177192504024241,1.6812412373755872,0,1
UUO_8D,IRI24h,0.40365067839050983,0.9030899869919435,0,1
UUO_8D,IRI48h,0.3465625609218008,0.6020599913279623,0,1
UUO_8D,IRI72h,0.309686899789843,0.4259687322722811,0,1
UUO_8D,IRI7d,0.2411083940245925,0.057991946977686726,0,1
UUO_8D,IRI14d,0.42369426481187167,0.24303804868629442,0,1
UUO_8D,IRI28d,0.2877613369904275,0.5440680443502757,0,1
UUO_8D,IRI12m,0.429817503639355,1.659202877464531,0,1
IRI2h,IRI4h,0.5025787808355549,0.30102999566398125,0,0
IRI2h,IRI24h,0.810086984959801,1.0791812460476249,0,0
IRI2h,IRI48h,0.762011253926627,1.3802112417116061,0,0
IRI2h,IRI72h,0.7734429494317403,1.5563025007672873,0,0
IRI2h,IRI7d,0.6620248946180918,1.9242792860618816,0,0
IRI2h,IRI14d,0.3935719174647653,2.225309281725863,0,0
IRI2h,IRI28d,0.7876041550107538,2.526339277389844,0,0
IRI2h,IRI12m,0.6972831023473647,3.6414741105040997,0,0
IRI4h,IRI24h,0.6232772702246443,0.7781512503836436,0,0
IRI4h,IRI48h,0.5964024138071591,1.0791812460476249,0,0
IRI4h,IRI72h,0.5667141904342174,1.255272505103306,0,0
IRI4h,IRI7d,0.6186745450057579,1.6232492903979003,0,0
IRI4h,IRI14d,0.6889847435561637,1.9242792860618816,0,0
IRI4h,IRI28d,0.779694322275763,2.225309281725863,0,0
IRI4h,IRI12m,0.8048186940848938,3.3404441148401185,0,0
IRI24h,IRI48h,0.20912886623903526,0.3010299956639812,0,0
IRI24h,IRI72h,0.2769074670858209,0.47712125471966244,0,0
IRI24h,IRI7d,0.2512808308438371,0.8450980400142568,0,0
IRI24h,IRI14d,0.4500938635953835,1.146128035678238,0,0
IRI24h,IRI28d,0.3813904131992386,1.4471580313422192,0,0
IRI24h,IRI12m,0.6176346479145578,2.5622928644564746,0,0
IRI48h,IRI72h,0.10025635934143184,0.17609125905568124,0,0
IRI48h,IRI7d,0.20566175973941114,0.5440680443502757,0,0
IRI48h,IRI14d,0.4271695381355225,0.8450980400142567,0,0
IRI48h,IRI28d,0.3898288947023083,1.146128035678238,0,0
IRI48h,IRI12m,0.5841252660868008,2.2612628687924934,0,0
IRI72h,IRI7d,0.2035927718272169,0.3679767852945944,0,0
IRI72h,IRI14d,0.3919939605080379,0.6690067809585756,0,0
IRI72h,IRI28d,0.3203225697909359,0.9700367766225568,0,0
IRI72h,IRI12m,0.6038046890728762,2.085171609736812,0,0
IRI7d,IRI14d,0.21648557351131026,0.30102999566398114,0,0
IRI7d,IRI28d,0.22593932995878685,0.6020599913279624,0,0
IRI7d,IRI12m,0.4368898268040927,1.7171948244422177,0,0
IRI14d,IRI28d,0.2336322135343124,0.30102999566398125,0,0
IRI14d,IRI12m,0.380331673631886,1.4161648287782367,0,0
IRI28d,IRI12m,0.40559599155338166,1.1151348331142554,0,0
