版,between_n,between_median,between_max,cross_n,cross_median,cross_max,レンジ内,MW_p
7状態(13番),16,0.465,0.9563,14,0.586,0.7518,14/14,0.0242
16状態(本節),51,0.4129,1.0535,28,0.5777,0.8291,28/28,0.0002
