,cat_natural_ctx_prot,cat_natural_med_prot,mouse_podtreck_prot,human_kpmp_ti,human_kpmp_g
cat_natural_ctx_prot,1.0,0.6842555801877243,0.5827595636484356,0.36264465163025594,0.26684660127338933
cat_natural_med_prot,0.6842555801877243,1.0,0.5816223523778784,0.3588612911983603,0.2776663938282619
mouse_podtreck_prot,0.5827595636484356,0.5816223523778784,1.0,0.33747586226737947,0.2118594464195001
human_kpmp_ti,0.36264465163025594,0.3588612911983603,0.33747586226737947,1.0,0.22336112334934452
human_kpmp_g,0.26684660127338933,0.2776663938282619,0.2118594464195001,0.22336112334934452,1.0
