n_iri,n_states,n_pairs,iri_set,rho_model,rho_entry,rho_time
4,9,36,IRI72h+IRI7d+IRI28d+IRI12m,0.1611880454053153,0.07487059239518282,0.3553639237682336
4,9,36,IRI72h+IRI14d+IRI28d+IRI12m,0.17312790062052386,0.016043698370396316,0.26472673775510724
4,9,36,IRI7d+IRI14d+IRI28d+IRI12m,0.32834601841823485,0.18182858153115825,0.34342008160801096
6,11,55,IRI2h+IRI4h+IRI24h+IRI48h+IRI72h+IRI7d,0.06021597010584167,-0.0207852748302635,0.6545546574392762
6,11,55,IRI2h+IRI4h+IRI24h+IRI48h+IRI72h+IRI14d,0.02408638804233667,-0.07621267437763284,0.5715008309203264
6,11,55,IRI2h+IRI4h+IRI24h+IRI48h+IRI72h+IRI28d,-0.028903665650804003,-0.11316427407587906,0.6580661767808291
6,11,55,IRI2h+IRI4h+IRI24h+IRI48h+IRI72h+IRI12m,-0.012043194021168335,-0.09006952426447518,0.5747997536742225
6,11,55,IRI2h+IRI4h+IRI24h+IRI48h+IRI7d+IRI14d,0.07707644173547733,-0.0069284249434211674,0.5823242623011501
6,11,55,IRI2h+IRI4h+IRI24h+IRI48h+IRI7d+IRI28d,0.007225916412701001,-0.05773687452850972,0.6727296175795872
6,11,55,IRI2h+IRI4h+IRI24h+IRI48h+IRI7d+IRI12m,0.036129582063505,-0.02540422479254428,0.5771194702912781
6,11,55,IRI2h+IRI4h+IRI24h+IRI48h+IRI14d+IRI28d,0.02408638804233667,-0.08083162433991362,0.5877109165860935
6,11,55,IRI2h+IRI4h+IRI24h+IRI48h+IRI14d+IRI12m,0.03372094325927134,-0.06004634950965012,0.4628961826798778
6,11,55,IRI2h+IRI4h+IRI24h+IRI48h+IRI28d+IRI12m,-0.057807331301608006,-0.12009269901930024,0.5802284523173366
6,11,55,IRI2h+IRI4h+IRI24h+IRI72h+IRI7d+IRI14d,0.057807331301608006,-0.03926107467938661,0.5910477005984203
6,11,55,IRI2h+IRI4h+IRI24h+IRI72h+IRI7d+IRI28d,-0.009634555216934666,-0.0854505743021944,0.6829021939918731
