cat_state,最近傍マウス状態,その距離,距離重みづけ見かけ日数(幾何平均),d_PodTRECK_5D,d_PodTRECK_2W,d_PodTRECK_3W,d_IRI_6mo,d_IRI_12mo,d_UUO_2D,d_UUO_8D
ネコ皮質 早期(IRIS1/2),IRI_12mo,0.4602,26.3,0.7652,0.5577,0.5922,0.5361,0.4602,0.7195,0.5822
ネコ皮質 晩期(IRIS3/4),PodTRECK_2W,0.5028,22.5,0.7025,0.5028,0.5645,0.6238,0.5347,0.695,0.5654
