,0
d_cat_to_human_TI,0.6373553483697441
d_catmed_to_human_TI,0.6411387088016397
d_podtreck_to_human_TI,0.6625241377326205
d_cat_to_human_G,0.7331533987266107
d_catmed_to_human_G,0.722333606171738
d_podtreck_to_human_G,0.7881405535805
d_human_TI_vs_G,0.7766388766506555
ヒトTIへの近さ順位,ネコ皮質(0.637) < ネコ髄質(0.641) < Pod-TRECK(0.663)
ヒトGへの近さ順位,ネコ髄質(0.722) < ネコ皮質(0.733) < Pod-TRECK(0.788)
注意,"区画解像度が非対称（KPMP=LMDでTI/G分離, マウス=全腎, ネコ=皮質/髄質）。距離の絶対値ではなく順位で解釈すること。"
