a,b,label_a,label_b,model_a,model_b,kind,distance
UUO_8D,IRI48h,UUO 8d,IRI 48h,UUO,IRI,between_model,0.3128465125838127
UUO_8D,IRI72h,UUO 8d,IRI 72h,UUO,IRI,between_model,0.27720319634289015
UUO_8D,IRI7d,UUO 8d,IRI 7d,UUO,IRI,between_model,0.21716221524668766
UUO_8D,IRI14d,UUO 8d,IRI 14d,UUO,IRI,between_model,0.4218242402639967
UUO_8D,IRI28d,UUO 8d,IRI 28d,UUO,IRI,between_model,0.3061348983874108
UUO_8D,IRI12m,UUO 8d,IRI 12mo,UUO,IRI,between_model,0.33228230431649586
UUO_8D,cat_natural_ctx,UUO 8d,cat cortex,UUO,cat,cross_species,0.5653621909579516
UUO_8D,cat_natural_med,UUO 8d,cat medulla,UUO,cat,cross_species,0.5915801126852142
IRI2h,IRI4h,IRI 2h,IRI 4h,IRI,IRI,within_model,0.5120257567997832
IRI2h,IRI24h,IRI 2h,IRI 24h,IRI,IRI,within_model,0.8379134558164972
IRI2h,IRI48h,IRI 2h,IRI 48h,IRI,IRI,within_model,0.8031507210162605
IRI2h,IRI72h,IRI 2h,IRI 72h,IRI,IRI,within_model,0.8086622700166903
IRI2h,IRI7d,IRI 2h,IRI 7d,IRI,IRI,within_model,0.679981322732413
IRI2h,IRI14d,IRI 2h,IRI 14d,IRI,IRI,within_model,0.3799694034159722
IRI2h,IRI28d,IRI 2h,IRI 28d,IRI,IRI,within_model,0.7615157066663807
IRI2h,IRI12m,IRI 2h,IRI 12mo,IRI,IRI,within_model,0.6928688046822955
IRI2h,cat_natural_ctx,IRI 2h,cat cortex,IRI,cat,cross_species,0.8290836471373471
IRI2h,cat_natural_med,IRI 2h,cat medulla,IRI,cat,cross_species,0.7311561015370054
IRI4h,IRI24h,IRI 4h,IRI 24h,IRI,IRI,within_model,0.6612394667431356
IRI4h,IRI48h,IRI 4h,IRI 48h,IRI,IRI,within_model,0.6526535007736838
IRI4h,IRI72h,IRI 4h,IRI 72h,IRI,IRI,within_model,0.6113374528203532
IRI4h,IRI7d,IRI 4h,IRI 7d,IRI,IRI,within_model,0.6499885299628076
IRI4h,IRI14d,IRI 4h,IRI 14d,IRI,IRI,within_model,0.6841024015457651
IRI4h,IRI28d,IRI 4h,IRI 28d,IRI,IRI,within_model,0.7692861134254287
IRI4h,IRI12m,IRI 4h,IRI 12mo,IRI,IRI,within_model,0.6940448111284669
IRI4h,cat_natural_ctx,IRI 4h,cat cortex,IRI,cat,cross_species,0.7386145600828711
IRI4h,cat_natural_med,IRI 4h,cat medulla,IRI,cat,cross_species,0.7666014483466321
IRI24h,IRI48h,IRI 24h,IRI 48h,IRI,IRI,within_model,0.22318382219222066
IRI24h,IRI72h,IRI 24h,IRI 72h,IRI,IRI,within_model,0.29213587932197804
IRI24h,IRI7d,IRI 24h,IRI 7d,IRI,IRI,within_model,0.2620064221278191
IRI24h,IRI14d,IRI 24h,IRI 14d,IRI,IRI,within_model,0.4612614987246466
IRI24h,IRI28d,IRI 24h,IRI 28d,IRI,IRI,within_model,0.39417800386629676
IRI24h,IRI12m,IRI 24h,IRI 12mo,IRI,IRI,within_model,0.4788384021450164
IRI24h,cat_natural_ctx,IRI 24h,cat cortex,IRI,cat,cross_species,0.5750984116204703
IRI24h,cat_natural_med,IRI 24h,cat medulla,IRI,cat,cross_species,0.6548079061480787
IRI48h,IRI72h,IRI 48h,IRI 72h,IRI,IRI,within_model,0.10810405235537557
IRI48h,IRI7d,IRI 48h,IRI 7d,IRI,IRI,within_model,0.21822217902674013
IRI48h,IRI14d,IRI 48h,IRI 14d,IRI,IRI,within_model,0.44112196066725795
IRI48h,IRI28d,IRI 48h,IRI 28d,IRI,IRI,within_model,0.41359718714597593
IRI48h,IRI12m,IRI 48h,IRI 12mo,IRI,IRI,within_model,0.3531648980877292
IRI48h,cat_natural_ctx,IRI 48h,cat cortex,IRI,cat,cross_species,0.5724963565527427
IRI48h,cat_natural_med,IRI 48h,cat medulla,IRI,cat,cross_species,0.5627023529112791
IRI72h,IRI7d,IRI 72h,IRI 7d,IRI,IRI,within_model,0.21601419175331404
