library,term,n_set,n_hit,expected,fold,p,q,n_tested_in_library
gobp,Positive Regulation Of Immune System Process (GO:0002684),17,5,1.1,4.35,0.004351909803813785,0.02517429255731017,1065.0
gobp,Negative Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903038),17,5,1.1,4.35,0.004351909803813785,0.02517429255731017,1065.0
gobp,Positive Regulation Of Macrophage Migration (GO:1905523),17,5,1.1,4.35,0.004351909803813785,0.02517429255731017,1065.0
gobp,Regulation Of Metal Ion Transport (GO:0010959),24,6,1.6,3.7,0.0043966370100091004,0.02517429255731017,1065.0
gobp,Hematopoietic Progenitor Cell Differentiation (GO:0002244),24,6,1.6,3.7,0.0043966370100091004,0.02517429255731017,1065.0
gobp,Plasma Membrane Invagination (GO:0099024),24,6,1.6,3.7,0.0043966370100091004,0.02517429255731017,1065.0
gobp,Regulation Of Endocytosis (GO:0030100),57,10,3.9,2.6,0.004469007145743242,0.02545183214019547,1065.0
gobp,Positive Regulation Of Alpha-Beta T Cell Proliferation (GO:0046641),11,4,0.7,5.38,0.004657191774536633,0.026104785473060603,1065.0
gobp,Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002460),11,4,0.7,5.38,0.004657191774536633,0.026104785473060603,1065.0
gobp,Negative Regulation Of Cytokine Production Involved In Immune Response (GO:0002719),11,4,0.7,5.38,0.004657191774536633,0.026104785473060603,1065.0
hallmark,IL-2/STAT5 Signaling,169,21,11.4,1.84,0.004961023128325288,0.021704476186423134,35.0
kegg,Neuroactive ligand-receptor interaction,96,14,6.5,2.16,0.005003186004751012,0.02178470572902003,209.0
gobp,Negative Regulation Of Macrophage Migration (GO:1905522),6,3,0.4,7.4,0.005270346100059665,0.02820562108825901,1065.0
gobp,Regulation Of Leukocyte Degranulation (GO:0043300),6,3,0.4,7.4,0.005270346100059665,0.02820562108825901,1065.0
gobp,Positive Regulation Of Receptor Catabolic Process (GO:2000646),6,3,0.4,7.4,0.005270346100059665,0.02820562108825901,1065.0
gobp,Positive Regulation Of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031666),6,3,0.4,7.4,0.005270346100059665,0.02820562108825901,1065.0
gobp,Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production (GO:0032645),6,3,0.4,7.4,0.005270346100059665,0.02820562108825901,1065.0
kegg,Nicotine addiction,6,3,0.4,7.4,0.005270346100059665,0.02247963948800959,209.0
gobp,Regulation Of Natural Killer Cell Activation (GO:0032814),6,3,0.4,7.4,0.005270346100059665,0.02820562108825901,1065.0
gobp,Gamma-Delta T Cell Activation (GO:0046629),6,3,0.4,7.4,0.005270346100059665,0.02820562108825901,1065.0
gobp,Positive Regulation Of Monocyte Chemotactic Protein-1 Production (GO:0071639),6,3,0.4,7.4,0.005270346100059665,0.02820562108825901,1065.0
gobp,Regulation Of Microglial Cell Migration (GO:1904139),6,3,0.4,7.4,0.005270346100059665,0.02820562108825901,1065.0
gobp,Regulation Of Calcium-Mediated Signaling (GO:0050848),18,5,1.2,4.11,0.0056951186623090035,0.029910551864724057,1065.0
gobp,Natural Killer Cell Activation (GO:0030101),18,5,1.2,4.11,0.0056951186623090035,0.029910551864724057,1065.0
gobp,Mononuclear Cell Differentiation (GO:1903131),18,5,1.2,4.11,0.0056951186623090035,0.029910551864724057,1065.0
gobp,Positive Regulation Of Response To Biotic Stimulus (GO:0002833),33,7,2.2,3.14,0.005701260120693882,0.029910551864724057,1065.0
gobp,Metal Ion Transport (GO:0030001),88,13,5.9,2.19,0.006006169545216475,0.03135573806693895,1065.0
gobp,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),60,10,4.1,2.47,0.006500393604293646,0.03355207244821851,1065.0
gobp,Regulation Of Type I Interferon Production (GO:0032479),51,9,3.4,2.61,0.006581040851544783,0.03355207244821851,1065.0
gobp,Negative Regulation Of Macrophage Activation (GO:0043031),12,4,0.8,4.93,0.006615901609507876,0.03355207244821851,1065.0
gobp,Regulation Of Superoxide Anion Generation (GO:0032928),12,4,0.8,4.93,0.006615901609507876,0.03355207244821851,1065.0
gobp,Positive Regulation Of Superoxide Anion Generation (GO:0032930),12,4,0.8,4.93,0.006615901609507876,0.03355207244821851,1065.0
gobp,Regulation Of Leukocyte Activation (GO:0002694),12,4,0.8,4.93,0.006615901609507876,0.03355207244821851,1065.0
gobp,Positive Regulation Of Phospholipase C Activity (GO:0010863),26,6,1.8,3.41,0.00669967253978595,0.03365637384373602,1065.0
gobp,Lymphocyte Chemotaxis (GO:0048247),26,6,1.8,3.41,0.00669967253978595,0.03365637384373602,1065.0
gobp,Positive Regulation Of Innate Immune Response (GO:0045089),34,7,2.3,3.05,0.006769504007137822,0.03384752003568911,1065.0
gobp,Negative Regulation Of Signal Transduction (GO:0009968),196,23,13.2,1.74,0.006819746693232603,0.033939393590152904,1065.0
gobp,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),70,11,4.7,2.33,0.00696080048812927,0.034480244278407776,1065.0
gobp,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),80,12,5.4,2.22,0.007197288590329431,0.035486631243985385,1065.0
gobp,Regulation Of Mononuclear Cell Migration (GO:0071675),19,5,1.3,3.89,0.0073058518917197696,0.03552845782959614,1065.0
gobp,Cellular Response To Interleukin-6 (GO:0071354),19,5,1.3,3.89,0.0073058518917197696,0.03552845782959614,1065.0
gobp,Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis (GO:0038096),19,5,1.3,3.89,0.0073058518917197696,0.03552845782959614,1065.0
gobp,Second-Messenger-Mediated Signaling (GO:0019932),43,8,2.9,2.75,0.007369917808494044,0.035677102118391625,1065.0
kegg,Measles,101,14,6.8,2.05,0.007855679378438573,0.03283673980187324,209.0
gobp,Hemopoiesis (GO:0030097),81,12,5.5,2.19,0.007944494214832672,0.03828455356921627,1065.0
gobp,Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088),62,10,4.2,2.39,0.008209853300669527,0.03938510705050922,1065.0
gobp,Regulation Of Interferon-Beta Production (GO:0032648),44,8,3.0,2.69,0.008487431545295694,0.04016651725592399,1065.0
kegg,Yersinia infection,123,16,8.3,1.92,0.008622977815357683,0.035337301243328546,209.0
gobp,Peptide Antigen Assembly With MHC Protein Complex (GO:0002501),7,3,0.5,6.34,0.008761944266776563,0.04016651725592399,1065.0
gobp,Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0045954),7,3,0.5,6.34,0.008761944266776563,0.04016651725592399,1065.0
gobp,Response To Interleukin-6 (GO:0070741),7,3,0.5,6.34,0.008761944266776563,0.04016651725592399,1065.0
gobp,Base Conversion Or Substitution Editing (GO:0016553),7,3,0.5,6.34,0.008761944266776563,0.04016651725592399,1065.0
gobp,Positive Regulation Of Glial Cell Migration (GO:1903977),7,3,0.5,6.34,0.008761944266776563,0.04016651725592399,1065.0
gobp,Negative Regulation Of T Cell Differentiation (GO:0045581),7,3,0.5,6.34,0.008761944266776563,0.04016651725592399,1065.0
gobp,Positive Regulation Of Natural Killer Cell Mediated Immunity (GO:0002717),7,3,0.5,6.34,0.008761944266776563,0.04016651725592399,1065.0
gobp,T-helper 17 Cell Differentiation (GO:0072539),7,3,0.5,6.34,0.008761944266776563,0.04016651725592399,1065.0
gobp,Lymphocyte Mediated Immunity (GO:0002449),7,3,0.5,6.34,0.008761944266776563,0.04016651725592399,1065.0
gobp,Regulation Of T Cell Cytokine Production (GO:0002724),13,4,0.9,4.55,0.009051609522461744,0.04016651725592399,1065.0
gobp,Positive Regulation Of Interleukin-4 Production (GO:0032753),13,4,0.9,4.55,0.009051609522461744,0.04016651725592399,1065.0
gobp,Neutrophil Activation (GO:0042119),13,4,0.9,4.55,0.009051609522461744,0.04016651725592399,1065.0
gobp,Regulation Of Microglial Cell Activation (GO:1903978),13,4,0.9,4.55,0.009051609522461744,0.04016651725592399,1065.0
gobp,Myeloid Cell Activation Involved In Immune Response (GO:0002275),13,4,0.9,4.55,0.009051609522461744,0.04016651725592399,1065.0
gobp,Regulation Of Leukocyte Chemotaxis (GO:0002688),13,4,0.9,4.55,0.009051609522461744,0.04016651725592399,1065.0
gobp,Positive Regulation Of CREB Transcription Factor Activity (GO:0032793),13,4,0.9,4.55,0.009051609522461744,0.04016651725592399,1065.0
gobp,Positive Regulation Of Cytosolic Calcium Ion Concentration Involved In Phospholipase C-activating G Protein-Coupled Signaling Pathway (GO:0051482),13,4,0.9,4.55,0.009051609522461744,0.04016651725592399,1065.0
gobp,Negative Regulation Of Angiogenesis (GO:0016525),63,10,4.3,2.35,0.009184553040269888,0.040194003014737675,1065.0
gobp,Regulation Of Platelet Activation (GO:0010543),20,5,1.4,3.7,0.00920876688788356,0.040194003014737675,1065.0
gobp,Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404),20,5,1.4,3.7,0.00920876688788356,0.040194003014737675,1065.0
gobp,Monoatomic Cation Transport (GO:0006812),20,5,1.4,3.7,0.00920876688788356,0.040194003014737675,1065.0
gobp,Regulation Of Apoptotic Signaling Pathway (GO:2001233),36,7,2.4,2.88,0.009341464737488725,0.040606775287450984,1065.0
kegg,Coronavirus disease,179,21,12.1,1.74,0.00947283253242259,0.0371724096875102,209.0
kegg,Human cytomegalovirus infection,179,21,12.1,1.74,0.00947283253242259,0.0371724096875102,209.0
gobp,Negative Regulation Of Immune Response (GO:0050777),54,9,3.6,2.47,0.009604354656103114,0.041454664019225686,1065.0
kegg,Insulin secretion,54,9,3.6,2.47,0.009604354656103114,0.0371724096875102,209.0
gobp,Cellular Response To Tumor Necrosis Factor (GO:0071356),83,12,5.6,2.14,0.009620104508167205,0.041454664019225686,1065.0
gobp,Cellular Component Disassembly (GO:0022411),28,6,1.9,3.17,0.009770066355704833,0.041454664019225686,1065.0
gobp,Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531),28,6,1.9,3.17,0.009770066355704833,0.041454664019225686,1065.0
gobp,Extracellular Matrix Disassembly (GO:0022617),28,6,1.9,3.17,0.009770066355704833,0.041454664019225686,1065.0
gobp,Cellular Response To Amyloid-Beta (GO:1904646),28,6,1.9,3.17,0.009770066355704833,0.041454664019225686,1065.0
gobp,Intracellular Monoatomic Cation Homeostasis (GO:0030003),125,16,8.4,1.89,0.010017358516010079,0.04233526515694736,1065.0
gobp,Regulation Of Endothelial Cell Migration (GO:0010594),74,11,5.0,2.2,0.010529720175908006,0.044324711412419074,1065.0
kegg,Pertussis,55,9,3.7,2.42,0.010814414206297184,0.04109477398392929,209.0
gobp,Regulation Of Interferon-Alpha Production (GO:0032647),21,5,1.4,3.52,0.01142727313904449,0.04717072051582318,1065.0
gobp,Regulation Of Monocyte Chemotaxis (GO:0090025),21,5,1.4,3.52,0.01142727313904449,0.04717072051582318,1065.0
gobp,Positive Regulation Of T Cell Migration (GO:2000406),21,5,1.4,3.52,0.01142727313904449,0.04717072051582318,1065.0
gobp,Cellular Response To Type I Interferon (GO:0071357),21,5,1.4,3.52,0.01142727313904449,0.04717072051582318,1065.0
gobp,Lymphocyte Migration (GO:0072676),21,5,1.4,3.52,0.01142727313904449,0.04717072051582318,1065.0
gobp,Negative Regulation Of Inflammatory Response (GO:0050728),85,12,5.7,2.09,0.011557805874074206,0.0475253407563283,1065.0
gobp,Regulation Of Interleukin-10 Production (GO:0032653),29,6,2.0,3.06,0.011630844139223894,0.04764172695489788,1065.0
gobp,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),14,4,0.9,4.23,0.012004740792059326,0.04824546771148371,1065.0
gobp,Negative Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002862),14,4,0.9,4.23,0.012004740792059326,0.04824546771148371,1065.0
gobp,Negative Regulation Of Interleukin-2 Production (GO:0032703),14,4,0.9,4.23,0.012004740792059326,0.04824546771148371,1065.0
gobp,Positive Regulation Of Neutrophil Chemotaxis (GO:0090023),14,4,0.9,4.23,0.012004740792059326,0.04824546771148371,1065.0
gobp,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),14,4,0.9,4.23,0.012004740792059326,0.04824546771148371,1065.0
kegg,Kaposi sarcoma-associated herpesvirus infection,150,18,10.1,1.78,0.012502726998757917,0.046661963263221515,209.0
gobp,Regulation Of Innate Immune Response (GO:0045088),66,10,4.5,2.24,0.012643398388594696,0.05048596453734472,1065.0
gobp,Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002886),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,Innate Immune Response-Activating Signaling Pathway (GO:0002758),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,Negative Regulation Of Bone Resorption (GO:0045779),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,Regulation Of T Cell Mediated Immunity (GO:0002709),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,T-helper Cell Lineage Commitment (GO:0002295),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,Regulation Of Toll-Like Receptor 9 Signaling Pathway (GO:0034163),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,Positive Regulation Of Leukocyte Apoptotic Process (GO:2000108),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,Pinocytosis (GO:0006907),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,Myeloid Dendritic Cell Activation (GO:0001773),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,Regulation Of Macrophage Migration (GO:1905521),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,Negative Regulation Of Heart Contraction (GO:0045822),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,Regulation Of Mast Cell Activation Involved In Immune Response (GO:0033006),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,Negative Regulation Of Long-Term Synaptic Potentiation (GO:1900272),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,Neutrophil Activation Involved In Immune Response (GO:0002283),8,3,0.5,5.55,0.01332070989201302,0.05048596453734472,1065.0
gobp,Receptor-Mediated Endocytosis (GO:0006898),108,14,7.3,1.92,0.013859006954469087,0.051842996785375114,1065.0
gobp,Regulation Of Bone Resorption (GO:0045124),22,5,1.5,3.36,0.013983268796298853,0.051842996785375114,1065.0
gobp,Positive Regulation Of Leukocyte Migration (GO:0002687),22,5,1.5,3.36,0.013983268796298853,0.051842996785375114,1065.0
gobp,Positive Regulation Of Receptor Signaling Pathway Via STAT (GO:1904894),22,5,1.5,3.36,0.013983268796298853,0.051842996785375114,1065.0
gobp,Fc Receptor Signaling Pathway (GO:0038093),22,5,1.5,3.36,0.013983268796298853,0.051842996785375114,1065.0
gobp,Superoxide Metabolic Process (GO:0006801),22,5,1.5,3.36,0.013983268796298853,0.051842996785375114,1065.0
gobp,Regulation Of Neuron Apoptotic Process (GO:0043523),77,11,5.2,2.11,0.014019514623650736,0.051842996785375114,1065.0
gobp,Regulation Of Endopeptidase Activity (GO:0052548),39,7,2.6,2.66,0.014443018554227373,0.05322427252682405,1065.0
gobp,Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),68,10,4.6,2.18,0.015440868646830986,0.055804850715694174,1065.0
gobp,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),176,20,11.9,1.68,0.015466496999519418,0.055804850715694174,1065.0
kegg,Rap1 signaling pathway,176,20,11.9,1.68,0.015466496999519418,0.056710488998237864,209.0
gobp,Regulation Of Interleukin-4 Production (GO:0032673),15,4,1.0,3.95,0.015510080574502795,0.055804850715694174,1065.0
gobp,Regulation Of Viral Transcription (GO:0046782),15,4,1.0,3.95,0.015510080574502795,0.055804850715694174,1065.0
gobp,Cellular Response To Interferon-Beta (GO:0035458),15,4,1.0,3.95,0.015510080574502795,0.055804850715694174,1065.0
gobp,Positive Regulation Of Lymphocyte Migration (GO:2000403),15,4,1.0,3.95,0.015510080574502795,0.055804850715694174,1065.0
gobp,Cell Projection Organization (GO:0030030),15,4,1.0,3.95,0.015510080574502795,0.055804850715694174,1065.0
gobp,Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178),99,13,6.7,1.94,0.015683516408104663,0.05623887196845611,1065.0
kegg,Lipid and atherosclerosis,165,19,11.2,1.7,0.015799783886175756,0.056878689454594886,209.0
kegg,Morphine addiction,49,8,3.3,2.42,0.01605666353024449,0.056878689454594886,209.0
gobp,Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208),31,6,2.1,2.86,0.016075164021880604,0.05744983115202297,1065.0
kegg,GnRH secretion,40,7,2.7,2.59,0.01651519565133789,0.05752793151882698,209.0
gobp,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),79,11,5.3,2.06,0.016789463364255193,0.059784774703652,1065.0
gobp,Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427),23,5,1.6,3.22,0.01689691754535141,0.059784774703652,1065.0
gobp,Monocyte Chemotaxis (GO:0002548),23,5,1.6,3.22,0.01689691754535141,0.059784774703652,1065.0
gobp,Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167),90,12,6.1,1.97,0.017712716665769075,0.06205277384553969,1065.0
gobp,Regulation Of MAP Kinase Activity (GO:0043405),90,12,6.1,1.97,0.017712716665769075,0.06205277384553969,1065.0
gobp,Chemical Synaptic Transmission (GO:0007268),90,12,6.1,1.97,0.017712716665769075,0.06205277384553969,1065.0
kegg,Phospholipase D signaling pathway,112,14,7.6,1.85,0.018605544059574618,0.06374686407296877,209.0
gobp,Positive Regulation Of Interferon-Beta Production (GO:0032728),32,6,2.2,2.77,0.01868537911159506,0.06339704250005841,1065.0
gobp,Positive Regulation Of Cell-Cell Adhesion (GO:0022409),32,6,2.2,2.77,0.01868537911159506,0.06339704250005841,1065.0
gobp,Regulation Of Cytokine Production Involved In Inflammatory Response (GO:1900015),32,6,2.2,2.77,0.01868537911159506,0.06339704250005841,1065.0
gobp,Receptor Internalization (GO:0031623),41,7,2.8,2.53,0.018789037875595316,0.06339704250005841,1065.0
gobp,Negative Regulation Of Glucose Transmembrane Transport (GO:0010829),9,3,0.6,4.93,0.018989348880299187,0.06339704250005841,1065.0
gobp,Regulation Of Homotypic Cell-Cell Adhesion (GO:0034110),9,3,0.6,4.93,0.018989348880299187,0.06339704250005841,1065.0
gobp,Membrane Depolarization During Action Potential (GO:0086010),9,3,0.6,4.93,0.018989348880299187,0.06339704250005841,1065.0
gobp,Regulation Of Toll-Like Receptor 2 Signaling Pathway (GO:0034135),9,3,0.6,4.93,0.018989348880299187,0.06339704250005841,1065.0
gobp,Regulation Of Monocyte Chemotactic Protein-1 Production (GO:0071637),9,3,0.6,4.93,0.018989348880299187,0.06339704250005841,1065.0
gobp,I-kappaB Phosphorylation (GO:0007252),9,3,0.6,4.93,0.018989348880299187,0.06339704250005841,1065.0
gobp,T Cell Proliferation (GO:0042098),9,3,0.6,4.93,0.018989348880299187,0.06339704250005841,1065.0
gobp,Regulation Of Postsynaptic Membrane Potential (GO:0060078),9,3,0.6,4.93,0.018989348880299187,0.06339704250005841,1065.0
gobp,Positive Regulation Of T Cell Receptor Signaling Pathway (GO:0050862),9,3,0.6,4.93,0.018989348880299187,0.06339704250005841,1065.0
gobp,Negative Regulation Of Calcium Ion Transport (GO:0051926),9,3,0.6,4.93,0.018989348880299187,0.06339704250005841,1065.0
gobp,Positive Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002888),9,3,0.6,4.93,0.018989348880299187,0.06339704250005841,1065.0
kegg,AGE-RAGE signaling pathway in diabetic complications,91,12,6.1,1.95,0.019193426694083655,0.06470042224295942,209.0
hallmark,Apoptosis,146,17,9.9,1.72,0.01959655154811369,0.07620881157599768,35.0
gobp,Response To Axon Injury (GO:0048678),16,4,1.1,3.7,0.019596566237151756,0.06421644013097422,1065.0
gobp,"G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)",16,4,1.1,3.7,0.019596566237151756,0.06421644013097422,1065.0
gobp,Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051043),16,4,1.1,3.7,0.019596566237151756,0.06421644013097422,1065.0
gobp,Positive Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070304),16,4,1.1,3.7,0.019596566237151756,0.06421644013097422,1065.0
gobp,Positive Regulation Of Neutrophil Migration (GO:1902624),16,4,1.1,3.7,0.019596566237151756,0.06421644013097422,1065.0
gobp,Positive Regulation Of Granulocyte Chemotaxis (GO:0071624),16,4,1.1,3.7,0.019596566237151756,0.06421644013097422,1065.0
kegg,JAK-STAT signaling pathway,102,13,6.9,1.89,0.019717047131449096,0.06541052143607716,209.0
gobp,External Encapsulating Structure Organization (GO:0045229),71,10,4.8,2.08,0.02046525364780254,0.06665289032082478,1065.0
gobp,Extracellular Structure Organization (GO:0043062),71,10,4.8,2.08,0.02046525364780254,0.06665289032082478,1065.0
gobp,Positive Regulation Of Leukocyte Chemotaxis (GO:0002690),42,7,2.8,2.47,0.021273465487904018,0.06886395363105707,1065.0
gobp,Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393),42,7,2.8,2.47,0.021273465487904018,0.06886395363105707,1065.0
gobp,SMAD Protein Signal Transduction (GO:0060395),33,6,2.2,2.69,0.02157073888735088,0.069195291912737,1065.0
gobp,Regulation Of Protein Tyrosine Kinase Activity (GO:0061097),33,6,2.2,2.69,0.02157073888735088,0.069195291912737,1065.0
gobp,Positive Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0010862),33,6,2.2,2.69,0.02157073888735088,0.069195291912737,1065.0
gobp,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),82,11,5.5,1.99,0.021683744452772987,0.06934891243904874,1065.0
gobp,Cellular Response To Organic Substance (GO:0071310),52,8,3.5,2.28,0.0224471169768992,0.07157538796526242,1065.0
gobp,Positive Regulation Of Protein Secretion (GO:0050714),62,9,4.2,2.15,0.02270536204440565,0.07196788862289291,1065.0
gobp,Regulation Of NIK/NF-kappaB Signaling (GO:1901222),62,9,4.2,2.15,0.02270536204440565,0.07196788862289291,1065.0
gobp,Negative Regulation Of Innate Immune Response (GO:0045824),43,7,2.9,2.41,0.023976933092233713,0.07541078626584118,1065.0
gobp,BMP Signaling Pathway (GO:0030509),43,7,2.9,2.41,0.023976933092233713,0.07541078626584118,1065.0
gobp,Positive Regulation Of Blood Coagulation (GO:0030194),17,4,1.1,3.48,0.0242872297551019,0.07541078626584118,1065.0
gobp,Regulation Of Granulocyte Chemotaxis (GO:0071622),17,4,1.1,3.48,0.0242872297551019,0.07541078626584118,1065.0
gobp,Regulation Of Macrophage Chemotaxis (GO:0010758),17,4,1.1,3.48,0.0242872297551019,0.07541078626584118,1065.0
gobp,Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663),17,4,1.1,3.48,0.0242872297551019,0.07541078626584118,1065.0
gobp,Response To Purine-Containing Compound (GO:0014074),17,4,1.1,3.48,0.0242872297551019,0.07541078626584118,1065.0
gobp,Chemokine-Mediated Signaling Pathway (GO:0070098),34,6,2.3,2.61,0.024742432075967966,0.07660084349100547,1065.0
gobp,Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068),53,8,3.6,2.23,0.024926729080577928,0.07672533662085403,1065.0
gobp,Negative Regulation Of Neuron Apoptotic Process (GO:0043524),53,8,3.6,2.23,0.024926729080577928,0.07672533662085403,1065.0
gobp,Positive Regulation Of Integrin Activation (GO:0033625),10,3,0.7,4.44,0.02578629601693967,0.07801819675579758,1065.0
gobp,Positive Regulation Of Syncytium Formation By Plasma Membrane Fusion (GO:0060143),10,3,0.7,4.44,0.02578629601693967,0.07801819675579758,1065.0
gobp,Regulation Of T Cell Mediated Cytotoxicity (GO:0001914),10,3,0.7,4.44,0.02578629601693967,0.07801819675579758,1065.0
gobp,Macrophage Activation Involved In Immune Response (GO:0002281),10,3,0.7,4.44,0.02578629601693967,0.07801819675579758,1065.0
gobp,"Regulation Of Phagocytosis, Engulfment (GO:0060099)",10,3,0.7,4.44,0.02578629601693967,0.07801819675579758,1065.0
gobp,Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070302),10,3,0.7,4.44,0.02578629601693967,0.07801819675579758,1065.0
gobp,Positive Regulation Of Protein Kinase Activity (GO:0045860),117,14,7.9,1.77,0.02615968820176726,0.07892370519796638,1065.0
gobp,Supramolecular Fiber Organization (GO:0097435),210,22,14.2,1.55,0.02690715582252211,0.080949494211825,1065.0
kegg,Cytosolic DNA-sensing pathway,44,7,3.0,2.35,0.026907379330843625,0.08786941062728622,209.0
gobp,Positive Regulation Of Lymphocyte Differentiation (GO:0045621),35,6,2.4,2.54,0.028210640599620706,0.08463192179886211,1065.0
gobp,Cellular Response To Oxygen-Containing Compound (GO:1901701),284,28,19.2,1.46,0.028464954392043485,0.08515498996496154,1065.0
gobp,Regulation Of Toll-Like Receptor 4 Signaling Pathway (GO:0034143),18,4,1.2,3.29,0.029599261495899854,0.0880536689752328,1065.0
gobp,Negative Regulation Of Small GTPase Mediated Signal Transduction (GO:0051058),18,4,1.2,3.29,0.029599261495899854,0.0880536689752328,1065.0
gobp,Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535),45,7,3.0,2.3,0.03007218114697734,0.0889635358931413,1065.0
gobp,Regulation Of Stress-Activated MAPK Cascade (GO:0032872),45,7,3.0,2.3,0.03007218114697734,0.0889635358931413,1065.0
gobp,Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425),36,6,2.4,2.47,0.03198447577204705,0.0943586335103327,1065.0
gobp,Regulation Of Protein Kinase B Signaling (GO:0051896),98,12,6.6,1.81,0.032257351805926954,0.09490077257821052,1065.0
gobp,Regulation Of Response To Biotic Stimulus (GO:0002831),27,5,1.8,2.74,0.03246138496085515,0.09523794761242627,1065.0
gobp,Endocytosis (GO:0006897),167,18,11.3,1.6,0.03329950330725229,0.09573557670626787,1065.0
gobp,Cellular Response To Peptide (GO:1901653),46,7,3.1,2.25,0.03347811281394445,0.09573557670626787,1065.0
gobp,Regulation Of Macrophage Cytokine Production (GO:0010935),11,3,0.7,4.04,0.033709710107840796,0.09573557670626787,1065.0
gobp,Regulation Of Calcium Ion Transmembrane Transport (GO:1903169),11,3,0.7,4.04,0.033709710107840796,0.09573557670626787,1065.0
gobp,High-Density Lipoprotein Particle Remodeling (GO:0034375),11,3,0.7,4.04,0.033709710107840796,0.09573557670626787,1065.0
gobp,Response To Progesterone (GO:0032570),11,3,0.7,4.04,0.033709710107840796,0.09573557670626787,1065.0
gobp,Response To Iron Ion (GO:0010039),11,3,0.7,4.04,0.033709710107840796,0.09573557670626787,1065.0
gobp,Positive Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051044),11,3,0.7,4.04,0.033709710107840796,0.09573557670626787,1065.0
gobp,Positive Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034116),11,3,0.7,4.04,0.033709710107840796,0.09573557670626787,1065.0
gobp,Positive Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060340),11,3,0.7,4.04,0.033709710107840796,0.09573557670626787,1065.0
gobp,Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),11,3,0.7,4.04,0.033709710107840796,0.09573557670626787,1065.0
