,0
d_entry_mouse (PodTRECK vs IRI),0.4046532105059918
d_species_tubular (cat natural vs mouse IRI),0.534720534642483
d_confounded (cat natural vs PodTRECK),0.5028319704878554
結論,種差 > 病因差（入口を揃えても種が効く）
比 (種/病因),1.321
