,cat_natural_ctx_rna,cat_natural_med_rna,mouse_podtreck_rna,mouse_iri_late_rna
cat_natural_ctx_rna,1.0,0.7599131130936686,0.49716802951214456,0.3762436836609538
cat_natural_med_rna,0.7599131130936686,1.0,0.398784242569468,0.4375442957107411
mouse_podtreck_rna,0.49716802951214456,0.398784242569468,1.0,0.3836169318263685
mouse_iri_late_rna,0.3762436836609538,0.4375442957107411,0.3836169318263685,1.0
