state,days,distance_from_earliest
IRI2h,0.08333333333333333,0.0
IRI4h,0.16666666666666666,0.5120257567997832
IRI24h,1.0,0.8379134558164972
IRI48h,2.0,0.8031507210162605
IRI72h,3.0,0.8086622700166903
IRI7d,7.0,0.679981322732413
IRI14d,14.0,0.3799694034159722
IRI28d,28.0,0.7615157066663807
IRI12m,365.0,0.6928688046822955
