a,b,distance,dlog10days,entry_mismatch,model_mismatch
PodTRECK_5D,PodTRECK_2W,0.42086445420358853,0.4471580313422191,0,0
PodTRECK_5D,PodTRECK_3W,0.4523969003687899,0.6232492903979004,0,0
PodTRECK_5D,UUO_2D,0.4549346774062173,0.39794000867203766,1,1
PodTRECK_5D,UUO_8D,0.4750205687206075,0.20411998265592468,1,1
PodTRECK_5D,IRI2h,1.0223413183141135,1.7781512503836439,1,1
PodTRECK_5D,IRI4h,0.6995580556454879,1.4771212547196626,1,1
PodTRECK_5D,IRI24h,0.44499675356570123,0.6989700043360189,1,1
PodTRECK_5D,IRI48h,0.4355145342377028,0.39794000867203766,1,1
PodTRECK_5D,IRI72h,0.36786061341195686,0.22184874961635642,1,1
PodTRECK_5D,IRI7d,0.515412779826333,0.14612803567823796,1,1
PodTRECK_5D,IRI14d,0.7366478896403539,0.4471580313422191,1,1
PodTRECK_5D,IRI28d,0.5950943146127533,0.7481880270062004,1,1
PodTRECK_5D,IRI12m,0.6723056628413145,1.863322860120456,1,1
PodTRECK_5D,IRI6mN,0.9563368043991093,1.5563025007672873,1,1
PodTRECK_2W,PodTRECK_3W,0.12381607677755979,0.17609125905568135,0,0
PodTRECK_2W,UUO_2D,0.388853392504097,0.8450980400142567,1,1
PodTRECK_2W,UUO_8D,0.24318511350840377,0.24303804868629442,1,1
PodTRECK_2W,IRI2h,0.8893890059561383,2.225309281725863,1,1
PodTRECK_2W,IRI4h,0.6946761501246611,1.9242792860618816,1,1
PodTRECK_2W,IRI24h,0.2858721705619651,1.146128035678238,1,1
PodTRECK_2W,IRI48h,0.32775057758866855,0.8450980400142567,1,1
PodTRECK_2W,IRI72h,0.247552729256988,0.6690067809585756,1,1
PodTRECK_2W,IRI7d,0.21635844262290715,0.30102999566398114,1,1
PodTRECK_2W,IRI14d,0.36147345078703863,0.0,1,1
PodTRECK_2W,IRI28d,0.2309719659618399,0.30102999566398125,1,1
PodTRECK_2W,IRI12m,0.4046532105059918,1.4161648287782367,1,1
PodTRECK_2W,IRI6mN,0.6163830681736315,1.109144469425068,1,1
PodTRECK_3W,UUO_2D,0.4033225450490071,1.021189299069938,1,1
PodTRECK_3W,UUO_8D,0.28535631598184097,0.41912930774197577,1,1
PodTRECK_3W,IRI2h,0.9034660871167628,2.401400540781544,1,1
PodTRECK_3W,IRI4h,0.7148727535612409,2.100370545117563,1,1
PodTRECK_3W,IRI24h,0.347497801434959,1.3222192947339193,1,1
PodTRECK_3W,IRI48h,0.2907819796120752,1.021189299069938,1,1
PodTRECK_3W,IRI72h,0.25287918430341916,0.8450980400142569,1,1
PodTRECK_3W,IRI7d,0.2549716343762599,0.4771212547196625,1,1
PodTRECK_3W,IRI14d,0.4458995047372112,0.17609125905568135,1,1
PodTRECK_3W,IRI28d,0.35167722278828684,0.1249387366082999,1,1
PodTRECK_3W,IRI12m,0.38859206438516525,1.2400735697225553,1,1
PodTRECK_3W,IRI6mN,0.5766234118200126,0.9330532103693867,1,1
UUO_2D,UUO_8D,0.26193562402470694,0.6020599913279623,0,0
UUO_2D,IRI2h,1.0535300856540404,1.3802112417116061,0,1
UUO_2D,IRI4h,0.7633553121508101,1.0791812460476249,0,1
UUO_2D,IRI24h,0.4162246118794142,0.3010299956639812,0,1
UUO_2D,IRI48h,0.4312580489014056,0.0,0,1
UUO_2D,IRI72h,0.4128897531029865,0.17609125905568124,0,1
UUO_2D,IRI7d,0.3802092758445693,0.5440680443502757,0,1
UUO_2D,IRI14d,0.6638429762041343,0.8450980400142567,0,1
UUO_2D,IRI28d,0.5604158366001605,1.146128035678238,0,1
UUO_2D,IRI12m,0.5698422393689684,2.2612628687924934,0,1
UUO_2D,IRI6mN,0.7576893834811489,1.9542425094393248,0,1
UUO_8D,IRI2h,0.9188552341304757,1.9822712330395684,0,1
UUO_8D,IRI4h,0.709445176391416,1.6812412373755872,0,1
UUO_8D,IRI24h,0.3817771927243607,0.9030899869919435,0,1
UUO_8D,IRI48h,0.3128465125838127,0.6020599913279623,0,1
UUO_8D,IRI72h,0.27720319634289015,0.4259687322722811,0,1
UUO_8D,IRI7d,0.21716221524668766,0.057991946977686726,0,1
UUO_8D,IRI14d,0.4218242402639967,0.24303804868629442,0,1
UUO_8D,IRI28d,0.3061348983874108,0.5440680443502757,0,1
UUO_8D,IRI12m,0.33228230431649586,1.659202877464531,0,1
UUO_8D,IRI6mN,0.5417765345876566,1.3521825181113625,0,1
IRI2h,IRI4h,0.5120257567997832,0.30102999566398125,0,0
IRI2h,IRI24h,0.8379134558164972,1.0791812460476249,0,0
IRI2h,IRI48h,0.8031507210162605,1.3802112417116061,0,0
IRI2h,IRI72h,0.8086622700166903,1.5563025007672873,0,0
IRI2h,IRI7d,0.679981322732413,1.9242792860618816,0,0
IRI2h,IRI14d,0.3799694034159722,2.225309281725863,0,0
IRI2h,IRI28d,0.7615157066663807,2.526339277389844,0,0
IRI2h,IRI12m,0.6928688046822955,3.6414741105040997,0,0
IRI2h,IRI6mN,0.7864438134605823,3.3344537511509307,0,0
IRI4h,IRI24h,0.6612394667431356,0.7781512503836436,0,0
IRI4h,IRI48h,0.6526535007736838,1.0791812460476249,0,0
IRI4h,IRI72h,0.6113374528203532,1.255272505103306,0,0
IRI4h,IRI7d,0.6499885299628076,1.6232492903979003,0,0
IRI4h,IRI14d,0.6841024015457651,1.9242792860618816,0,0
IRI4h,IRI28d,0.7692861134254287,2.225309281725863,0,0
IRI4h,IRI12m,0.6940448111284669,3.3404441148401185,0,0
IRI4h,IRI6mN,0.8433870377916675,3.0334237554869494,0,0
IRI24h,IRI48h,0.22318382219222066,0.3010299956639812,0,0
IRI24h,IRI72h,0.29213587932197804,0.47712125471966244,0,0
IRI24h,IRI7d,0.2620064221278191,0.8450980400142568,0,0
IRI24h,IRI14d,0.4612614987246466,1.146128035678238,0,0
IRI24h,IRI28d,0.39417800386629676,1.4471580313422192,0,0
IRI24h,IRI12m,0.4788384021450164,2.5622928644564746,0,0
IRI24h,IRI6mN,0.7374500772097285,2.255272505103306,0,0
IRI48h,IRI72h,0.10810405235537557,0.17609125905568124,0,0
IRI48h,IRI7d,0.21822217902674013,0.5440680443502757,0,0
IRI48h,IRI14d,0.44112196066725795,0.8450980400142567,0,0
IRI48h,IRI28d,0.41359718714597593,1.146128035678238,0,0
IRI48h,IRI12m,0.3531648980877292,2.2612628687924934,0,0
IRI48h,IRI6mN,0.6104683765267167,1.9542425094393248,0,0
IRI72h,IRI7d,0.21601419175331404,0.3679767852945944,0,0
IRI72h,IRI14d,0.4018731573090033,0.6690067809585756,0,0
IRI72h,IRI28d,0.3368492504518371,0.9700367766225568,0,0
IRI72h,IRI12m,0.4047220069894949,2.085171609736812,0,0
IRI72h,IRI6mN,0.6446741876120887,1.7781512503836436,0,0
IRI7d,IRI14d,0.22289206001119943,0.30102999566398114,0,0
IRI7d,IRI28d,0.23967304366063935,0.6020599913279624,0,0
IRI7d,IRI12m,0.27639442158691174,1.7171948244422177,0,0
IRI7d,IRI6mN,0.5097046174083144,1.410174465089049,0,0
IRI14d,IRI28d,0.22730380476122936,0.30102999566398125,0,0
IRI14d,IRI12m,0.3634061770577025,1.4161648287782367,0,0
IRI14d,IRI6mN,0.5527855023032131,1.109144469425068,0,0
IRI28d,IRI12m,0.4287546505980536,1.1151348331142554,0,0
IRI28d,IRI6mN,0.6185208524068899,0.8081144737610868,0,0
IRI12m,IRI6mN,0.4141566807719326,0.3070203593531686,0,0
