feature,lfc_early,p_early,q_early,lfc_late,p_late,q_late,lfc_prog,p_prog,prog_sign_stable,class,ratio_early_late
ABHD1,-0.8464117425284324,0.3564415497966851,0.6658473855385978,1.2739028454078836,0.1704858979243839,0.3146000044016196,2.120314587936316,0.00822072970430689,True,sign_reversal,-0.6644240929200725
CA3,0.6684979787511585,0.30773213606175837,0.6298924644236694,-0.8386198220183294,0.3389554073506059,0.5061943479844567,-1.5071178007694879,0.017763973132810435,True,sign_reversal,-0.797140684252211
CFAP221,-0.5952177468611493,0.3094716793502623,0.6310396332503763,0.7039785412590679,0.28548214489371126,0.4513901485225793,1.2991962881202173,0.04697102351688229,True,sign_reversal,-0.8455055260585079
LOC102899103,0.7064899540108256,0.030681890593248138,0.3291784423492323,-1.015178367087913,0.0233034679005818,0.08054956392755448,-1.7216683210987387,0.0005069916268906204,True,sign_reversal,-0.6959269197564023
LOC109491668,-1.2170673189016465,0.32539851155569866,0.6440373728190852,1.9169891581424845,0.04456526482345241,0.12414843633881585,3.134056477044131,0.01408618929034393,True,sign_reversal,-0.6348848211958356
LOC109496543,-2.4715555683113646,0.39283598679504195,0.6883105457893516,3.3053190707423807,0.19550622692883257,0.34700923629114055,5.776874639053745,0.028726403181613454,True,sign_reversal,-0.7477509781699376
MYBPC3,0.597905133910261,0.10640844418919795,0.4616212832251317,-0.8336064780690073,0.05153486524525221,0.1373265916623264,-1.4315116119792684,5.349709296399285e-05,True,sign_reversal,-0.717251064669348
PRR30,-0.8262158283829244,0.09831656550039335,0.4495962992467468,0.9211799629482194,0.08511940041569312,0.193381176957406,1.7473957913311438,0.005458243353207938,True,sign_reversal,-0.8969103341529878
SYT4,-1.0492170269552705,0.21983387123203682,0.5680522240214068,1.1374283186374978,0.25933681978049483,0.42207708238662617,2.186645345592768,0.02648024363498619,True,sign_reversal,-0.9224467245655588
TMEM176A,-0.6735693996740055,0.36996314452836343,0.6744707208184824,0.741899563483142,0.2361510807101148,0.39523596149055046,1.4154689631571475,0.03098929110360482,True,sign_reversal,-0.9078983636432761
