tissue,module,mean_r,z_vs_null,p,n_genes,coherent
ctx,ECM_fibrosis,0.7870608730748055,47.98597708971799,0.004975124378109453,34,True
ctx,Complement,0.2960608339144571,9.386485423299344,0.004975124378109453,20,True
ctx,Innate_immune,0.6508509849813555,22.47928209157602,0.004975124378109453,21,True
ctx,Lymphocyte,0.8703642779282603,17.95723707935812,0.004975124378109453,13,True
ctx,B_plasma,0.90534331829547,6.766419247790186,0.004975124378109453,5,True
ctx,T_cell,0.9194379475687442,10.530222047500175,0.004975124378109453,6,True
ctx,Osteoclast_like_Mac,0.4480446368913314,9.8444678960813,0.004975124378109453,12,True
ctx,Tubular_injury,0.6355459337628392,13.054770638475237,0.004975124378109453,13,True
ctx,OXPHOS,0.8584213043262701,28.39984522495368,0.004975124378109453,21,True
ctx,FAO_PPARA,0.620462291680936,14.083479001636363,0.004975124378109453,18,True
ctx,Glycolysis,0.27596907445200813,5.63978650467594,0.004975124378109453,13,True
ctx,Hypoxia,0.06873444751594418,1.222073989903296,0.10945273631840796,12,False
ctx,PT_transport,0.6154227102679796,17.713624892020317,0.004975124378109453,17,True
ctx,Podocyte,0.33698881983739726,6.9095397642558956,0.004975124378109453,12,True
ctx,TAL,0.3946872229160176,5.625720636203789,0.004975124378109453,9,True
ctx,CD_principal,0.34029052419923983,4.63749864583638,0.009950248756218905,8,True
ctx,CD_intercalated,0.6494323178690866,10.047001928309484,0.004975124378109453,9,True
ctx,Osmotic_TonEBP,-0.026549599884901902,-0.30529809377695966,0.5422885572139303,9,False
ctx,Urea_concentration,0.14208527724462117,1.93432040845163,0.04477611940298507,9,False
ctx,MR_downstream,0.24597203277043236,4.58983620811641,0.009950248756218905,11,True
ctx,MR_regulators,,,,3,False
ctx,Cell_cycle,0.4342182015356149,7.930274958350133,0.004975124378109453,10,True
ctx,ER_proteostasis,0.2487519150557123,4.839862262129666,0.004975124378109453,11,True
ctx,Lysosome,0.3430766884196054,6.7098916682636505,0.004975124378109453,13,True
ctx,Redox_ferroptosis,0.23055241051728687,4.602601884957196,0.009950248756218905,13,True
ctx,Ciliogenesis,0.16333069438368494,1.8718724653534276,0.05472636815920398,7,False
ctx,Matrix_integrin,0.5535129579478301,12.243532681925073,0.004975124378109453,13,True
med,ECM_fibrosis,0.4496296411895408,26.956141288292216,0.004975124378109453,34,True
med,Complement,0.2991722399628167,10.754489357750607,0.004975124378109453,20,True
med,Innate_immune,0.7164716715611816,27.428801907597627,0.004975124378109453,21,True
med,Lymphocyte,0.6890336187725153,16.57854565052536,0.004975124378109453,13,True
med,B_plasma,0.8481630444496229,6.428038738112992,0.004975124378109453,5,True
med,T_cell,0.88574850281035,8.511175143959179,0.004975124378109453,6,True
med,Osteoclast_like_Mac,0.5392005458862308,10.192507747040455,0.004975124378109453,11,True
med,Tubular_injury,0.4121077956874655,9.185698701681824,0.004975124378109453,13,True
med,OXPHOS,0.8107163085674062,33.671980474662845,0.004975124378109453,21,True
med,FAO_PPARA,0.605835332817356,17.809537375439568,0.004975124378109453,17,True
med,Glycolysis,0.3951924138050004,7.463487143126064,0.004975124378109453,13,True
med,Hypoxia,0.04913683810648771,0.9813804898581082,0.12935323383084577,12,False
med,PT_transport,0.7712287930946229,22.784715097822723,0.004975124378109453,16,True
med,Podocyte,0.13862717025064686,2.3307260229366467,0.03980099502487562,12,True
med,TAL,0.5919283030930684,7.994481044959896,0.004975124378109453,9,True
med,CD_principal,0.32756364785782505,4.1160795018498195,0.004975124378109453,8,True
med,CD_intercalated,0.38629599586650076,5.861327448388941,0.004975124378109453,9,True
med,Osmotic_TonEBP,0.22745675285092914,3.986078963872258,0.004975124378109453,10,True
med,Urea_concentration,0.24490471661923136,4.0028703557234655,0.014925373134328358,10,True
med,MR_downstream,0.12828014474893262,1.9866312728495672,0.03980099502487562,11,False
med,MR_regulators,,,,3,False
med,Cell_cycle,0.42702075106369347,6.836238595551122,0.004975124378109453,10,True
med,ER_proteostasis,0.10976413412928523,1.6604485715940458,0.06467661691542288,11,False
med,Lysosome,0.36495835840352725,7.535917510135797,0.004975124378109453,13,True
med,Redox_ferroptosis,0.2649337378021591,4.531707976808726,0.009950248756218905,12,True
med,Ciliogenesis,0.14279485370152661,1.7496321259489942,0.06965174129353234,7,False
med,Matrix_integrin,0.261890212743184,5.232379796290025,0.004975124378109453,13,True
