dataset,term,z,mean_lfc,n_genes
cat_rna_ctx_late,Fc-gamma Receptor Signaling Pathway (GO:0038094),3.7769561449902644,0.9718961419830308,23
cat_rna_ctx_late,Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis (GO:0038096),2.6923356272934305,0.7320302272191992,19
cat_rna_ctx_late,G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213),1.1662593924293119,0.2826487437988131,11
cat_rna_ctx_late,"G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)",1.8924226542710083,0.7808367587479828,19
cat_rna_ctx_late,G1/S Transition Of Mitotic Cell Cycle (GO:0000082),2.031338029869954,0.29068177020072233,55
cat_rna_ctx_late,G2/M Transition Of Mitotic Cell Cycle (GO:0000086),1.8408622941824522,0.3735011322165195,35
cat_rna_ctx_late,GPI Anchor Biosynthetic Process (GO:0006506),-0.23662342466368463,0.0016443292432122664,29
cat_rna_ctx_late,GPI Anchor Metabolic Process (GO:0006505),-0.35768862463544593,-0.004631810435703248,26
cat_rna_ctx_late,GTP Metabolic Process (GO:0046039),-0.7266486236715297,-0.15433388993073374,12
cat_rna_ctx_late,Golgi Organization (GO:0007030),-0.4738486588773758,0.013328442054565029,108
cat_rna_ctx_late,Golgi To Endosome Transport (GO:0006895),-0.21261655073659644,0.011834863576513184,14
cat_rna_ctx_late,Golgi To Lysosome Transport (GO:0090160),-0.36553403237026966,0.04870709635145674,10
cat_rna_ctx_late,Golgi To Plasma Membrane Protein Transport (GO:0043001),-1.2201146452428027,-0.05814803438305378,26
cat_rna_ctx_late,Golgi To Plasma Membrane Transport (GO:0006893),-2.0065678982799864,-0.09361882198989843,45
cat_rna_ctx_late,Golgi To Vacuole Transport (GO:0006896),-1.0586787545504004,-0.058112037718968584,16
cat_rna_ctx_late,Golgi Vesicle Transport (GO:0048193),-2.459689441292308,-0.05038491973166226,182
cat_rna_ctx_late,I-kappaB kinase/NF-kappaB Signaling (GO:0007249),3.3821805193102445,0.5025598674370004,42
cat_rna_ctx_late,JNK Cascade (GO:0007254),-0.6321635234958489,-0.039921055321892066,29
cat_rna_ctx_late,L-alpha-amino Acid Transmembrane Transport (GO:1902475),1.431026194811786,0.2632058612718321,31
cat_rna_ctx_late,L-amino Acid Transport (GO:0015807),0.8637832540202458,0.2872321980890411,19
cat_rna_ctx_late,MAPK Cascade (GO:0000165),1.7240651936935916,0.19637170160934306,87
cat_rna_ctx_late,MyD88-dependent Toll-Like Receptor Signaling Pathway (GO:0002755),0.5402968714358014,0.06347116380325905,11
cat_rna_ctx_late,N-acetylglucosamine Metabolic Process (GO:0006044),0.43441811340682523,0.0764852474571619,12
cat_rna_ctx_late,N-glycan Processing (GO:0006491),-0.1708970561983797,0.006726229713018143,15
cat_rna_ctx_late,N-terminal Protein Amino Acid Acetylation (GO:0006474),-0.6334494246578986,-0.061338269459930865,14
cat_rna_ctx_late,N-terminal Protein Amino Acid Modification (GO:0031365),-1.3414516785670483,-0.15608755641845276,11
cat_rna_ctx_late,NAD Biosynthetic Process (GO:0009435),-1.9073811881211822,-0.31615473196085053,15
cat_rna_ctx_late,NAD Metabolic Process (GO:0019674),-3.7925529177489805,-0.4462181897539875,20
cat_rna_ctx_late,NADH Dehydrogenase Complex Assembly (GO:0010257),-7.274547800243172,-0.4665499788828457,51
cat_rna_ctx_late,NADP Metabolic Process (GO:0006739),-1.222292525069574,-0.031209313546850255,18
cat_rna_ctx_late,NADPH Regeneration (GO:0006740),0.4179153739520767,0.0855992498989342,12
cat_rna_ctx_late,NIK/NF-kappaB Signaling (GO:0038061),2.256531847782006,0.3513920189266081,29
cat_rna_ctx_late,NLS-bearing Protein Import Into Nucleus (GO:0006607),-0.44611636656994286,-0.035513005727745045,11
cat_rna_ctx_late,Notch Signaling Involved In Heart Development (GO:0061314),0.9202346381689551,0.15048126316773072,10
cat_rna_ctx_late,Notch Signaling Pathway (GO:0007219),1.0064470201834856,0.16918567747427943,36
cat_rna_ctx_late,O-glycan Processing (GO:0016266),2.7551198690254175,0.3818417786953976,33
cat_rna_ctx_late,P-body Assembly (GO:0033962),0.23884449236775504,0.0029479598902080626,10
cat_rna_ctx_late,RNA 3'-End Processing (GO:0031123),-1.0140804355126831,-0.08472087262917326,33
cat_rna_ctx_late,RNA Biosynthetic Process (GO:0032774),-0.5739341797999549,-0.038035092924130466,26
cat_rna_ctx_late,RNA Catabolic Process (GO:0006401),1.0985406030068947,0.10431688282377465,49
cat_rna_ctx_late,RNA Destabilization (GO:0050779),-1.041034488125885,-0.1383658344600531,18
cat_rna_ctx_late,RNA Export From Nucleus (GO:0006405),1.5660532085729522,0.08127333600842991,56
cat_rna_ctx_late,RNA Metabolic Process (GO:0016070),1.6551610852255705,0.10056412558989465,97
cat_rna_ctx_late,RNA Methylation (GO:0001510),-0.33481453670895367,-0.036562088420103576,56
cat_rna_ctx_late,RNA Modification (GO:0009451),0.26654599693368586,0.00899537361155593,44
cat_rna_ctx_late,RNA Phosphodiester Bond Hydrolysis (GO:0090501),0.9256971990495744,0.11729831405415006,23
cat_rna_ctx_late,"RNA Phosphodiester Bond Hydrolysis, Endonucleolytic (GO:0090502)",0.08132550003300487,0.05880622077752462,12
cat_rna_ctx_late,RNA Polyadenylation (GO:0043631),-0.7482295859324442,-0.08092989253998958,23
cat_rna_ctx_late,RNA Polymerase II Preinitiation Complex Assembly (GO:0051123),-0.03249687818355709,-0.0035504927714006262,42
cat_rna_ctx_late,RNA Processing (GO:0006396),0.35061062900183254,-0.0001573183663562031,169
cat_rna_ctx_late,RNA Splicing (GO:0008380),0.2869868065580496,-0.010107140223465566,94
cat_rna_ctx_late,"RNA Splicing, Via Endonucleolytic Cleavage And Ligation (GO:0000394)",-1.0271949134289915,-0.08200875819941679,11
cat_rna_ctx_late,"RNA Splicing, Via Transesterification Reactions (GO:0000375)",-0.22960315906374215,-0.02535990166397961,24
cat_rna_ctx_late,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",0.3713044795529832,0.0009267460538954674,171
cat_rna_ctx_late,RNA Stabilization (GO:0043489),0.5117129701165913,0.12087858954703067,31
cat_rna_ctx_late,RNA Transport (GO:0050658),1.6107468773628837,0.13645865225989506,32
cat_rna_ctx_late,RNA-mediated Gene Silencing (GO:0031047),0.9341323684498781,0.23934032416809162,19
cat_rna_ctx_late,RNA-templated DNA Biosynthetic Process (GO:0006278),0.5744128474625522,0.14090941388870012,19
cat_rna_ctx_late,Rac Protein Signal Transduction (GO:0016601),0.02704006970691393,0.024902311281929823,16
cat_rna_ctx_late,Ras Protein Signal Transduction (GO:0007265),1.7574895401064567,0.18178041523305552,130
cat_rna_ctx_late,Rho Protein Signal Transduction (GO:0007266),1.48138528411689,0.1965319382587751,46
cat_rna_ctx_late,SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146),-1.9788224091929325,-0.13510442314985346,36
cat_rna_ctx_late,SMAD Protein Signal Transduction (GO:0060395),2.63727383178117,0.538266284486681,36
cat_rna_ctx_late,SRP-dependent Cotranslational Protein Targeting To Membrane (GO:0006614),0.028996863893268644,-0.008626694087457799,10
cat_rna_ctx_late,T Cell Activation (GO:0042110),6.670367681035053,1.0551032563171518,75
cat_rna_ctx_late,T Cell Differentiation (GO:0030217),3.7038200618785666,0.7393463194844373,38
cat_rna_ctx_late,T Cell Differentiation In Thymus (GO:0033077),1.5043659761485875,0.7589832350265376,10
cat_rna_ctx_late,T Cell Homeostasis (GO:0043029),2.094075429300919,0.6174033584316214,13
cat_rna_ctx_late,T Cell Mediated Immunity (GO:0002456),2.279616294851193,0.947575992556815,10
cat_rna_ctx_late,T Cell Migration (GO:0072678),4.102647039408543,1.2245579489229297,12
cat_rna_ctx_late,T Cell Proliferation (GO:0042098),2.279833228995035,0.7681260533913956,10
cat_rna_ctx_late,T Cell Receptor Signaling Pathway (GO:0050852),5.024813895561652,0.6875746906296105,68
cat_rna_ctx_late,T-helper Cell Differentiation (GO:0042093),1.4369925407617665,0.342290245847152,12
cat_rna_ctx_late,TOR Signaling (GO:0031929),-1.494869613646469,-0.057473593668324066,28
cat_rna_ctx_late,TORC1 Signaling (GO:0038202),-1.2690647414635507,-0.1684695905935613,10
cat_rna_ctx_late,U2-type Prespliceosome Assembly (GO:1903241),0.15269748280698667,0.0061203931990429965,23
cat_rna_ctx_late,UV-damage Excision Repair (GO:0070914),0.5009732495076631,0.10678032540449592,10
cat_rna_ctx_late,V(D)J Recombination (GO:0033151),1.3131023726630546,0.25095249955325816,10
cat_rna_ctx_late,Wnt Signaling Pathway (GO:0016055),0.921672616562023,0.1734370523921624,62
cat_rna_ctx_late,"Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)",0.18418663664678395,-0.009063832313181605,24
cat_rna_ctx_late,acetyl-CoA Biosynthetic Process (GO:0006085),-2.538633440273328,-0.40170492147171244,11
cat_rna_ctx_late,acetyl-CoA Metabolic Process (GO:0006084),-1.9410941675957982,-0.32881518579312197,15
cat_rna_ctx_late,Acetylcholine Receptor Signaling Pathway (GO:0095500),1.4787820287937437,0.34034772171505073,14
cat_rna_ctx_late,Actin Cytoskeleton Reorganization (GO:0031532),1.6968679724597036,0.264354664758741,52
cat_rna_ctx_late,Actin Filament Bundle Assembly (GO:0051017),0.3693533627237397,0.11893396491460996,30
cat_rna_ctx_late,Actin Filament Bundle Organization (GO:0061572),0.6014360284162064,0.13719343215695184,30
cat_rna_ctx_late,Actin Filament Capping (GO:0051693),1.318260156251279,0.2916458445670288,15
cat_rna_ctx_late,Actin Filament Organization (GO:0007015),4.142427183053874,0.3423266616902458,126
cat_rna_ctx_late,Actin Filament Polymerization (GO:0030041),0.1982749136356643,0.20210430177907593,27
cat_rna_ctx_late,Actin Filament-Based Transport (GO:0099515),0.22078740628323393,0.1808265986754869,20
cat_rna_ctx_late,Actin Nucleation (GO:0045010),1.231357260504266,0.20107100903983544,17
cat_rna_ctx_late,Actin Polymerization Or Depolymerization (GO:0008154),1.3534692258543466,0.25816531288550737,46
cat_rna_ctx_late,Action Potential (GO:0001508),1.2045724044296073,0.31705747072891627,22
cat_rna_ctx_late,Activation Of GTPase Activity (GO:0090630),0.9231899445755868,0.2411096545675137,85
cat_rna_ctx_late,Activation Of NF-kappaB-inducing Kinase Activity (GO:0007250),1.5638735549288048,0.46363671252480665,13
cat_rna_ctx_late,Activation Of Adenylate Cyclase Activity (GO:0007190),-0.3764117615777138,0.16414516862590742,11
cat_rna_ctx_late,Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202),0.16486360914238235,0.1711477470485513,13
cat_rna_ctx_late,Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),0.743177650427783,0.15683042026891236,53
cat_rna_ctx_late,Activation Of Phospholipase C Activity (GO:0007202),3.2362428744272496,0.8960286325501777,19
cat_rna_ctx_late,Activation Of Protein Kinase B Activity (GO:0032148),-2.07078729935733,-0.3265701533980856,19
cat_rna_ctx_late,Activation Of Protein Kinase Activity (GO:0032147),1.0092729667124078,0.21534265556095358,66
cat_rna_ctx_late,Activin Receptor Signaling Pathway (GO:0032924),1.6106176309801614,0.7321132980555144,11
cat_rna_ctx_late,Actomyosin Structure Organization (GO:0031032),2.1428541109611623,0.24825953368001386,57
cat_rna_ctx_late,Acute Inflammatory Response (GO:0002526),1.6009651634243633,0.8836898491679005,11
cat_rna_ctx_late,acyl-CoA Biosynthetic Process (GO:0071616),-2.8766305642144983,-0.5223422146287245,13
cat_rna_ctx_late,acyl-CoA Metabolic Process (GO:0006637),-3.6964236587499593,-0.6586685330555649,19
cat_rna_ctx_late,Acylglycerol Biosynthetic Process (GO:0046463),-2.172923994841014,-0.48447407981303015,16
cat_rna_ctx_late,Acylglycerol Catabolic Process (GO:0046464),-1.2354613225367996,-0.2051647908818159,17
cat_rna_ctx_late,Acylglycerol Homeostasis (GO:0055090),0.09602950553150066,0.19922912158412565,17
cat_rna_ctx_late,Acylglycerol Metabolic Process (GO:0006639),1.283627082095628,0.3490862052431747,27
