gene,rho_time,amplitude,group,is_monotonic
Sox17,-0.39999999999999997,0.5339365754001353,non_monotonic,False
Mrpl15,0.0,0.4950754190680975,non_monotonic,False
Lypla1,0.2833333333333333,1.507891212033341,non_monotonic,False
Tcea1,0.19999999999999998,0.7910042012753964,non_monotonic,False
Atp6v1h,-0.5333333333333333,0.5386126787114396,non_monotonic,False
Rb1cc1,0.31666666666666665,1.7221694385811428,non_monotonic,False
Pcmtd1,0.45,1.8449344201239777,non_monotonic,False
Rrs1,-0.3666666666666667,0.7447379965985501,non_monotonic,False
Adhfe1,0.08333333333333334,2.0806429878215784,non_monotonic,False
Mybl1,0.08333333333333334,0.8922674196187239,non_monotonic,False
Vcpip1,0.5499999999999999,0.7142776695347968,non_monotonic,False
Sgk3,0.08333333333333334,0.7443812688606153,non_monotonic,False
Snhg6,-0.15,1.5195925567770368,non_monotonic,False
Tcf24,0.8499999999999999,1.0127924353514288,monotonic_up,True
Cops5,-0.18333333333333335,0.6964225692035786,non_monotonic,False
Cspp1,-0.2333333333333333,1.070002509242718,non_monotonic,False
Arfgef1,0.16666666666666669,1.8756403906184729,non_monotonic,False
Prex2,0.2333333333333333,1.2476328159526584,non_monotonic,False
Sulf1,0.5833333333333334,2.1932355704239375,non_monotonic,False
Ncoa2,0.48333333333333334,0.9178212263277019,non_monotonic,False
Tram1,0.5,0.7622303997323989,non_monotonic,False
Lactb2,0.08333333333333334,1.9830057883522212,non_monotonic,False
Terf1,-0.21666666666666667,1.1095926928405602,non_monotonic,False
Rpl7,0.19999999999999998,1.229841436716173,non_monotonic,False
Rdh10,-0.3,0.9902354943145628,non_monotonic,False
Stau2,0.21666666666666667,0.43851739195352524,non_monotonic,False
Ube2w,0.5499999999999999,0.5338877505601691,non_monotonic,False
Tceb1,0.016666666666666666,0.7701525993191849,non_monotonic,False
Tmem70,0.13333333333333333,0.45653398552184665,non_monotonic,False
Ly96,0.15,1.849656114118225,non_monotonic,False
Pi15,-0.2833333333333333,1.0372230004055698,non_monotonic,False
Tfap2b,0.6666666666666667,1.4439014971649418,non_monotonic,False
Pkhd1,0.5666666666666667,1.1186908617850877,non_monotonic,False
Mcm3,0.06666666666666667,2.426721020924055,non_monotonic,False
Paqr8,0.6166666666666666,0.7561117531685577,non_monotonic,False
Tram2,0.3,0.7350765404509121,non_monotonic,False
Tmem14a,0.6,0.6218969116109307,non_monotonic,False
Gsta3,0.35,1.3305084276167918,non_monotonic,False
Gm4956,0.38333333333333336,2.789763650412201,non_monotonic,False
Gm27028,-0.7,1.0266157045850606,non_monotonic,False
Ogfrl1,0.7999999999999999,0.8957790405477217,monotonic_up,True
B3gat2,-0.26666666666666666,1.8472188470416904,non_monotonic,False
Smap1,-0.06666666666666667,0.4637530670817247,non_monotonic,False
1110058L19Rik,0.5833333333333334,0.5193664565099421,non_monotonic,False
Fam135a,-0.31666666666666665,1.465540131209849,non_monotonic,False
Gm28439,-0.2333333333333333,1.5064392430337328,non_monotonic,False
Gm10222,-0.5499999999999999,1.6892756999115541,non_monotonic,False
Gm28438,0.03333333333333333,2.623459204386081,non_monotonic,False
Gm28437,-0.2333333333333333,1.921235672875425,non_monotonic,False
Gm10925,-0.4666666666666666,1.8543595279753569,non_monotonic,False
Gm28661,-0.5666666666666667,1.813192305500578,non_monotonic,False
Gm29216,-0.5333333333333333,1.2493114436645434,non_monotonic,False
Lmbrd1,0.39999999999999997,0.5949502523847885,non_monotonic,False
Gm7846,0.016666666666666666,1.1122273623563532,non_monotonic,False
Phf3,0.016666666666666666,1.3189663953592365,non_monotonic,False
Ptp4a1,-0.7,1.748625697098324,non_monotonic,False
Gm7893,-0.20083857810137354,1.2812651139817175,non_monotonic,False
Prim2,0.09999999999999999,1.4002828439804917,non_monotonic,False
Rab23,0.5499999999999999,0.4810778125442119,non_monotonic,False
Bag2,-0.2833333333333333,2.1105775967052933,non_monotonic,False
Zfp451,0.09999999999999999,0.6540090203052855,non_monotonic,False
Dst,-0.016666666666666666,0.47192196879103077,non_monotonic,False
RP24-422C24.2,0.0,1.3837886361321166,non_monotonic,False
Ccdc115,0.18333333333333335,0.9626147900422826,non_monotonic,False
Imp4,0.3,0.27614155755864367,non_monotonic,False
Ptpn18,0.6,0.49109583486039377,non_monotonic,False
Fam168b,0.7,0.6382685555892671,non_monotonic,False
Plekhb2,0.15,1.0365691931113288,non_monotonic,False
Hs6st1,-0.5333333333333333,0.6844591457453593,non_monotonic,False
Uggt1,0.18333333333333335,0.6788154843590837,non_monotonic,False
Neurl3,0.5666666666666667,1.8390672426454553,non_monotonic,False
Arid5a,-0.7,1.614620821219274,non_monotonic,False
Kansl3,0.6833333333333333,0.46572507706808164,non_monotonic,False
Fer1l5,0.09999999999999999,0.6982224717692025,non_monotonic,False
Lman2l,-0.11666666666666665,1.3068039423960895,non_monotonic,False
Cnnm4,-0.2333333333333333,0.9716890712549342,non_monotonic,False
Cnnm3,0.39999999999999997,0.8002523997429072,non_monotonic,False
Ankrd39,0.15,0.6755772393799602,non_monotonic,False
Sema4c,-0.7166666666666667,1.595268176442409,monotonic_down,True
Cox5b,-0.4666666666666666,0.6492017878558718,non_monotonic,False
Actr1b,-0.11666666666666665,0.28357305185429027,non_monotonic,False
Zap70,0.7166666666666667,1.2787040248981392,monotonic_up,True
Tmem131,-0.049999999999999996,0.8193054444335099,non_monotonic,False
Inpp4a,0.6666666666666667,0.5110491714125973,non_monotonic,False
Coa5,0.5666666666666667,0.6498494272140718,non_monotonic,False
Unc50,0.38333333333333336,0.7902846960303638,non_monotonic,False
Mgat4a,0.41666666666666663,0.9304066753867413,non_monotonic,False
Tsga10,0.03333333333333333,0.9165878677157709,non_monotonic,False
Lipt1,0.33333333333333337,0.31657494350031734,non_monotonic,False
Mitd1,0.21666666666666667,1.6506898544213187,non_monotonic,False
Mrpl30,-0.33333333333333337,0.35377107303921296,non_monotonic,False
Txndc9,0.016666666666666666,0.7754364638473086,non_monotonic,False
Eif5b,0.09999999999999999,1.4876413265083968,non_monotonic,False
Rev1,0.049999999999999996,0.6619276484083687,non_monotonic,False
Pdcl3,0.03333333333333333,0.7676786593120668,non_monotonic,False
Npas2,-0.5166666666666667,1.5820442894186137,non_monotonic,False
Rpl31,-0.016666666666666666,0.9755880639799202,non_monotonic,False
Tbc1d8,0.21666666666666667,1.1743559768000762,non_monotonic,False
Cnot11,0.18333333333333335,0.2737017681354974,non_monotonic,False
Gm15832,-0.25,0.5862211615023196,non_monotonic,False
Snord89,-0.016666666666666666,1.1697747516547192,non_monotonic,False
Rnf149,0.35,0.28004213366177577,non_monotonic,False
Map4k4,0.21666666666666667,1.3297296027327463,non_monotonic,False
Il1r2,-0.2833333333333333,2.480568133806085,non_monotonic,False
Il1r1,0.18333333333333335,1.1584997925739036,non_monotonic,False
Il1rl2,0.5833333333333334,1.6324451396074562,non_monotonic,False
Il1rl1,0.8666666666666667,0.9643193111236433,monotonic_up,True
Il18r1,0.8333333333333333,1.4404210440514664,monotonic_up,True
Il18rap,0.6833333333333333,0.995349473423816,non_monotonic,False
Slc9a4,0.3,0.6709462377476414,non_monotonic,False
Slc9a2,0.33333333333333337,0.8057736437688412,non_monotonic,False
Mfsd9,0.6166666666666666,0.6673111676394643,non_monotonic,False
Pantr1,0.21666666666666667,1.2923171440574521,non_monotonic,False
Pou3f3,0.7166666666666667,1.481156656440441,monotonic_up,True
Pantr2,0.5,1.3220164131300893,non_monotonic,False
Mrps9,0.16666666666666669,0.4708022477430349,non_monotonic,False
Tgfbrap1,0.08333333333333334,0.5769745185018835,non_monotonic,False
AI597479,0.38333333333333336,1.1024289159234695,non_monotonic,False
Fhl2,0.38333333333333336,1.2097437707368868,non_monotonic,False
