,cat_natural_ctx_rna,cat_natural_med_rna,mouse_podtreck_rna,mouse_iri_late_rna
cat_natural_ctx_rna,1.0,0.7599131130936686,0.49716802951214456,0.46527946535751696
cat_natural_med_rna,0.7599131130936686,1.0,0.398784242569468,0.5611527905528992
mouse_podtreck_rna,0.49716802951214456,0.398784242569468,1.0,0.5953467894940082
mouse_iri_late_rna,0.46527946535751696,0.5611527905528992,0.5953467894940082,1.0
