nh	cos_to_human	reliability	species
IRI_12mo	0.3091	0.8974	mouse
IRI_14d	0.3182	0.9429	mouse
IRI_24h	0.4567	0.973	mouse
IRI_28d	0.3938	0.9428	mouse
IRI_2h	0.0403	0.8076	mouse
IRI_48h	0.3962	0.9629	mouse
IRI_4h	0.2414	0.8745	mouse
IRI_72h	0.4104	0.8972	mouse
IRI_7d	0.4119	0.9759	mouse
cat_CKD12	0.4502	0.7243	cat
cat_CKD34	0.5024	0.9135	cat
cat_med_CKD12	0.4636	0.9194	cat
cat_med_CKD34	0.4606	0.7621	cat
mouse_2W	0.4401	0.9928	mouse
mouse_3W	0.4189	0.9517	mouse
mouse_5D	0.3418	0.9475	mouse
