collection	pathway	n_genes	IRI_12mo	IRI_14d	IRI_24h	IRI_28d	IRI_2h	IRI_48h	IRI_4h	IRI_72h	IRI_7d	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_2W	mouse_3W	mouse_5D
GO_BP	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	48	0.671	0.6233	0.5973	0.6387	0.1037	0.6981	0.3996	0.7196	0.7097	0.9736	1.0	0.819	0.9558	0.6783	0.7137	0.7563
GO_BP	Positive Regulation Of Programmed Cell Death (GO:0043068)	36	0.6873	0.7143	0.7013	0.6954	0.4338	0.7367	0.1682	0.7655	0.7244	0.9239	1.0	0.885	0.864	0.676	0.6943	0.5667
GO_BP	Positive Regulation Of Protein Metabolic Process (GO:0051247)	45	0.4808	0.474	0.3505	0.4583	0.1628	0.4885	0.1352	0.55	0.5833	0.9493	1.0	0.7972	0.931	0.545	0.5819	0.5415
GO_BP	Positive Regulation Of Protein Modification Process (GO:0031401)	30	0.5703	0.3973	0.4603	0.4943	0.1282	0.6402	0.0481	0.6645	0.5504	0.925	1.0	0.8328	0.7618	0.3947	0.5168	0.2401
GO_BP	Positive Regulation Of Protein Phosphorylation (GO:0001934)	45	0.3778	0.3976	0.0535	0.3398	0.0053	0.2641	-0.0996	0.345	0.4204	0.9394	1.0	0.7512	0.9157	0.4394	0.4379	0.3782
GO_BP	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	70	0.6762	0.4165	0.4321	0.6693	-0.0592	0.5861	0.2549	0.6345	0.5854	0.9029	1.0	0.7523	0.7629	0.5761	0.5762	0.4058
GO_BP	Positive Regulation Of Translation (GO:0045727)	33	0.7512	0.5923	0.5537	0.7442	0.3966	0.658	0.6154	0.704	0.6378	0.8895	1.0	0.8693	0.7638	0.5485	0.5583	0.4351
GO_BP	Proteasomal Protein Catabolic Process (GO:0010498)	45	-0.0064	0.5231	-0.2639	0.3723	0.4233	-0.1525	-0.0829	0.0355	0.0342	0.8651	1.0	0.6041	0.3323	-0.2074	-0.2645	-0.4161
GO_BP	Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	57	0.0237	0.2271	-0.3268	0.1665	0.3066	-0.0816	0.0506	0.0411	-0.0495	0.8563	1.0	0.6471	0.4547	-0.2925	-0.2674	-0.4275
GO_BP	Protein Homooligomerization (GO:0051260)	35	0.4212	0.5033	0.5275	0.4477	0.2867	0.4076	0.4313	0.5246	0.5358	0.8862	1.0	0.8644	0.933	0.6064	0.6262	0.4616
GO_BP	Protein Localization (GO:0008104)	88	0.5004	0.429	0.2691	0.4118	0.3117	0.4531	0.2878	0.53	0.4774	0.92	1.0	0.8295	0.8144	0.2258	0.2919	0.0821
GO_BP	Protein Localization To Cell Periphery (GO:1990778)	30	0.7491	0.5609	0.5336	0.5411	0.1665	0.553	0.2027	0.566	0.691	0.9251	1.0	0.7567	0.7762	0.5254	0.5565	0.4483
GO_BP	Protein Localization To Membrane (GO:0072657)	45	0.5019	0.4496	0.5125	0.4275	0.2447	0.5273	0.2614	0.5108	0.5227	0.9212	1.0	0.74	0.7743	0.4785	0.5079	0.4118
GO_BP	Protein Localization To Organelle (GO:0033365)	32	0.846	0.7786	0.6717	0.8322	0.4299	0.684	0.34	0.7101	0.8092	0.9667	1.0	0.8464	0.9196	0.7111	0.7208	0.5431
GO_BP	Protein Modification By Small Protein Conjugation (GO:0032446)	43	0.7168	0.4934	0.2425	0.5799	0.267	0.2046	0.0157	0.1152	0.5317	0.9355	1.0	0.8916	0.771	0.3028	0.1842	0.176
GO_BP	Protein Modification Process (GO:0036211)	86	0.6671	0.7007	0.585	0.7395	0.4114	0.6335	0.4144	0.6638	0.7097	0.901	1.0	0.8227	0.792	0.6563	0.6072	0.5747
GO_BP	Protein Phosphorylation (GO:0006468)	42	0.5358	0.4297	0.4313	0.472	0.1824	0.5945	0.2181	0.6056	0.4537	0.8946	1.0	0.475	0.6967	0.3881	0.3364	0.4408
GO_BP	Protein Stabilization (GO:0050821)	59	0.5365	0.5608	0.5665	0.5229	0.2844	0.5898	0.0898	0.6006	0.5649	0.9008	1.0	0.8413	0.8516	0.4618	0.5409	0.2609
GO_BP	Protein Transport (GO:0015031)	85	0.738	0.6041	0.7049	0.6931	0.2605	0.7551	0.3664	0.7766	0.7515	0.897	1.0	0.6148	0.853	0.5904	0.6894	0.4896
GO_BP	Protein Ubiquitination (GO:0016567)	32	0.7546	0.3895	0.1121	0.5448	0.1498	-0.0022	0.0152	-0.1569	0.4106	0.9454	1.0	0.8667	0.7668	0.2956	0.1811	0.1975
GO_BP	Protein-Containing Complex Assembly (GO:0065003)	74	0.7858	0.7054	0.5643	0.7071	0.21	0.6501	0.1131	0.713	0.7168	0.9051	1.0	0.6613	0.8915	0.65	0.6752	0.4854
GO_BP	Proteolysis (GO:0006508)	53	0.4884	0.458	0.5155	0.4077	0.2038	0.5136	0.3626	0.5286	0.4678	0.9201	1.0	0.7939	0.8112	0.4351	0.4778	0.2843
GO_BP	Proton Motive Force-Driven ATP Synthesis (GO:0015986)	32	-0.4218	0.8343	0.9464	0.953	0.1914	0.3462	0.6907	0.8599	0.9081	0.9588	1.0	0.9829	0.9106	0.9501	0.5492	0.6594
GO_BP	Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	32	-0.4218	0.8343	0.9464	0.953	0.1914	0.3462	0.6907	0.8599	0.9081	0.9588	1.0	0.9829	0.9106	0.9501	0.5492	0.6594
GO_BP	RNA Processing (GO:0006396)	48	0.3027	0.2019	0.251	0.2272	0.0916	0.358	0.1177	0.3425	0.2519	0.7841	1.0	0.4879	0.5452	0.1554	0.2352	0.2123
GO_BP	RNA Splicing (GO:0008380)	30	0.3923	0.3489	0.5123	0.3525	0.1264	0.5749	0.3015	0.5895	0.5282	0.8267	1.0	0.6088	0.5371	0.35	0.4503	0.3981
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	0.3117	0.0942	0.2776	0.0102	-0.1866	0.3647	-0.1237	0.3314	0.2707	0.7801	1.0	0.4973	0.6522	0.2378	0.3074	0.3124
GO_BP	Receptor-Mediated Endocytosis (GO:0006898)	38	0.7379	0.6184	0.5474	0.6179	0.3786	0.6668	0.5024	0.6561	0.6016	0.9551	1.0	0.8105	0.8588	0.5211	0.6161	0.1849
GO_BP	Regulation Of Angiogenesis (GO:0045765)	35	0.681	0.5348	0.5445	0.5407	0.0186	0.5362	0.0534	0.5307	0.5288	0.9189	1.0	0.6055	0.5965	0.4962	0.4969	0.4907
GO_BP	Regulation Of Apoptotic Process (GO:0042981)	131	0.4307	0.5296	0.4332	0.4752	0.2022	0.4875	0.1182	0.5097	0.5205	0.9324	1.0	0.7832	0.8936	0.4535	0.4202	0.369
GO_BP	Regulation Of Autophagy (GO:0010506)	47	0.4805	0.2811	0.1116	0.2134	-0.0968	0.1687	-0.0967	0.2391	0.1732	0.9538	1.0	0.7926	0.7389	0.1134	0.117	0.1187
GO_BP	Regulation Of Cell Migration (GO:0030334)	70	0.7271	0.6645	0.6874	0.6816	0.3202	0.7696	0.4148	0.7555	0.7275	0.9247	1.0	0.7585	0.822	0.6614	0.7049	0.6033
GO_BP	Regulation Of Cell Population Proliferation (GO:0042127)	84	0.5083	0.5344	0.4151	0.4994	0.3175	0.4843	0.2648	0.5373	0.5586	0.9016	1.0	0.7146	0.8859	0.548	0.5434	0.4924
GO_BP	Regulation Of Cytoskeleton Organization (GO:0051493)	31	0.741	0.6588	0.5765	0.7253	0.2979	0.686	0.3768	0.6686	0.6904	0.9516	1.0	0.7086	0.8108	0.5754	0.5872	0.4819
GO_BP	Regulation Of DNA-templated Transcription (GO:0006355)	126	0.5997	0.5418	0.5145	0.5633	0.091	0.6093	0.2738	0.6409	0.6285	0.94	1.0	0.7067	0.8916	0.5707	0.5911	0.6256
GO_BP	Regulation Of GTPase Activity (GO:0043087)	31	0.2815	0.4737	0.511	0.2827	0.4494	0.547	0.3234	0.503	0.407	0.9205	1.0	0.7864	0.7755	0.4335	0.4331	0.445
GO_BP	Regulation Of Gene Expression (GO:0010468)	116	0.6721	0.6288	0.5298	0.6758	0.3743	0.5838	0.4622	0.6279	0.6308	0.9201	1.0	0.6867	0.8125	0.5585	0.5373	0.4124
GO_BP	Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	32	0.7035	0.5199	0.3881	0.5093	-0.0462	0.4841	-0.151	0.4318	0.4144	0.9358	1.0	0.8935	0.8581	0.438	0.4055	0.394
GO_BP	Regulation Of Macroautophagy (GO:0016241)	30	0.5985	0.5224	0.3265	0.536	0.337	0.417	0.4126	0.5346	0.476	0.9501	1.0	0.8581	0.6937	0.3013	0.314	0.156
GO_BP	Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)	33	0.5958	0.5003	0.1848	0.6301	-0.0026	0.256	0.3318	0.3713	0.4287	0.9363	1.0	0.791	0.7799	0.4549	0.355	0.4122
GO_BP	Regulation Of Organelle Organization (GO:0033043)	31	0.6076	0.4855	0.564	0.4942	0.1974	0.6814	0.5291	0.6392	0.6928	0.9626	1.0	0.7544	0.8087	0.4131	0.493	0.2833
GO_BP	Regulation Of Programmed Cell Death (GO:0043067)	40	0.5102	0.5601	0.4452	0.4209	0.3357	0.5404	0.1013	0.5755	0.5997	0.9448	1.0	0.8259	0.949	0.5819	0.6168	0.5663
GO_BP	Regulation Of Protein Catabolic Process (GO:0042176)	32	0.4638	0.6404	0.3104	0.6107	0.2444	0.3147	-0.1199	0.3458	0.4635	0.8849	1.0	0.8222	0.7019	0.3185	0.2715	0.0728
GO_BP	Regulation Of Protein Phosphorylation (GO:0001932)	36	0.6704	0.5701	0.3602	0.5408	0.1016	0.4566	-0.0165	0.4347	0.4789	0.9534	1.0	0.7515	0.8066	0.3692	0.321	0.3087
GO_BP	Regulation Of Translation (GO:0006417)	63	0.5272	0.2671	0.2563	0.3416	-0.0806	0.2757	-0.0521	0.2965	0.2824	0.8778	1.0	0.8901	0.7708	0.2426	0.2678	0.1981
GO_BP	Supramolecular Fiber Organization (GO:0097435)	60	0.8257	0.7941	0.6984	0.7936	0.3319	0.7865	0.4794	0.8157	0.8146	0.9362	1.0	0.7636	0.8631	0.762	0.7866	0.6168
GO_BP	Translation (GO:0006412)	93	0.5048	0.5159	0.4346	0.5823	0.2118	0.4883	0.2974	0.5204	0.4789	0.8509	1.0	0.6782	0.6586	0.4492	0.4428	0.3244
GO_BP	Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	61	0.3847	0.4146	0.159	0.5207	0.303	0.331	0.2397	0.3371	0.428	0.8649	1.0	0.6991	0.3933	0.0136	-0.0511	-0.1175
GO_BP	Vesicle-Mediated Transport (GO:0016192)	83	0.545	0.3382	0.3347	0.2508	0.2926	0.4905	0.5032	0.4885	0.4062	0.9384	1.0	0.7612	0.8081	0.2121	0.3134	0.2005
GO_BP	mRNA Processing (GO:0006397)	61	0.3435	0.1852	0.3798	0.1517	-0.1232	0.457	0.0	0.4288	0.3641	0.7974	1.0	0.5555	0.6207	0.3151	0.3775	0.3535
GO_BP	mRNA Splicing, Via Spliceosome (GO:0000398)	61	0.3301	0.1797	0.2501	0.0495	-0.0427	0.3553	-0.0833	0.3349	0.249	0.7859	1.0	0.5374	0.6419	0.2004	0.2795	0.2289
GO_BP	protein-RNA Complex Assembly (GO:0022618)	45	0.3147	0.5616	0.154	0.3219	0.0815	0.2574	-0.493	0.2359	0.2388	0.822	1.0	0.6493	0.5427	0.0901	0.1279	-0.0312
Hallmark	Adipogenesis	86	0.2513	0.5683	0.6333	0.5971	0.4189	0.4701	0.5372	0.6255	0.6263	0.8995	1.0	0.9328	0.886	0.6611	0.5792	0.3956
Hallmark	Apical Junction	44	0.601	0.5862	0.7286	0.572	0.4554	0.6794	0.6287	0.6909	0.6264	0.9307	1.0	0.8738	0.8889	0.6499	0.6622	0.6561
Hallmark	Apoptosis	40	0.6907	0.6462	0.6207	0.6878	0.031	0.632	0.1543	0.6467	0.6799	0.9312	1.0	0.7825	0.8623	0.6724	0.6615	0.5361
Hallmark	Bile Acid Metabolism	39	-0.232	0.444	0.6252	0.3135	0.3781	0.3222	0.42	0.3399	0.4034	0.8898	1.0	0.9123	0.9151	0.4361	0.4348	0.099
Hallmark	Coagulation	37	0.7663	0.7566	0.7717	0.6094	0.3869	0.7356	0.4664	0.7648	0.7411	0.8799	1.0	0.6199	0.8984	0.7339	0.6715	0.4561
Hallmark	Complement	40	0.7484	0.7574	0.6314	0.7535	0.5124	0.6493	0.5753	0.6831	0.7318	0.9238	1.0	0.7873	0.8743	0.7186	0.6874	0.5504
Hallmark	DNA Repair	36	0.4396	0.4456	0.0756	0.5713	0.0408	0.1207	0.108	0.1569	0.3324	0.9028	1.0	0.652	0.7544	0.2677	0.1613	0.0789
Hallmark	E2F Targets	40	0.6522	0.2373	0.3884	0.5176	-0.0039	0.5247	0.2707	0.5611	0.5339	0.9372	1.0	0.8173	0.7981	0.3808	0.4192	0.4867
Hallmark	Epithelial Mesenchymal Transition	49	0.6588	0.7328	0.8174	0.7542	0.4316	0.8456	0.5672	0.8616	0.8083	0.9644	1.0	0.8419	0.8377	0.7915	0.7879	0.7378
Hallmark	Estrogen Response Late	33	0.3201	0.1955	0.3961	0.3997	-0.3201	0.42	-0.1158	0.5112	0.374	0.8619	1.0	0.707	0.8163	0.5158	0.4926	0.5797
Hallmark	Fatty Acid Metabolism	93	0.2555	0.5937	0.5622	0.6212	0.481	0.366	0.3306	0.4993	0.5911	0.9344	1.0	0.9123	0.9248	0.489	0.3752	0.2261
Hallmark	G2-M Checkpoint	34	0.2373	0.0927	0.0566	0.0462	-0.1165	0.1743	-0.2987	0.1314	0.0981	0.6977	1.0	0.7058	0.4519	0.0357	0.0764	0.1262
Hallmark	Glycolysis	67	0.3643	0.4924	0.5495	0.533	0.2023	0.4422	0.3652	0.5753	0.5068	0.9318	1.0	0.9005	0.8894	0.6618	0.5677	0.4386
Hallmark	Hypoxia	53	0.587	0.6306	0.6245	0.6729	0.1209	0.586	0.3027	0.5994	0.6333	0.8936	1.0	0.6977	0.7997	0.7099	0.6553	0.4395
Hallmark	IL-2/STAT5 Signaling	33	0.7632	0.7554	0.7892	0.7923	0.1227	0.7752	0.4664	0.7574	0.8033	0.9536	1.0	0.8602	0.9191	0.7639	0.7461	0.6142
Hallmark	Mitotic Spindle	45	0.7136	0.5816	0.4333	0.5626	0.4218	0.5738	0.4661	0.5479	0.5813	0.9249	1.0	0.7988	0.6987	0.4504	0.4469	0.2483
