collection	pathway	n_genes	IRI_12mo	IRI_14d	IRI_24h	IRI_28d	IRI_2h	IRI_48h	IRI_4h	IRI_72h	IRI_7d	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_2W	mouse_3W	mouse_5D
KEGG	PI3K-Akt signaling pathway	52	0.7994	0.7582	0.7716	0.8037	0.4427	0.8302	0.4091	0.8264	0.8072	0.9631	1.0	0.6627	0.874	0.7173	0.7183	0.6949
KEGG	Parkinson disease	100	0.3169	0.6593	0.6906	0.8085	0.2706	0.5213	0.488	0.7169	0.715	0.9486	1.0	0.7918	0.8092	0.6496	0.4764	0.4462
KEGG	Pathogenic Escherichia coli infection	54	0.8673	0.7743	0.6554	0.8278	0.27	0.7282	0.49	0.7737	0.8496	0.936	1.0	0.8349	0.7888	0.7306	0.7465	0.6905
KEGG	Pathways in cancer	61	0.4654	0.547	0.2319	0.5278	0.247	0.3185	0.0755	0.4234	0.5614	0.9276	1.0	0.7049	0.8396	0.502	0.4198	0.4835
KEGG	Pathways of neurodegeneration	131	0.2374	0.6035	0.6476	0.7206	0.2413	0.4838	0.4325	0.6338	0.6168	0.9384	1.0	0.7827	0.7804	0.5742	0.4257	0.3909
KEGG	Peroxisome	42	0.3548	0.6249	0.5956	0.4405	0.5481	0.4624	0.6091	0.55	0.5312	0.9308	1.0	0.8015	0.8732	0.5234	0.4814	0.2932
KEGG	Phagosome	44	0.7807	0.7928	0.6762	0.7822	0.4141	0.7067	0.5205	0.7639	0.786	0.9469	1.0	0.8257	0.84	0.6708	0.6668	0.5272
KEGG	Prion disease	99	0.5191	0.7137	0.7045	0.8348	0.1547	0.571	0.303	0.7978	0.7676	0.9491	1.0	0.8696	0.8548	0.7559	0.617	0.5112
KEGG	Propanoate metabolism	30	0.7277	0.717	0.879	0.8044	0.572	0.812	0.7131	0.8122	0.8256	0.952	1.0	0.9217	0.9504	0.8199	0.8403	0.6385
KEGG	Proteasome	32	0.3184	0.582	-0.1231	0.7449	0.3234	0.0312	-0.2202	0.3077	0.5251	0.9188	1.0	0.8822	0.4864	0.1991	0.0935	-0.1414
KEGG	Protein processing in endoplasmic reticulum	59	0.4233	0.3535	0.3723	0.3479	-0.0469	0.4784	-0.1493	0.451	0.3734	0.8552	1.0	0.6468	0.6993	0.2778	0.3331	0.1126
KEGG	Proteoglycans in cancer	47	0.8883	0.8633	0.6629	0.8902	0.4683	0.7741	0.4873	0.8111	0.87	0.9393	1.0	0.8357	0.7677	0.7618	0.7457	0.6956
KEGG	Purine metabolism	32	0.2008	0.1799	0.2475	0.264	0.1651	0.34	0.2951	0.3531	0.3246	0.8743	1.0	0.536	0.7937	0.3833	0.3606	0.2844
KEGG	Pyruvate metabolism	33	0.3219	0.3914	0.6093	0.4532	0.4926	0.4982	0.6306	0.5103	0.4559	0.9171	1.0	0.7308	0.9015	0.4888	0.4974	0.3671
KEGG	RNA transport	46	0.4452	0.3295	0.2709	0.1891	0.1812	0.3832	0.1412	0.3296	0.3301	0.8989	1.0	0.5902	0.6786	0.1943	0.2259	0.227
KEGG	Rap1 signaling pathway	31	0.8435	0.7715	0.863	0.8084	0.459	0.867	0.5601	0.8584	0.851	0.8462	1.0	0.7606	0.8099	0.773	0.786	0.7207
KEGG	Regulation of actin cytoskeleton	62	0.767	0.7794	0.5949	0.7607	0.4629	0.6498	0.4153	0.6964	0.7722	0.8832	1.0	0.7617	0.5903	0.6413	0.631	0.5563
KEGG	Retrograde endocannabinoid signaling	40	-0.1626	0.597	0.7726	0.7722	-0.0283	0.2683	0.1802	0.6036	0.5971	0.9471	1.0	0.9651	0.9186	0.644	0.3697	0.2404
KEGG	Ribosome	66	0.6226	0.6871	0.6238	0.6291	0.2347	0.6036	0.3597	0.625	0.6204	0.9019	1.0	0.6146	0.7598	0.5925	0.5637	0.5076
KEGG	Salmonella infection	79	0.7475	0.6386	0.6511	0.7343	0.1999	0.7031	0.3805	0.7458	0.7803	0.9395	1.0	0.8213	0.791	0.6553	0.6877	0.6543
KEGG	Shigellosis	51	0.7671	0.6471	0.6218	0.766	-0.0276	0.6139	0.5017	0.6769	0.7723	0.9196	1.0	0.8436	0.8475	0.7112	0.6721	0.6295
KEGG	Spinocerebellar ataxia	44	0.0205	0.3497	-0.0053	0.5055	0.3752	-0.1742	0.4814	0.2706	0.2887	0.8983	1.0	0.5405	0.3705	0.0026	-0.0788	-0.0353
KEGG	Spliceosome	52	0.2569	-0.0365	0.3209	-0.1038	-0.2712	0.395	-0.1029	0.3569	0.2085	0.8184	1.0	0.3192	0.6533	0.1942	0.2659	0.302
KEGG	Thermogenesis	60	-0.1069	0.6526	0.6485	0.7645	0.2911	0.2071	0.5102	0.4233	0.5695	0.929	1.0	0.9008	0.9016	0.5079	0.243	-0.0794
KEGG	Tight junction	47	0.7134	0.6016	0.5175	0.6711	0.0912	0.5428	0.318	0.6108	0.7032	0.916	1.0	0.8184	0.818	0.5774	0.5564	0.4657
KEGG	Valine, leucine and isoleucine degradation	37	0.6812	0.7605	0.9076	0.8448	0.6249	0.8314	0.6613	0.8352	0.8751	0.9701	1.0	0.9252	0.9442	0.8893	0.8766	0.6065
KEGG	Viral carcinogenesis	36	0.8216	0.5542	0.6386	0.7196	0.0126	0.698	0.3018	0.7299	0.6733	0.9467	1.0	0.8717	0.7345	0.6557	0.6902	0.5452
KEGG	Yersinia infection	34	0.8718	0.8059	0.6821	0.8332	0.4491	0.7749	0.509	0.824	0.8502	0.894	1.0	0.6646	0.6429	0.7298	0.7106	0.6844
