restriction	n_pairs	n_within	n_cross	pathway_auc_median	pathway_auc_q25	pathway_auc_q75	pathway_frac_ge_090	aggregated_auc	within_med_agg	cross_med_agg
all pairs (旧版と同じ制限なし)	120	72	48	0.7546	0.6999	0.8166	0.0622	0.5408	0.8878	0.8818
exclude shared controls	87	39	48	0.7885	0.7329	0.8392	0.0674	0.5112	0.8688	0.8818
exclude shared cohort	83	35	48	0.7655	0.7131	0.8208	0.0466	0.4815	0.8558	0.8818
