collection	pathway	n_genes	state	cos	ceiling	gap_to_ceiling	random_lo95	random_hi95	above_random
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	mouse_5D	-0.103	0.8787	0.9818	-0.0554	0.6564	False
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	mouse_2W	-0.1496	0.9205	1.0701	0.2149	0.7213	False
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	mouse_3W	-0.0782	0.8662	0.9444	0.1529	0.7198	False
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	IRI_2h	0.0981	0.8554	0.7573	-0.1588	0.47	False
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	IRI_4h	0.322	0.8653	0.5433	-0.0217	0.6035	False
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	IRI_24h	0.0002	0.9086	0.9084	0.2369	0.7239	False
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	IRI_48h	-0.0308	0.8524	0.8832	0.2149	0.7277	False
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	IRI_72h	0.0048	0.7789	0.7741	0.2557	0.7616	False
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	IRI_7d	0.0829	0.8984	0.8154	0.1777	0.7544	False
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	IRI_14d	0.0968	0.8721	0.7753	0.108	0.6979	False
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	IRI_28d	0.0576	0.837	0.7794	0.0395	0.746	False
GO_BP	Golgi Vesicle Transport (GO:0048193)	57	IRI_12mo	0.41	0.7898	0.3798	-0.0007	0.7354	False
GO_BP	RNA Processing (GO:0006396)	48	cat_CKD12	0.7841	0.4965	-0.2876	0.7683	0.9607	False
GO_BP	RNA Processing (GO:0006396)	48	cat_CKD34	1.0	0.6707	-0.3293	1.0	1.0	False
GO_BP	RNA Processing (GO:0006396)	48	cat_med_CKD12	0.4879	0.527	0.0391	0.6132	0.9292	False
GO_BP	RNA Processing (GO:0006396)	48	cat_med_CKD34	0.5452	0.6275	0.0823	0.7046	0.9424	False
GO_BP	RNA Processing (GO:0006396)	48	mouse_5D	0.2123	0.7955	0.5832	-0.0554	0.6564	False
GO_BP	RNA Processing (GO:0006396)	48	mouse_2W	0.1554	0.8156	0.6603	0.2149	0.7213	False
GO_BP	RNA Processing (GO:0006396)	48	mouse_3W	0.2352	0.7904	0.5552	0.1529	0.7198	False
GO_BP	RNA Processing (GO:0006396)	48	IRI_2h	0.0916	0.6741	0.5825	-0.1588	0.47	False
GO_BP	RNA Processing (GO:0006396)	48	IRI_4h	0.1177	0.7555	0.6378	-0.0217	0.6035	False
GO_BP	RNA Processing (GO:0006396)	48	IRI_24h	0.251	0.81	0.559	0.2369	0.7239	False
GO_BP	RNA Processing (GO:0006396)	48	IRI_48h	0.358	0.7802	0.4222	0.2149	0.7277	False
GO_BP	RNA Processing (GO:0006396)	48	IRI_72h	0.3425	0.7025	0.36	0.2557	0.7616	False
GO_BP	RNA Processing (GO:0006396)	48	IRI_7d	0.2519	0.8037	0.5518	0.1777	0.7544	False
