groupA_gene	groupB_gene	groupA_expr_rank	groupB_expr_rank
TUBB2B	LDLRAD4	0.34534	0.345278
PDIA5	TRIM23	0.346066	0.346053
FSCN1	PTPRM	0.346511	0.346495
AIMP2	MANEA	0.347019	0.347036
COL6A2	GSE1	0.347133	0.347124
CD93	MGAT5	0.348573	0.348541
LMNB2	LBHD1	0.349468	0.34943
TCERG1	DDN	0.350683	0.35068
PIP4K2A	TGDS	0.351786	0.351896
RNMT	TESK2	0.352809	0.352767
PEX14	RND3	0.353289	0.353297
AOC1	ELF2	0.354936	0.355003
NANS	MAPKAPK3	0.356156	0.356335
RCN1	NAGPA	0.357184	0.3572
ENDOD1	MYO9A	0.361818	0.361783
THOP1	BRPF1	0.363599	0.363584
ALYREF	TBCCD1	0.364596	0.364577
SNTB2	LGALSL	0.36651	0.366431
FHL2	MGA	0.367676	0.367691
HSPB6	COMMD10	0.368659	0.368564
FAM3C	PTCH1	0.368762	0.368977
PHYKPL	ISG20L2	0.369237	0.369233
LCP1	SLC4A1AP	0.369613	0.369595
HMGB2	IFT140	0.37054	0.370607
ICAM1	ADPGK	0.370551	0.370421
FBXO4	HPS4	0.37059	0.370405
MRC2	ZBTB41	0.372356	0.3724
NUDT16	ZMYM4	0.373165	0.373145
CFI	POLR3A	0.37629	0.37627
TBC1D5	TRIM33	0.376993	0.376827
RCC1	ABTB2	0.37826	0.378251
APPL1	PLSCR4	0.378819	0.378835
RMDN1	NOC4L	0.378911	0.37895
FDXR	ITIH5	0.379134	0.379175
SNRPA1	STAT5A	0.38128	0.381319
DPM1	RHBDD1	0.382042	0.382021
IGFBP2	CEP63	0.382347	0.382441
NAA15	MNT	0.386556	0.386469
ESYT1	BCL6	0.38713	0.387278
DENND6A	HSDL1	0.387945	0.387906
NMNAT3	PRMT2	0.388074	0.388084
FN1	IPP	0.388192	0.388214
PM20D2	OCIAD2	0.388622	0.388649
PSMD9	BMPR2	0.38957	0.389427
DYSF	PLCB1	0.390614	0.390713
LPCAT1	TLCD2	0.390842	0.39101
MECP2	SPTY2D1	0.392538	0.392516
ARFIP1	STAP2	0.394137	0.394143
IBA57	ARMC8	0.395329	0.395223
RGN	SNX15	0.396334	0.396362
KYNU	TCF3	0.398893	0.398872
UPP1	SMARCD1	0.40004	0.40004
NAE1	DOCK6	0.400118	0.400142
HNRNPLL	DCUN1D1	0.400602	0.400598
PALM3	DLC1	0.400788	0.400767
COX17	TMEM18	0.400833	0.40074
NASP	RNF169	0.400902	0.400959
SWAP70	AP4B1	0.401462	0.401482
NFKB1	NBL1	0.402102	0.402028
PSPH	RIPK1	0.402127	0.402178
AFAP1L2	WDFY2	0.403122	0.403175
PROS1	ZCCHC17	0.404365	0.404331
ACACA	CCNT2	0.40505	0.405123
NUDT5	ISY1	0.405536	0.405591
MRPL48	DIP2A	0.405625	0.405743
ACSS3	PROB1	0.405883	0.405893
PLXNA1	DNLZ	0.408806	0.408832
AKAP12	RSL24D1	0.40898	0.408985
ANXA3	SLC9A2	0.409131	0.409201
STAM	TRPS1	0.410775	0.410794
PPP1R7	WDR37	0.411276	0.411247
SPON1	ZNF219	0.411828	0.411628
UFL1	A4GALT	0.411976	0.412136
SIRT5	TRMT10C	0.414216	0.414209
COL14A1	FZD6	0.416459	0.416452
COQ7	GGPS1	0.418184	0.418415
SFXN3	EPC1	0.418884	0.418885
C7	UHRF2	0.42052	0.420441
PRKCA	PDE3B	0.42167	0.421582
CYP20A1	TFAP2B	0.421785	0.421976
NUDT21	FBXL4	0.421849	0.422036
MAOB	RAB25	0.424701	0.424736
COL1A1	WDR77	0.424726	0.424571
PPM1K	PYURF	0.424872	0.425071
UMPS	KPTN	0.425594	0.425566
GMDS	KBTBD2	0.425967	0.426038
LGALS9	KHNYN	0.426127	0.42605
NHLRC2	HERC1	0.426945	0.426921
MCU	IL17RC	0.427398	0.427422
ANXA1	IFT88	0.427594	0.42757
CHID1	B3GALNT2	0.429111	0.42902
RAB3GAP2	CHCHD7	0.429178	0.429229
MRPL1	ARMC9	0.429445	0.429464
RBP1	ORC2	0.429555	0.429527
CCDC51	PDCL	0.432883	0.43278
MYOF	JAG1	0.434968	0.434932
SRPRB	C8G	0.434992	0.43516
DBN1	HFE	0.435251	0.435229
TPP2	MLXIP	0.435375	0.435355
ANXA13	VKORC1L1	0.435902	0.435911
XPNPEP2	CXADR	0.436163	0.436096
PFAS	CASP9	0.436524	0.436556
KCTD12	MOB2	0.436579	0.436557
VPS13A	NRIP1	0.43731	0.437357
SPRYD4	PLEKHM1	0.438183	0.438151
AGPAT5	PWP1	0.438561	0.438585
SLC25A22	SLC16A14	0.438868	0.438862
GADD45GIP1	PPIE	0.439065	0.439083
SSBP1	SLC10A3	0.439733	0.439719
EHD2	SRF	0.441915	0.441915
FARSA	EXOSC4	0.442166	0.442116
MMAB	WDR46	0.442737	0.442745
PRPF31	ORAI1	0.443629	0.443601
LRP1	MTERF3	0.443702	0.443729
HNRNPR	IFT43	0.44372	0.443825
HTRA2	SLC50A1	0.444265	0.444251
PEX11G	FAM13B	0.444523	0.444582
PPID	CGN	0.444871	0.44492
RCC2	DOT1L	0.44549	0.445551
MYH11	MARVELD3	0.446626	0.446611
CBR4	PPHLN1	0.447491	0.447484
RUVBL2	FBXL17	0.448123	0.448076
FN3KRP	MEGF9	0.449258	0.449111
L3HYPDH	R3HCC1	0.449527	0.44951
NUDT7	HARS2	0.449907	0.449857
EXOC5	SENP5	0.4505	0.450666
PREP	FNBP1	0.450645	0.450758
NLRX1	NFKB2	0.45131	0.451276
PRKAA1	COG5	0.451737	0.451681
STOM	TRIM32	0.451945	0.451859
PPP1R8	HDHD3	0.452829	0.452832
ENAH	CIZ1	0.453731	0.453729
EMC1	BACH1	0.454579	0.454598
CFD	PUS1	0.454699	0.454598
NAPG	SLC52A3	0.454722	0.454924
GMPR2	SULF2	0.456275	0.456173
ME3	ZFYVE9	0.456612	0.4566
COQ3	PROM1	0.456645	0.456659
TPM2	HOXA5	0.457215	0.457202
STK39	AP1G2	0.462508	0.462566
FDPS	PPM1M	0.463712	0.463791
RCN2	B9D1	0.464203	0.464185
