groupA_gene	groupB_gene	groupA_expr_rank	groupB_expr_rank
ANP32E	ATG12	0.644393	0.644354
METAP1	APOA2	0.644494	0.644608
BDH2	POLR2J	0.645281	0.645326
SLC25A12	DNAJC15	0.645588	0.645726
PURB	UBE3C	0.646162	0.646024
PCMT1	TVP23B	0.646369	0.64654
GMPPA	IRF2BPL	0.646945	0.646931
CBX3	DHDDS	0.647808	0.647787
VAMP3	SAP30	0.648156	0.64811
DCN	PIK3R2	0.648581	0.648624
GBE1	CHCHD6	0.648899	0.648932
PPIF	UBE2Q2	0.650035	0.650042
RALA	PKHD1	0.650492	0.650322
EIF2A	FAM32A	0.650537	0.650714
NT5C2	UBE2E3	0.650747	0.651008
DERA	CCDC117	0.651327	0.65128
S100A13	WDR13	0.651779	0.651729
HNRNPD	TMSB4X	0.651968	0.651874
VASP	TAX1BP3	0.652135	0.65218
TUBB	CPSF1	0.652629	0.652668
PRKAG1	SLC1A5	0.652718	0.652818
KHSRP	AFF1	0.653046	0.652997
PDHX	RAPGEF1	0.653425	0.653412
SH3GLB2	STARD5	0.653489	0.65357
NADK2	SLC38A2	0.653795	0.653787
SEC22B	OAF	0.654229	0.654235
SYNE2	MARK2	0.65425	0.654196
MAN2C1	ATP11B	0.654561	0.654649
RALB	ADAM15	0.654758	0.654766
CAST	GORASP1	0.655051	0.655051
MCAT	TMEM19	0.6558	0.655788
TSTD1	NTAN1	0.655888	0.655913
ESYT2	ZNF598	0.656037	0.656001
OSTF1	FMO2	0.656551	0.656534
VPS36	WDR18	0.657031	0.657027
CSE1L	SLC4A2	0.657321	0.657386
VBP1	LAMA5	0.657731	0.65772
FKBP5	ZFAND5	0.657899	0.657791
SUN2	GCNT1	0.659321	0.659308
TOMM40	EFCAB14	0.659508	0.659443
RBMX	OTUD5	0.659771	0.660103
APOC3	MERTK	0.659874	0.660361
COPS4	KEAP1	0.661184	0.661194
MYO1D	UQCC1	0.66213	0.662184
OXSR1	MOB1A	0.662353	0.662346
UBE2N	KLHL21	0.662971	0.662825
ABCB7	ESRRG	0.663202	0.663236
CSNK2A1	GALNT18	0.663392	0.66342
PPM1A	MRPS28	0.663515	0.663486
PMM2	TMEM97	0.663598	0.663626
ARFGAP3	SNX7	0.664111	0.664117
CRIP2	KPNA4	0.664688	0.66471
MYH14	FAM3A	0.665305	0.665244
GNA13	POMGNT1	0.665536	0.66543
HIBCH	MRPL55	0.665568	0.665699
NECAP1	DYNC2LI1	0.665764	0.665883
LRBA	TBC1D1	0.665916	0.666021
STAT3	DOCK8	0.66603	0.666213
DHTKD1	SNAPC5	0.666097	0.666274
GGH	PPP4C	0.666181	0.666303
PGLS	DCTN5	0.666228	0.666787
FBXO22	SMIM14	0.666339	0.667107
COX7A1	ATG9A	0.666668	0.667503
UFM1	EPHB4	0.666722	0.667946
ANO10	PREPL	0.666971	0.668325
FAM114A2	PARD6B	0.667116	0.668361
PTGES2	BOK	0.667343	0.668509
VIM	SSNA1	0.667659	0.668591
DRG1	TRAPPC11	0.667699	0.668693
PFDN2	SMPDL3A	0.669189	0.669222
SPP2	G3BP2	0.66939	0.66941
UBAP2L	RNF145	0.669407	0.669527
DLG1	ZFAND6	0.669729	0.669762
TARDBP	SLC39A5	0.670573	0.6706
RAVER1	MOCS1	0.670687	0.670678
TLN2	ARFGAP2	0.671122	0.671088
CFL2	SLC29A3	0.671426	0.671363
SRSF7	PLEKHA1	0.671788	0.671866
FARP1	ATP9A	0.67201	0.672289
LAMB2	TBCB	0.672016	0.671709
UBR4	GATAD1	0.672506	0.672547
LMF2	MMGT1	0.672978	0.672967
NFU1	MEPCE	0.673858	0.673802
ATL3	TMEM208	0.674195	0.674354
FLAD1	DALRD3	0.674943	0.674848
NUCKS1	PTPRD	0.674985	0.675089
PHF5A	C1QTNF3	0.675277	0.675242
RPA1	VPS54	0.676738	0.676764
AP2A1	CDK2AP2	0.676906	0.676924
BAIAP2	SIRT3	0.677042	0.677057
DYNC1LI2	NEURL4	0.677051	0.677119
UBA2	MRPL14	0.67725	0.677262
DYNC1LI1	SYF2	0.677279	0.677187
IQGAP2	RERE	0.678499	0.678514
FAAH	FAM20C	0.678658	0.678568
RANBP1	TMEM64	0.678867	0.678981
UBE2I	GPC4	0.679188	0.67926
EIF4E	NSDHL	0.679754	0.679759
GMFB	HABP2	0.680302	0.680282
MVP	IRF3	0.68033	0.680161
AIP	PNKD	0.680372	0.680513
CLCC1	ARL6IP4	0.680422	0.68013
CPNE3	SPTLC1	0.680547	0.680767
SMC1A	BSDC1	0.68089	0.680925
GGACT	TCTA	0.68154	0.681535
LIN7C	PEF1	0.681754	0.681737
EFEMP1	ASCC1	0.682129	0.682205
MLYCD	ABCF3	0.682208	0.682217
FLOT1	KPNA6	0.683303	0.683335
FARSB	ACADL	0.683323	0.683174
ARL3	WDR5	0.683507	0.683663
TSPAN8	ABCB8	0.683719	0.683733
CD2AP	SLCO3A1	0.684497	0.684439
KHDRBS1	ARHGAP35	0.684552	0.684599
LMO7	EXOC6	0.685821	0.686193
PRPF19	ZNFX1	0.685822	0.685404
COPS3	CDC5L	0.686639	0.686467
DPYS	WWP2	0.686721	0.6869
UGDH	FAM50A	0.687301	0.687234
TIMM44	ELOVL5	0.687355	0.68737
UBE2L3	DNASE1	0.687568	0.687885
ATP1B3	SLC46A1	0.687578	0.688018
CARHSP1	RNPS1	0.687696	0.688131
SLK	TRAPPC1	0.68787	0.688179
PDPR	PKIG	0.687903	0.688257
MYBBP1A	PFDN6	0.687947	0.68839
NCEH1	FGGY	0.68822	0.688626
SH3GLB1	FAM149A	0.688815	0.688933
EIF5B	CXXC1	0.68882	0.688638
LGALS3	ZNRF2	0.688889	0.689258
NQO2	KDR	0.689345	0.689523
PARP1	ZBTB7B	0.689832	0.689912
NDRG3	MRPL42	0.690108	0.690008
ARFGEF2	STX3	0.690286	0.690289
NPL	PNO1	0.690464	0.690432
WASF2	UBE2A	0.691319	0.691302
HNRNPH2	MBNL2	0.691537	0.691574
DDX42	DDX24	0.692066	0.692015
PPM1G	CSNK1G3	0.692228	0.692211
HPCAL1	NAA20	0.693186	0.693136
SCLY	ARHGAP18	0.693694	0.693766
PLIN3	NELFCD	0.694339	0.694376
DPY30	MRPL54	0.694702	0.694689
MRPL44	LSM14A	0.695244	0.695296
PAK2	ARF6	0.696022	0.695991
COX15	SLC27A2	0.696026	0.695955
NUMB	KLHL24	0.696724	0.696592
ECHDC3	USP20	0.696776	0.697131
HACL1	SMO	0.697283	0.697278
PEA15	NCOA7	0.699017	0.699063
TCEA1	RNF149	0.69913	0.698942
MTX1	NSMCE4A	0.699173	0.699373
AP1M1	ARHGAP10	0.699187	0.698855
DNPEP	SLC19A1	0.699274	0.699574
NAGLU	TPRN	0.699835	0.70006
APOB	FADS3	0.70035	0.7003
DYNLT3	RFNG	0.700706	0.700792
RAB11B	SLC25A17	0.700972	0.700981
PPP1R14B	ZNF207	0.701176	0.701289
HNMT	STK25	0.70124	0.700891
SPNS1	RGCC	0.701299	0.701654
EPS15	CASKIN2	0.701566	0.701686
TM9SF4	THRA	0.70239	0.702682
FLNA	MRPL22	0.702814	0.702738
IAH1	SLC34A3	0.703099	0.703101
FCHO2	SPPL2A	0.703281	0.703178
SNRPE	SHB	0.70362	0.703568
TPR	PAX8	0.70408	0.704017
PHKB	UBAC1	0.704749	0.704904
ATP6V0A1	WWC2	0.704785	0.704936
ATXN2L	PNPLA6	0.704903	0.704963
PDAP1	RAB4A	0.705005	0.704973
FOXRED1	TRMT112	0.705251	0.705275
IQGAP1	DPP8	0.705318	0.705904
HM13	UBE2B	0.705533	0.705958
COPS5	CUEDC2	0.705863	0.706048
MYLK	TMEM115	0.705869	0.706211
IMPDH2	PPP2R5C	0.706297	0.706248
GLRX	VAMP2	0.706413	0.706554
ERP29	TSC2	0.706432	0.706733
GUSB	MRPS18A	0.708681	0.708677
PRODH2	CDA	0.708819	0.708596
SGPL1	ABHD12	0.70895	0.709189
MTX2	MYG1	0.70909	0.709288
PDCD4	TBRG1	0.709638	0.709669
SND1	SHC1	0.709746	0.709944
CDK5RAP3	AFF4	0.709814	0.709977
STX12	PRRC2B	0.709957	0.710025
DAZAP1	HGSNAT	0.710206	0.710647
SSR1	PTPRK	0.710835	0.711106
PTGR2	SLC10A2	0.71106	0.711125
SAFB	ECSIT	0.71152	0.711528
THBS1	PNPLA8	0.711522	0.711469
ARPC4	MRPL34	0.711957	0.711964
HNRNPU	CELF1	0.712712	0.712673
GPR108	XRN2	0.713497	0.713501
STK24	TMEM63B	0.713559	0.713712
ABCE1	CRLS1	0.713819	0.713823
RAB5A	ACBD4	0.714043	0.71401
PRPS2	TSPAN33	0.714201	0.714282
HDAC2	EMC7	0.714298	0.714317
GPT	LMTK2	0.71469	0.714571
ABI1	ZFR	0.71567	0.715648
PFKL	NR2F2	0.715829	0.715853
TMEM109	ZMYND11	0.715949	0.715748
CAPZA1	SKI	0.716453	0.716437
DAP3	SENP6	0.716916	0.716945
RBPMS	NAA60	0.717301	0.717293
NDUFB7	NR3C1	0.71754	0.717641
ABLIM1	DCAF12	0.718067	0.718039
TBC1D10A	STK11	0.718218	0.718255
LMNA	TMEM70	0.718467	0.718351
DNAJC8	ZC3H14	0.718483	0.718323
SRI	TSPYL1	0.718962	0.718857
ABRACL	TBX2	0.719758	0.71962
RBBP9	MIPEP	0.7198	0.719963
PSME2	ANAPC2	0.720208	0.720268
ATAD1	FBXO9	0.721432	0.721437
SAP18	USP22	0.721961	0.721984
TXNDC12	ABHD3	0.722079	0.722058
AP3B1	RAB9A	0.722145	0.722257
EIF2S2	EFNA1	0.722148	0.722267
FUNDC2	MRPL43	0.722606	0.722711
SNRPD3	MRPS18B	0.722778	0.72286
PRKACA	NFKBIA	0.722785	0.722895
PM20D1	ARGLU1	0.723071	0.722988
ARHGEF16	PIP5K1C	0.723777	0.723759
IDE	DHX32	0.724074	0.724076
ABHD11	RNF14	0.724315	0.724361
ANK3	SLC4A9	0.724408	0.724363
FNTA	SLC35A4	0.724525	0.724619
FBP2	NEK9	0.725749	0.725914
APRT	ANAPC5	0.726227	0.726186
REXO2	KIAA0319L	0.726242	0.72628
DRG2	CHPT1	0.726663	0.726857
TAF15	GLB1L	0.727346	0.727376
GPD1L	PSEN1	0.727686	0.727844
PRPSAP1	CYP4B1	0.727771	0.727883
PRKAR2A	CANT1	0.727916	0.727918
LGALS1	DCAF7	0.728111	0.727931
TOR1AIP1	TMEM134	0.728193	0.728862
MAPK14	LIMD1	0.728472	0.728871
NAPRT	THOC7	0.72863	0.728901
SF3B6	DHX40	0.72871	0.729067
P4HA1	AURKAIP1	0.729371	0.729376
HACL2	STARD8	0.729478	0.729461
PPCS	LZTS3	0.729729	0.729738
ENDOG	PIGS	0.729931	0.729981
ACIN1	DDX41	0.730461	0.7304
UPF1	LPL	0.730502	0.730572
ALDH16A1	TMEM33	0.730692	0.730818
SUB1	ADCY6	0.731147	0.731778
SNX6	UBAC2	0.731221	0.731802
SRRT	PAK4	0.73139	0.731913
MAP2K1	TOB1	0.7315	0.731927
SZRD1	PCMTD1	0.731583	0.731971
ANO6	SLC33A1	0.731722	0.732275
ZMPSTE24	KANSL3	0.73175	0.732368
HSPB1	SRA1	0.732152	0.732777
SNX27	EMCN	0.732789	0.732779
RHEB	GOLGA2	0.73311	0.733126
CACYBP	UBP1	0.734136	0.734228
PGRMC2	CRB3	0.734254	0.734264
LYPLA2	DNAJC7	0.735022	0.73501
OPA1	JMJD8	0.735365	0.735373
ASPSCR1	S100A16	0.735788	0.735714
ME1	DDT	0.736327	0.736555
SNF8	TMEM116	0.736432	0.736588
RRAS	SEC61B	0.736935	0.736934
PECAM1	PTOV1	0.737138	0.737162
CETN2	MTFR1	0.737223	0.737227
CNDP1	ARL8A	0.737359	0.737274
TTR	GPBP1	0.737436	0.737813
MAT2B	MPV17L	0.73798	0.738057
MGAM	UBXN6	0.738474	0.738468
FASN	BTBD1	0.738822	0.738994
RAP1A	BCL2L1	0.738845	0.739034
CIRBP	PLXDC2	0.73969	0.739716
TFG	NPHS2	0.73988	0.739885
BTD	MCRS1	0.740491	0.74052
NPEPPS	POLR2A	0.74062	0.740595
SIDT2	LGALS8	0.740676	0.740706
PABPC4	RAP1GAP	0.741147	0.741166
GMPR	UFC1	0.741666	0.741612
PAWR	RFK	0.741959	0.741995
SNRPD2	LSM4	0.742348	0.742363
HK1	MFSD1	0.742451	0.742494
SPCS2	MRPL4	0.742603	0.742543
PTPN11	CDS1	0.744108	0.744071
HSD17B11	HAX1	0.744315	0.74432
AGRN	ELOF1	0.74445	0.744541
SHMT1	SMPD1	0.744607	0.744714
ISOC1	LARP4B	0.74506	0.744776
SEC11A	SRSF9	0.745197	0.745351
PGD	YTHDF3	0.745865	0.745955
PCNP	MED25	0.745999	0.74596
PITRM1	NFYC	0.746424	0.746466
HYOU1	CUL4A	0.746844	0.746829
VPS26A	NEK7	0.747219	0.747261
USP47	ARHGEF28	0.748225	0.748336
LYPLA1	HLF	0.750532	0.75073
TSG101	UBXN2A	0.750717	0.751163
ACSL4	PDK4	0.751376	0.751416
NCLN	CIAO1	0.751651	0.751748
DYNC1I2	CDC42SE1	0.751753	0.751521
ACOT9	EMC4	0.752071	0.752202
TRAPPC3	AFTPH	0.752538	0.752617
SRP72	CLRN3	0.753331	0.753281
TM9SF1	SCNN1G	0.753746	0.753818
THRAP3	SMIM7	0.754227	0.754125
TMED7	UBE2Z	0.754419	0.754658
USP4	ADIPOR2	0.754741	0.75474
ATG3	ZDHHC9	0.755178	0.755171
AEBP1	SLC48A1	0.755481	0.755484
CUTA	SUMO3	0.755485	0.755324
UROD	YY1	0.755788	0.755694
COPG1	SRSF11	0.756808	0.756879
CDHR2	DNAJB6	0.756851	0.756883
PNPO	PXMP2	0.756875	0.756914
NUDT9	LMBRD1	0.757125	0.757072
CDC42BPB	PSME4	0.758133	0.758143
PSME1	RNF130	0.758568	0.7584
NMT1	IFRD2	0.758665	0.758986
SLC25A20	UBR3	0.758773	0.759168
COMMD9	PPP1R15B	0.759005	0.759325
HUWE1	AKTIP	0.759024	0.75953
ANXA4	SLC9A3R2	0.759125	0.759955
SCAMP3	ATN1	0.75948	0.760078
BCKDK	RHOQ	0.759913	0.760151
AFMID	RNF44	0.760596	0.76048
MATR3	CYB561	0.760654	0.760737
EIF3D	FAM168B	0.761004	0.761025
DPP4	MKRN1	0.761004	0.761039
IST1	FNIP2	0.76124	0.761212
GRB2	NOL7	0.761538	0.761473
GNA11	SIGIRR	0.761556	0.761687
PLS3	TUSC2	0.761644	0.761763
STT3A	NDEL1	0.761997	0.762125
HP1BP3	SREBF2	0.762257	0.762375
HNRNPDL	CRTAP	0.762353	0.762603
PITPNB	TRIM8	0.762892	0.763082
PFN2	CCDC124	0.763116	0.763166
TOMM70	CYS1	0.763426	0.763476
PITPNA	AMOTL2	0.763898	0.763842
CFDP1	MRPL10	0.764043	0.763998
DPYD	PAQR5	0.764316	0.764481
GOSR2	ABHD17C	0.764374	0.76458
API5	GSK3A	0.764688	0.764846
PSMD14	PPP3R1	0.764706	0.764966
APOO	IGF1R	0.76489	0.765012
VPS29	TYSND1	0.765345	0.765459
SDR39U1	NECAP2	0.765354	0.765461
PFKM	ETNK1	0.765668	0.765727
SUPT5H	KLHDC10	0.766664	0.766654
FLII	RABL6	0.766673	0.766678
ITGAV	TP53INP2	0.766758	0.766712
ANXA2	TRAF4	0.766875	0.766892
BPNT1	UBE2Q1	0.767227	0.767173
ENSA	TMEM25	0.767239	0.767085
SSB	EGLN2	0.767938	0.767859
PPP2R5A	YWHAH	0.768171	0.768072
COPS7A	RAF1	0.768674	0.768727
G3BP1	GPAA1	0.768812	0.768901
PLBD2	PTDSS2	0.768987	0.769022
FLOT2	MAGT1	0.769368	0.76929
USP9X	EGLN1	0.769867	0.769873
KIF5B	SCYL1	0.770178	0.770196
ADAM10	PPP1R16B	0.770905	0.771143
RANBP2	BSCL2	0.771009	0.771192
STOML2	SGPP1	0.771191	0.771483
DMTN	ASB13	0.771343	0.771623
DPP7	PLD3	0.771399	0.771692
DEK	LARS2	0.771507	0.771745
OSBPL1A	DVL1	0.771806	0.772447
BLMH	TIMM8B	0.771937	0.772582
GLRX5	TAGLN	0.772042	0.772634
LIMA1	GNG5	0.772145	0.772818
CLIC5	SLC16A12	0.772461	0.772847
COMMD3	TGFBR2	0.772736	0.772861
ARL6IP5	ZFP36	0.772993	0.773089
TWF1	NF2	0.77326	0.773358
GPT2	FXR1	0.773505	0.773104
SSR4	DHRS3	0.773817	0.773949
DECR2	EHMT2	0.773944	0.774243
IPO5	NDST1	0.773993	0.774249
EIF4A3	CPEB4	0.774002	0.774362
GNPDA1	SLC35F5	0.774007	0.774439
TBCA	MINK1	0.774046	0.77447
SEC23B	APH1A	0.774809	0.774825
ALDH5A1	RRAGA	0.774881	0.77484
GSTA4	GPBP1L1	0.775588	0.775613
MAVS	IGSF11	0.776079	0.776108
ZC3H15	POLR2E	0.776238	0.77632
PSMC2	ISCA1	0.776328	0.776333
TXNL1	ZNF503	0.777014	0.777052
GALK1	LTBR	0.777379	0.777448
MRPL38	TRIP6	0.77744	0.776972
DDX6	HMGCS1	0.778023	0.777926
ABHD5	TMCO1	0.778155	0.778225
CLYBL	GALNT1	0.778686	0.778671
NSFL1C	TMEM120A	0.778882	0.778895
AP2B1	YBX3	0.778945	0.778933
VAT1	MCUR1	0.778976	0.77885
MACROD1	GOLGA4	0.779583	0.779567
PSMA5	MBD2	0.780138	0.780041
ARHGAP1	DUSP1	0.780207	0.779947
VPS4A	CMIP	0.780538	0.780601
NDUFB5	MAPK1	0.781108	0.781134
WBP1L	POLR2B	0.781527	0.781586
CSAD	YIF1A	0.781616	0.781612
PPP1R1A	SURF1	0.781763	0.781778
ERGIC1	UBL3	0.781824	0.781843
COTL1	KRTCAP2	0.781973	0.782476
GPHN	ABCF1	0.78221	0.782584
GORASP2	PPP1R37	0.782288	0.782623
IARS2	RPL7L1	0.782477	0.783065
MAPT	IREB2	0.783149	0.783183
CCDC47	MORF4L2	0.783243	0.783467
NUMA1	SEL1L	0.783535	0.78353
FUS	NCAPH2	0.783728	0.783848
NPLOC4	PPIC	0.783742	0.783908
USP24	PRKCZ	0.784496	0.784602
FBLN5	EIF4G3	0.784827	0.784825
PSMD11	HYI	0.784878	0.784904
HEBP1	TBC1D9B	0.785042	0.785127
L2HGDH	SLC25A23	0.785284	0.785334
U2AF1	LRRC19	0.785427	0.784813
PARVA	ALKBH5	0.785573	0.784716
PAFAH1B1	RNF5	0.785639	0.786613
AUH	PDE8A	0.785834	0.786976
ANXA6	S100A1	0.7864	0.787527
SERPING1	RNPEPL1	0.787514	0.787589
PPP1CB	ATP6V0E2	0.787714	0.78764
RAB11FIP5	TMEM9B	0.787779	0.788205
RMDN3	SCAND1	0.787794	0.78845
TPM1	ZMIZ2	0.7881	0.788571
NAMPT	SFT2D2	0.788778	0.78882
OSBPL8	KLF15	0.788909	0.789301
ACP1	VEGFB	0.788972	0.789612
OSBP	XPOT	0.789216	0.790028
SRP68	CCNY	0.789659	0.790109
DHX15	PSENEN	0.790165	0.790702
ACSF3	GET4	0.790614	0.791401
RDH16	FAM20B	0.790701	0.791585
BANF1	RABGGTB	0.79079	0.791827
ARL8B	CSNK1G2	0.791195	0.791978
PPA1	CTDNEP1	0.791537	0.791996
PCOLCE	MYO5B	0.791656	0.79231
CPPED1	ARRDC3	0.791764	0.792699
DDX39B	SSRP1	0.792626	0.792795
YWHAG	ALAS1	0.793296	0.793509
ACAD8	SLC39A1	0.793538	0.793854
SMARCC2	LEPROT	0.793568	0.79427
AP2S1	CRIM1	0.793684	0.7945
RBBP4	AGA	0.793824	0.794697
SAR1A	BAP1	0.793842	0.792865
CPN1	BICC1	0.793898	0.79484
XPNPEP1	USP19	0.793993	0.795158
PALM	CD82	0.794632	0.795338
CPOX	LPCAT3	0.794823	0.795562
EIF6	ZNF106	0.794842	0.796149
MECR	CAMK2N1	0.794845	0.796409
NPEPL1	MAEA	0.795127	0.796446
SIRT2	TUSC3	0.795364	0.796909
ATP6V1C1	NTN4	0.795399	0.797222
PPA2	MGST1	0.795902	0.797269
ATP6V1H	MRPS7	0.796048	0.797289
UAP1L1	HOOK2	0.796051	0.797312
TOM1L2	SNX29	0.796283	0.797442
TPD52	MMADHC	0.796308	0.797844
CAPN2	KCNJ1	0.796842	0.798208
SERBP1	USF2	0.796989	0.798544
AP1S1	HNRNPA0	0.797225	0.79864
TIMM50	TSPO	0.797903	0.79873
DNAJC13	DHCR24	0.798131	0.79936
HNRNPUL1	TEX261	0.798525	0.799414
PPP5C	RNF13	0.799353	0.799465
PSMB3	VTI1B	0.799495	0.799475
USO1	GDE1	0.799527	0.799531
CD9	OST4	0.799833	0.799832
CDC37	TRAPPC2L	0.799864	0.799929
CNPY2	AS3MT	0.800025	0.800468
GLO1	ADHFE1	0.800027	0.800547
MFF	IL6ST	0.800111	0.800641
H1-0	PBXIP1	0.800183	0.800742
NAP1L4	TMEM106B	0.800931	0.800885
SNRNP70	BRD2	0.800959	0.80141
SGTA	PERP	0.80108	0.801438
PMPCA	PHLDB2	0.801164	0.801498
SEC24C	ITGB8	0.801713	0.801682
BCKDHB	MAZ	0.802202	0.802191
BCAT2	DRAP1	0.802341	0.802582
AP3D1	PPP6R3	0.802668	0.802081
STXBP2	STUB1	0.803196	0.803429
CSTB	OGT	0.803535	0.80355
MPRIP	ZFP36L2	0.803789	0.803499
CAB39	BHMT2	0.8038	0.80349
USP5	CD36	0.803947	0.804408
MYO18A	TMEM50A	0.804109	0.804622
USP7	R3HDM2	0.80415	0.804719
AMT	ADAM9	0.80455	0.805199
PDK3	MTURN	0.804556	0.80547
CDV3	HECTD1	0.805137	0.805513
DAD1	PAICS	0.805153	0.805548
TOLLIP	VMP1	0.805563	0.805562
LRRC59	NR1D2	0.805771	0.805775
AP1G1	CSNK1D	0.806056	0.806069
RAD23B	SUMF1	0.806223	0.805872
PDCD6	PRRC2A	0.806252	0.80574
PSMB2	SLC12A7	0.80629	0.805694
SF1	CTSF	0.806695	0.807135
PA2G4	ARHGAP24	0.806776	0.807291
GNAI3	ELOVL1	0.806851	0.80767
FERMT2	LMO4	0.806894	0.807757
CAPZA2	ZFAND3	0.806931	0.807761
GLMP	ZC3H7B	0.807093	0.807858
PDXDC1	BCAR1	0.807116	0.808598
COPS2	LAMTOR2	0.80728	0.808732
VDAC3	BAG1	0.807409	0.809005
PSMA3	TRIP12	0.807518	0.80927
PAPSS1	UBE3B	0.807658	0.809414
VIL1	DERL1	0.808158	0.809703
DBNL	TP53BP2	0.808802	0.809948
TRIM28	CLSTN1	0.809395	0.810006
DLAT	CITED2	0.809743	0.810168
LMAN1	PIP4K2C	0.810002	0.810347
AGPAT2	RNF11	0.810004	0.811298
CLIC1	MAP1LC3A	0.810106	0.811339
WASL	SUSD3	0.810235	0.811517
OTUB1	CPE	0.810243	0.811723
COPZ1	WWTR1	0.810368	0.812051
IPO7	TPCN1	0.810389	0.812107
CPD	NR1H2	0.810588	0.812198
AFG3L2	NFIC	0.810792	0.81224
PIGT	PAM	0.810852	0.812318
PSMA6	PTP4A2	0.810917	0.812389
IGF2R	TNFRSF21	0.810952	0.812611
RAB6A	SON	0.811051	0.812897
MRPL20	MORF4L1	0.811057	0.813449
SUGCT	CDK16	0.811457	0.813564
CLINT1	CHMP5	0.811584	0.813592
ERP44	MRPS15	0.812067	0.813594
PPM1B	GABARAPL2	0.81256	0.814216
VAPB	DCAF11	0.812708	0.814391
SACM1L	CUL1	0.813015	0.814738
PSMD7	FMO5	0.81315	0.814806
DNM2	TRPV4	0.813403	0.815056
NDUFB6	REEP6	0.813657	0.815706
PSMD6	YPEL3	0.813781	0.815778
RNF114	ZFP36L1	0.813947	0.816167
NPTN	ATXN7L3B	0.813967	0.8165
SNRNP200	PUM2	0.81505	0.816518
HNRNPM	U2AF2	0.815142	0.816745
OPLAH	ATRAID	0.815262	0.817173
RAB18	PPP2CB	0.815283	0.818211
ANXA11	PPP6R1	0.815556	0.818453
NPC2	TEX2	0.815771	0.818544
PSMC6	COL4A4	0.815856	0.818743
CUL3	SLC43A2	0.816218	0.818968
RTCB	SLC13A1	0.816398	0.819302
HGS	ZDHHC5	0.816662	0.819516
CLPP	SLC5A10	0.816995	0.820408
TNPO1	HS6ST1	0.817086	0.820462
FAHD2A	SRRM2	0.817159	0.820616
LARP1	PPP1CC	0.81736	0.820924
GSTO1	FZD4	0.817915	0.821181
LRRK2	AZGP1	0.817941	0.82126
KPNB1	TRAM1	0.817955	0.821666
PEX19	NDUFC1	0.818132	0.821784
CLIC4	GAK	0.818289	0.822032
NDUFB4	CMTM4	0.818478	0.823637
MCEE	SLC1A1	0.81882	0.82463
CRK	ABHD16A	0.819164	0.824777
ACOX2	WSB2	0.819351	0.825052
FHL1	LGR4	0.819537	0.825313
PDXK	CENPB	0.819803	0.825555
ASPA	SLC2A2	0.819946	0.826227
ETHE1	GRSF1	0.819984	0.826235
TMSB10	FDX1	0.820234	0.826538
DHX9	CDC34	0.820479	0.826652
HEXA	SPINT1	0.820513	0.826686
PSMC4	YME1L1	0.820785	0.826932
LAMTOR1	BABAM1	0.820843	0.827468
TIMM13	SMARCA2	0.820994	0.827582
GCLM	CSNK1A1	0.821078	0.828025
RAP1B	SLC25A51	0.821156	0.828109
UBXN4	CCDC107	0.821354	0.828282
SBDS	COL4A3	0.822031	0.828692
NIT1	CCS	0.822414	0.828916
PFDN1	LZTR1	0.82267	0.82898
FLNB	AACS	0.822866	0.829074
GLRX3	ZNF706	0.823249	0.829332
NAPA	ARHGEF12	0.823767	0.829495
HNRNPC	CIB1	0.824259	0.829668
CALU	TRABD2B	0.824275	0.829745
ARFGEF1	NCSTN	0.824338	0.830538
RAD23A	GNA12	0.824556	0.831414
TXNDC5	CYFIP2	0.824678	0.831454
LAMB1	AKT1	0.825348	0.831496
DCTN1	MGAT1	0.825632	0.831808
SNRPB	DNAJC12	0.82586	0.83203
MFGE8	RXRA	0.826772	0.832031
CMPK1	UBXN1	0.826897	0.83212
GRPEL1	MICU2	0.827302	0.832274
RAB14	PAFAH2	0.827942	0.832385
TPM4	KIF1C	0.828239	0.832798
WDR1	ARF4	0.828712	0.832935
SPG7	CHMP1A	0.828743	0.833108
PPP2CA	POLR2M	0.829827	0.833315
SFPQ	ARL1	0.829968	0.834507
PNP	NPNT	0.82997	0.834773
RRBP1	SGK1	0.829998	0.834848
NDUFS4	SFRP1	0.83002	0.835103
LRPPRC	TMEM9	0.830449	0.835117
EEF1D	SLC6A13	0.83068	0.835397
CLPX	MRPL18	0.831316	0.835746
LAD1	PNPLA2	0.831397	0.835971
PSMD1	SLC38A10	0.831513	0.836157
PUF60	SNX17	0.831814	0.836462
TTC38	BNIP3L	0.832082	0.836835
DBT	TMEM213	0.832113	0.836933
ANP32A	NEDD8	0.832542	0.837862
NDUFAB1	SETD3	0.832577	0.837916
PSMD12	GNPTG	0.832966	0.838366
SUMO2	SLC16A2	0.833244	0.838768
DYNC1H1	KDELR2	0.83396	0.838783
AGXT2	PCBP4	0.834128	0.838902
NDUFA2	ERICH4	0.834227	0.839174
GLYCTK	MAP2K2	0.83438	0.839329
CYP27A1	METTL9	0.834625	0.839795
SH3BGRL3	MAP7	0.834771	0.840188
TMED9	PNRC2	0.835031	0.840312
SCRN2	CYP24A1	0.835182	0.840551
RAB10	MBD3	0.835398	0.841627
STT3B	ITPR1	0.835608	0.841809
MSRA	UHMK1	0.835901	0.841836
GALM	PPARA	0.836087	0.842533
SNX1	GOLPH3	0.836737	0.843326
PXN	STARD10	0.83676	0.843414
FAM151A	ACTR1B	0.836817	0.843486
