raw	centred	drop
0.82853	0.54487	0.28365
0.88301	0.54327	0.33974
0.72169	0.69658	0.02511
0.88889	0.52831	0.36058
0.78526	0.70192	0.08333
0.82105	0.57372	0.24733
0.82799	0.56624	0.26175
0.8937	0.46154	0.43216
0.86538	0.46314	0.40224
0.83333	0.50534	0.32799
0.82639	0.50801	0.31838
0.89957	0.43697	0.46261
0.82105	0.6063	0.21474
0.82105	0.51656	0.30449
0.87179	0.70299	0.1688
0.81517	0.58333	0.23184
0.82318	0.46795	0.35524
0.7703	0.57318	0.19712
0.87927	0.4359	0.44338
0.88301	0.76923	0.11378
0.85951	0.47917	0.38034
0.86325	0.50588	0.35737
0.77831	0.46368	0.31464
0.77885	0.47169	0.30716
0.75427	0.49573	0.25855
0.83654	0.60577	0.23077
0.77885	0.65224	0.1266
0.89263	0.52938	0.36325
0.78472	0.65011	0.13462
0.86912	0.55716	0.31197
0.86058	0.49412	0.36645
0.84295	0.57799	0.26496
0.8734	0.61859	0.25481
0.81197	0.47489	0.33707
0.89156	0.60737	0.28419
0.73184	0.52938	0.20246
0.89744	0.48878	0.40865
0.86004	0.55235	0.30769
0.73237	0.56143	0.17094
0.84241	0.45513	0.38729
0.75908	0.60363	0.15545
0.80235	0.6063	0.19605
0.90118	0.52671	0.37447
0.89263	0.46261	0.43002
0.88515	0.60897	0.27618
0.80876	0.7703	0.03846
0.86485	0.62019	0.24466
0.89209	0.46902	0.42308
0.89049	0.46848	0.42201
0.80449	0.52724	0.27724
0.71902	0.51282	0.2062
0.86806	0.59188	0.27618
0.84402	0.54915	0.29487
0.88248	0.54754	0.33494
0.86004	0.53846	0.32158
0.85417	0.54808	0.30609
0.78526	0.47062	0.31464
0.89957	0.59348	0.30609
0.87714	0.56624	0.3109
0.83387	0.48024	0.35363
0.88675	0.52778	0.35897
0.88141	0.55876	0.32265
0.70032	0.7313	-0.03098
0.80556	0.48932	0.31624
0.86058	0.55075	0.30983
0.8531	0.54434	0.30876
0.81891	0.43162	0.38729
0.86485	0.55983	0.30502
0.8344	0.55823	0.27618
0.77778	0.62233	0.15545
0.8937	0.58387	0.30983
0.79274	0.59882	0.19391
0.8937	0.52671	0.36699
0.86912	0.47169	0.39744
0.84455	0.61752	0.22703
0.85844	0.57425	0.28419
0.88034	0.50855	0.37179
0.88301	0.52083	0.36218
0.73611	0.50855	0.22756
0.77991	0.88141	-0.1015
0.89476	0.4765	0.41827
0.83066	0.57372	0.25694
0.87927	0.43697	0.44231
0.86378	0.54861	0.31517
0.87874	0.45085	0.42788
0.87553	0.50107	0.37447
0.78686	0.5625	0.22436
0.85737	0.58761	0.26976
0.83868	0.67788	0.16079
0.84669	0.51816	0.32853
0.7094	0.62767	0.08173
0.7922	0.47703	0.31517
0.89583	0.46581	0.43002
0.71207	0.79915	-0.08707
0.86111	0.4391	0.42201
0.80876	0.53098	0.27778
0.84081	0.65652	0.18429
0.83333	0.52724	0.30609
0.80662	0.75214	0.05449
0.83547	0.46207	0.3734
0.75321	0.82692	-0.07372
0.89103	0.59615	0.29487
0.82158	0.46688	0.3547
0.88782	0.42949	0.45833
0.88835	0.55182	0.33654
0.86645	0.52083	0.34562
0.84615	0.5203	0.32585
0.86699	0.44765	0.41934
0.75748	0.58173	0.17575
0.7719	0.64049	0.13141
0.81143	0.57853	0.23291
0.79274	0.68964	0.1031
0.82799	0.49466	0.33333
0.89637	0.55235	0.34402
0.81891	0.50321	0.31571
0.73184	0.664	0.06784
0.85791	0.60203	0.25588
