a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass	ceiling_median	ceiling_lo95	ceiling_hi95	cos_corrected	cos_corrected_lo95	cos_corrected_hi95	cos_exceeds_ceiling	ceiling_raw	ceiling_SB	ceiling_sat	shared_cohort
cat_med_CKD12	IRI_2h	0.1367	0.2044	cross_species	cat	iri	False		0.8489	0.6768	0.9079	0.161	0.1506	0.202	False	0.7504	0.8568		False
cat_med_CKD12	IRI_4h	0.1946	0.255	cross_species	cat	iri	False		0.8976	0.7414	0.9328	0.2168	0.2086	0.2625	False	0.8145	0.8977		False
cat_med_CKD12	IRI_24h	0.3304	0.3955	cross_species	cat	iri	False		0.9295	0.801	0.9578	0.3555	0.345	0.4125	False	0.8712	0.9306		False
cat_med_CKD12	IRI_48h	0.345	0.3781	cross_species	cat	iri	False		0.9117	0.7828	0.9491	0.3784	0.3635	0.4406	False	0.8395	0.9126		False
cat_med_CKD12	IRI_72h	0.3369	0.3768	cross_species	cat	iri	False		0.8528	0.7305	0.9333	0.395	0.3609	0.4612	False	0.7479	0.855		False
cat_med_CKD12	IRI_7d	0.3266	0.4415	cross_species	cat	iri	False		0.9232	0.8038	0.9514	0.3537	0.3433	0.4063	False	0.8621	0.9255		False
cat_med_CKD12	IRI_14d	0.2857	0.3925	cross_species	cat	iri	False		0.8988	0.7741	0.9357	0.3179	0.3054	0.3691	False	0.828	0.9059		False
cat_med_CKD12	IRI_28d	0.3013	0.4059	cross_species	cat	iri	False		0.8748	0.6502	0.9277	0.3444	0.3247	0.4634	False	0.7847	0.8792		False
cat_med_CKD12	IRI_12mo	0.2805	0.3719	cross_species	cat	iri	False		0.8595	0.7382	0.916	0.3264	0.3063	0.38	False	0.764	0.8658		False
cat_med_CKD34	mouse_5D	0.2649	0.2487	cross_species	cat	podtreck	False		0.8233	0.3476	0.9186	0.3212	0.2884	0.6294	False	0.7111	0.8254		False
cat_med_CKD34	mouse_2W	0.3627	0.364	cross_species	cat	podtreck	False		0.8433	0.3562	0.9394	0.4294	0.3861	0.8424	False	0.7413	0.8432		False
cat_med_CKD34	mouse_3W	0.3755	0.4058	cross_species	cat	podtreck	False		0.7973	0.3243	0.9225	0.4696	0.4069	0.9453	False	0.7186	0.8299		False
cat_med_CKD34	IRI_2h	0.2391	0.2798	cross_species	cat	iri	False		0.7392	0.3049	0.864	0.3212	0.2766	0.6402	False	0.6223	0.7662		False
cat_med_CKD34	IRI_4h	0.2495	0.2616	cross_species	cat	iri	False		0.7872	0.3304	0.8966	0.3157	0.2782	0.6079	False	0.6755	0.8028		False
cat_med_CKD34	IRI_24h	0.351	0.3428	cross_species	cat	iri	False		0.8245	0.3513	0.9267	0.4244	0.3788	0.8252	False	0.7225	0.8322		False
cat_med_CKD34	IRI_48h	0.4379	0.4389	cross_species	cat	iri	False		0.8075	0.3438	0.9127	0.5408	0.4798	1.0562	False	0.6962	0.8161		False
cat_med_CKD34	IRI_72h	0.4235	0.3876	cross_species	cat	iri	False		0.7564	0.3198	0.8802	0.5587	0.4812	1.1375	False	0.6203	0.7646		False
cat_med_CKD34	IRI_7d	0.4366	0.4884	cross_species	cat	iri	False		0.8202	0.3416	0.919	0.5305	0.4749	1.037	False	0.7149	0.8277		False
cat_med_CKD34	IRI_14d	0.3596	0.3834	cross_species	cat	iri	False		0.7933	0.3368	0.9062	0.4526	0.3968	0.8687	False	0.6867	0.8101		False
cat_med_CKD34	IRI_28d	0.2839	0.258	cross_species	cat	iri	False		0.7704	0.334	0.8881	0.3671	0.3197	0.7485	False	0.6507	0.7862		False
cat_med_CKD34	IRI_12mo	0.4328	0.533	cross_species	cat	iri	False		0.7596	0.333	0.8706	0.5692	0.497	1.1033	False	0.6336	0.7743		False
mouse_5D	mouse_2W	0.6617	0.6324	within_dataset	podtreck	podtreck	True		0.9701	0.9609	0.9807	0.6821	0.6747	0.6886	False	0.9428	0.9704		True
mouse_5D	mouse_3W	0.6535	0.6078	within_dataset	podtreck	podtreck	True		0.953	0.8649	0.9681	0.6857	0.675	0.7556	False	0.914	0.9551		True
mouse_5D	IRI_2h	0.0845	-0.0318	same_species_diff_dataset	podtreck	iri	False		0.8816	0.7235	0.9265	0.0959	0.0913	0.1169	False	0.7915	0.8818		False
mouse_5D	IRI_4h	0.342	0.2622	same_species_diff_dataset	podtreck	iri	False		0.9243	0.7855	0.948	0.37	0.3608	0.4354	False	0.8592	0.9239		False
mouse_5D	IRI_24h	0.5197	0.5371	same_species_diff_dataset	podtreck	iri	False		0.9574	0.8968	0.9716	0.5428	0.5349	0.5794	False	0.9189	0.9578		False
mouse_5D	IRI_48h	0.5412	0.535	same_species_diff_dataset	podtreck	iri	False		0.9404	0.8794	0.9611	0.5756	0.5632	0.6155	False	0.8854	0.9392		False
